,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-13 13:35:24,2021-10-11,HAL,Miller Jeffrey Allen,"Dir, Pres, CEO",S - Sale+OE,$25.00,"-33,333","859,489",-4%,"-$833,325",,,,
2,D,2021-05-10 13:11:03,2021-05-06,HAL,Carre Eric,"EVP, Global Business Lines",S - Sale+OE,$21.90,"-24,260","133,320",-15%,"-$531,294",,,,
3,D,2021-03-08 17:00:53,2021-03-05,HAL,Jones Myrtle L,Senior Vice Pres - Tax,S - Sale+OE,$23.50,"-5,462","74,088",-7%,"-$128,357",,,,
4,D,2021-02-17 09:26:42,2021-02-12,HAL,Loeffler Lance,"EVP, CFO",S - Sale+OE,$19.29,"-21,067","130,060",-14%,"-$406,382",,,,
5,D,2021-01-11 12:43:25,2021-01-08,HAL,Carre Eric,"EVP, Global Business Lines",S - Sale+OE,$20.68,"-2,350","173,320",-1%,"-$48,598",,,,
6,D,2021-01-06 16:06:51,2021-01-05,HAL,Jones Myrtle L,Senior Vice Pres - Tax,S - Sale+OE,$20.00,"-4,449","79,228",-5%,"-$88,980",,,,
7,D,2020-12-11 17:39:54,2020-12-10,HAL,Carre Eric,"EVP, Global Business Lines",S - Sale+OE,$19.00,"-2,195","176,661",-1%,"-$41,705",,,,
8,D,2020-12-10 14:40:21,2020-12-09,HAL,Carre Eric,"EVP, Global Business Lines",S - Sale+OE,$19.92,"-49,664","178,856",-22%,"-$989,058",,,,
9,D,2020-04-23 14:26:05,2020-04-23,HAL,Gerber Murry,Dir,P - Purchase,$8.68,"+350,000","574,879",+156%,"+$3,038,000",,,,
10,D,2020-03-16 11:52:34,2020-03-13,HAL,Gerber Murry,Dir,P - Purchase,$6.78,"+155,763","224,879",+225%,"+$1,056,073",,,,
11,D,2020-02-12 09:40:45,2020-02-10,HAL,Loeffler Lance,"EVP, CFO",S - Sale+OE,$21.51,"-10,105","83,559",-11%,"-$217,359",,,,
12,D,2019-09-12 16:25:04,2019-09-12,HAL,Albrecht William E,Dir,P - Purchase,$19.35,"+8,000","16,000",+100%,"+$154,800",,,,
13,D,2019-03-15 12:04:35,2019-03-13,HAL,Loeffler Lance,"EVP, CFO",S - Sale+OE,$28.35,"-5,926","55,885",-10%,"-$168,002",,,,
14,DM,2019-01-10 16:31:57,2019-01-08,HAL,Beaty Anne L.,"SVP, Finance",S - Sale+OE,$29.48,"-2,548","54,115",-4%,"-$75,120",,,,
15,D,2019-01-08 15:29:13,2019-01-07,HAL,Beaty Anne L.,"SVP, Finance",S - Sale+OE,$28.50,"-1,300","57,279",-2%,"-$37,050",,,,
16,D,2018-12-13 14:27:19,2011-05-19,HAL,Pope Lawrence J,"EVP Administration, CHRO",S - Sale+OE,$46.84,"-2,000","202,297",-1%,"-$93,680",,,,
17,D,2018-12-12 14:41:37,2018-12-11,HAL,Beaty Anne L.,"SVP, Finance",S - Sale+OE,$29.79,-529,"59,396",-1%,"-$15,759",,,,
18,D,2018-12-06 10:28:17,2018-12-03,HAL,Beaty Anne L.,"SVP, Finance",S - Sale+OE,$32.33,"-7,200","54,996",-12%,"-$232,776",,,,
19,D,2018-11-09 10:43:42,2018-11-08,HAL,Beaty Anne L.,"SVP, Finance",S - Sale+OE,$36.23,"-1,210","54,996",-2%,"-$43,838",,,,
