,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-21 17:14:21,2021-10-20,HBAN,Pohle Richard A,EVP,S - Sale,$16.50,"-4,837","77,512",-6%,"-$79,811",,,,
2,,2021-10-06 16:25:01,2021-10-04,HBAN,Syal Rajeev,SEVP,S - Sale,$16.00,-213,"286,835",0%,"-$3,408",,,,
3,,2021-08-24 16:39:00,2021-08-20,HBAN,Houston Helga,Senior Exec. V. P.,S - Sale,$14.71,"-31,328","597,132",-5%,"-$460,691",,,,
4,,2021-08-09 14:59:00,2021-08-06,HBAN,Dennis Donald Lee,EVP of Principal Subsidiary,S - Sale,$14.74,-795,"25,725",-3%,"-$11,714",,,,
5,,2021-08-09 14:56:07,2021-08-05,HBAN,Jones Michael Scott,SEVP of Significant Subsidiary,S - Sale,$14.35,"-50,000","458,089",-10%,"-$717,415",,,,
6,,2021-06-02 16:40:41,2021-06-01,HBAN,Pierce Sandra E.,Senior Exec VP,S - Sale,$16.00,"-85,986","443,258",-16%,"-$1,375,776",,,,
7,D,2021-05-10 16:17:03,2021-05-06,HBAN,Kleinman Scott D,Sr. EVP of Principal Sub.,S - Sale+OE,$15.56,"-6,225","168,686",-4%,"-$96,873",,,,
8,D,2021-05-10 16:17:01,2021-05-07,HBAN,Syal Rajeev,SEVP,S - Sale+OE,$15.50,"-6,021","285,896",-2%,"-$93,326",,,,
9,,2021-05-10 16:16:51,2021-05-07,HBAN,Thompson Mark E,Senior EVP of Principal Sub.,S - Sale,$15.75,"-131,185","436,582",-23%,"-$2,066,164",,,,
10,,2021-05-05 16:47:09,2021-05-03,HBAN,Syal Rajeev,SEVP,S - Sale,$15.50,"-27,674","285,009",-9%,"-$428,947",,,,
11,D,2021-05-05 16:45:50,2021-05-03,HBAN,Pohle Richard A,EVP,S - Sale+OE,$15.37,"-7,881","81,117",-9%,"-$121,108",,,,
12,,2021-04-30 16:05:32,2021-04-29,HBAN,Syal Rajeev,SEVP,S - Sale,$15.50,"-1,505","280,059",-1%,"-$23,328",,,,
13,D,2021-03-10 16:22:58,2021-03-09,HBAN,Syal Rajeev,SEVP,S - Sale+OE,$16.33,"-2,526","259,798",-1%,"-$41,250",,,,
14,,2021-03-05 16:39:57,2021-03-03,HBAN,Syal Rajeev,SEVP,S - Sale,$15.90,"-1,959","259,798",-1%,"-$31,148",,,,
15,D,2021-03-03 16:32:03,2021-03-01,HBAN,Syal Rajeev,SEVP,S - Sale+OE,$15.71,"-7,636","261,757",-3%,"-$119,962",,,,
16,,2021-02-25 16:24:56,2021-02-23,HBAN,Pierce Sandra E.,Senior Exec VP,S - Sale,$15.71,"-172,909","433,694",-29%,"-$2,716,573",,,,
17,D,2021-02-24 16:03:20,2021-02-22,HBAN,Houston Helga,Senior Exec. V. P.,S - Sale+OE,$15.64,"-1,614","551,085",0%,"-$25,237",,,,
18,,2021-02-17 16:51:53,2021-02-16,HBAN,Maloney Nancy E,"EVP, Controller",S - Sale,$14.90,"-35,022","17,456",-67%,"-$521,828",,,,
19,D,2021-02-17 16:51:45,2021-02-16,HBAN,Thompson Mark E,Senior EVP of Principal Sub.,S - Sale+OE,$15.00,"-100,197","537,171",-16%,"-$1,503,250",,,,
20,,2021-02-09 16:16:41,2021-02-08,HBAN,Wasserman Zachary Jacob,"CFO, Senior EVP",S - Sale,$14.20,"-19,811","112,996",-15%,"-$281,336",,,,
21,D,2021-02-05 16:21:23,2021-02-03,HBAN,Heller Paul G,"Sr. EVP, Chief Technology Off",S - Sale+OE,$13.58,"-75,646","434,406",-15%,"-$1,026,894",,,,
22,,2020-10-30 16:02:12,2020-10-29,HBAN,Thompson Mark E,Senior EVP of Principal Sub.,S - Sale,$10.16,"-50,000","626,598",-7%,"-$507,900",,,,
23,,2020-05-28 08:23:04,2020-05-26,HBAN,Heller Paul G,"Sr. EVP, Chief Technology Off",S - Sale,$9.10,"-46,726","498,704",-9%,"-$425,035",,,,
24,,2020-04-28 16:04:21,2020-04-27,HBAN,Thompson Mark E,Senior EVP of Principal Sub.,S - Sale,$8.68,"-11,464","663,124",-2%,"-$99,508",,,,
25,,2020-02-27 16:15:58,2020-02-26,HBAN,Steinour Stephen D,"Pres, CEO, COB",P - Purchase,$13.02,"+18,750","5,942,857",0%,"+$244,071",,,,
26,D,2020-02-04 16:31:31,2020-02-03,HBAN,Thompson Mark E,Senior EVP of Principal Sub.,S - Sale+OE,$13.78,"-5,856","648,401",-1%,"-$80,666",,,,
27,,2020-01-29 17:27:14,2020-01-27,HBAN,Neu Richard W,Dir,P - Purchase,$13.52,"+5,900","345,765",+2%,"+$79,765",,,,
28,D,2019-11-19 16:34:24,2019-11-18,HBAN,Heller Paul G,"Sr. EVP, Chief Technology Off",S - Sale+OE,$14.77,"-7,144","470,644",-1%,"-$105,517",,,,
