,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2020-11-02 16:34:40,2020-10-30,WELL,Hawkins Philip L,Dir,P - Purchase,$52.94,"+2,000","6,642",+43%,"+$105,880",,,,
2,,2019-05-15 17:08:49,2019-05-14,WELL,Derosa Thomas J,"COB, CEO",S - Sale,$77.90,"-19,307","279,651",-6%,"-$1,503,977",,,,
3,,2019-03-15 17:21:43,2019-03-13,WELL,Goodey John,CFO,S - Sale,$77.13,-1,"48,094",0%,-$44,,,,
4,,2019-03-01 17:35:46,2019-02-28,WELL,Kerr Mercedes,EVP-Business Development,S - Sale,$74.50,"-5,000","44,478",-10%,"-$372,500",,,,
5,D,2018-12-13 17:26:29,2018-12-11,WELL,Kerr Mercedes,EVP-Business Development,S - Sale+OE,$73.17,"-4,342","35,659",-11%,"-$317,683",,,,
6,,2018-08-13 18:49:58,2018-08-10,WELL,Mitra Shankh,"EVP, Investments",P - Purchase,$63.55,+62,"92,018",0%,"+$3,940",,,,
7,,2018-06-07 16:48:30,2018-06-06,WELL,Trumbull R Scott,Dir,S - Sale,$57.33,-1,"71,094",0%,-$30,,,,
8,,2018-05-01 17:21:31,2018-05-01,WELL,Whitelaw Gary,Dir,P - Purchase,$54.18,+925,"6,768",+16%,"+$50,116",,,,
9,,2018-03-16 16:55:03,2018-03-15,WELL,Bacon Kenneth J,Dir,P - Purchase,$53.63,+600,"7,427",+9%,"+$32,179",,,,
10,,2018-02-27 17:39:38,2018-02-26,HCN,Whitelaw Gary,Dir,P - Purchase,$53.61,"+1,862","5,843",+47%,"+$99,820",,,,
11,,2017-11-22 17:04:44,2017-11-21,HCN,Whitelaw Gary,Dir,P - Purchase,$68.39,"+1,420","1,420",New,"+$97,107",,,,
12,D,2017-03-29 17:03:10,2017-03-28,HCN,Nungester Paul D Jr,Principal Accounting Officer,S - Sale+OE,$70.26,"-6,452","30,598",-17%,"-$453,349",0,0,+2,
13,,2017-03-09 17:21:40,2017-03-08,HCN,Klipsch Fred S,Dir,S - Sale,$67.14,"-2,606","15,907",-14%,"-$174,967",+1,+2,+9,
14,D,2017-03-03 17:06:58,2017-03-01,HCN,Estes Scott A,"EVP, CFO",S - Sale+OE,$69.57,"-26,968","117,607",-19%,"-$1,876,218",-1,-5,+2,
15,,2016-11-14 17:51:38,2016-11-10,HCN,Naughton Timothy J,Dir,P - Purchase,$60.69,"+2,000","9,158",+28%,"+$121,372",-2,-2,+5,
16,D,2016-10-04 16:56:39,2016-10-03,HCN,Estes Scott A,"EVP, CFO",S - Sale+OE,$74.11,"-3,192","129,934",-2%,"-$236,572",-2,-3,-6,+1
17,D,2016-09-08 16:16:56,2016-09-07,HCN,Miller Jeffrey H,EVP-COO,S - Sale+OE,$78.00,"-24,777","130,601",-16%,"-$1,932,606",-5,-5,-9,-13
18,D,2016-09-02 16:31:16,2016-09-01,HCN,Estes Scott A,"EVP, CFO",S - Sale+OE,$76.43,"-3,192","129,934",-2%,"-$243,956",+2,-4,-4,-8
19,DM,2016-08-08 13:57:19,2016-08-04,HCN,Brinker Scott M,EVP - Chief Investment Officer,S - Sale+OE,$76.63,"-18,424","109,518",-14%,"-$1,411,786",+1,+3,+2,-11
20,D,2016-08-02 16:04:15,2016-08-01,HCN,Estes Scott A,"EVP, CFO",S - Sale+OE,$78.97,"-3,192","129,934",-2%,"-$252,085",0,0,0,-12
21,D,2016-07-05 16:51:16,2016-07-01,HCN,Estes Scott A,"EVP, CFO",S - Sale+OE,$76.39,"-3,193","129,934",-2%,"-$243,914",0,-1,+1,-11
22,,2016-06-20 16:16:16,2016-06-17,HCN,Ibele Erin C,"EVP-Head Human Cap., Corp.Secy",S - Sale,$73.74,"-1,955","63,256",-3%,"-$144,162",0,-1,+6,-11
23,D,2016-06-08 16:33:13,2016-06-07,HCN,Estes Scott A,"EVP, CFO",S - Sale+OE,$70.48,"-14,790","129,934",-10%,"-$1,042,424",0,+2,+4,-11
24,,2016-05-17 16:12:35,2016-05-17,HCN,Ibele Erin C,"EVP-Head Human Cap., Corp.Secy",S - Sale,$72.10,"-2,500","65,211",-4%,"-$180,242",-3,-5,+3,-12
25,,2016-03-31 16:07:34,2016-03-31,HCN,Klipsch Fred S,Dir,S - Sale,$68.93,"-1,953","15,653",-11%,"-$134,620",0,0,0,+12
26,D,2016-03-30 16:43:21,2016-03-29,HCN,Brinker Scott M,EVP - Chief Investment Officer,S - Sale+OE,$69.58,"-1,294","109,518",-1%,"-$90,041",+1,+1,+1,+14
27,,2016-03-04 16:27:07,2016-03-03,HCN,Klipsch Fred S,Dir,S - Sale,$65.75,"-2,269","17,606",-11%,"-$149,187",+1,-2,+5,+19
28,,2016-02-24 08:40:27,2016-02-23,HCN,Derosa Thomas J,CEO,P - Purchase,$61.19,"+33,150","192,052",+21%,"+$2,028,319",+1,+9,+10,+29
29,,2015-12-03 16:26:24,2015-12-02,HCN,Klipsch Fred S,Dir,S - Sale,$63.84,"-1,500","17,269",-8%,"-$95,760",+2,+2,+9,+16
30,,2015-11-18 16:14:31,2015-11-16,HCN,Klipsch Fred S,Dir,S - Sale,$58.95,"-2,000","18,769",-10%,"-$117,900",+2,+5,+11,+18
31,,2015-11-12 13:37:09,2015-11-10,HCN,Naughton Timothy J,Dir,P - Purchase,$59.18,"+2,100","5,063",+71%,"+$124,278",+1,+1,+7,+25
32,M,2015-09-16 16:24:16,2015-09-14,HCN,Klipsch Fred S,Dir,S - Sale,$63.83,"-33,021","20,769",-61%,"-$2,107,740",+3,+5,+5,+6
33,D,2015-08-04 16:50:39,2015-07-31,HCN,Ibele Erin C,"EVP-Head Human Cap., Corp.Secy",S - Sale+OE,$70.00,"-2,104","52,170",-4%,"-$147,280",-1,-1,-9,-8
34,,2015-07-22 16:02:14,2015-07-20,HCN,Ibele Erin C,"EVP-Head Human Cap., Corp.Secy",S - Sale,$67.14,-550,"52,170",-1%,"-$36,928",-1,+1,+3,-2
35,D,2015-07-15 17:19:21,2015-07-15,HCN,Miller Jeffrey H,EVP-COO,S - Sale+OE,$68.13,"-2,654","86,930",-3%,"-$180,817",0,-1,+2,+3
36,,2015-06-24 17:42:00,2015-06-22,HCN,Ibele Erin C,"EVP-Head Human Cap., Corp.Secy",S - Sale,$68.54,-550,"52,720",-1%,"-$37,695",-1,-1,+1,+1
37,D,2015-06-17 16:01:33,2015-06-15,HCN,Miller Jeffrey H,EVP-COO,S - Sale+OE,$67.83,"-2,662","87,458",-3%,"-$180,563",+1,-2,-1,-5
38,A,2015-06-15 16:24:54,2015-06-11,HCN,Brinker Scott M,EVP - Chief Investment Officer,P - Purchase,$68.59,+13,"63,147",0%,+$892,+1,+2,+1,-5
39,,2015-06-12 16:04:17,2015-06-10,HCN,Herman Charles J Jr,"EVP, Pres, Srs. Hous, Post Acu",S - Sale,$67.77,"-1,000","87,491",-1%,"-$67,770",-1,+1,+1,-3
40,,2015-06-12 15:57:00,2015-06-11,HCN,Brinker Scott M,EVP - Chief Investment Officer,P - Purchase,$68.17,+13,"63,147",0%,+$886,-1,+1,0,-4
41,D,2015-05-21 16:32:30,2015-05-20,HCN,Ibele Erin C,"EVP-Head Human Cap., Corp.Secy",S - Sale+OE,$71.68,"-1,602","53,270",-3%,"-$114,829",-1,-1,-3,-15
42,D,2015-05-15 16:28:24,2015-05-15,HCN,Miller Jeffrey H,EVP-COO,S - Sale+OE,$71.40,"-2,662","87,991",-3%,"-$190,067",-1,-2,-7,-17
43,,2015-05-12 16:24:23,2015-05-11,HCN,Herman Charles J Jr,"EVP, Pres, Srs. Hous, Post Acu",S - Sale,$71.95,"-1,000","88,491",-1%,"-$71,950",-1,+1,-4,-12
44,D,2015-04-22 16:37:08,2015-04-20,HCN,Ibele Erin C,"EVP-Head Human Cap., Corp.Secy",S - Sale+OE,$75.26,"-1,602","53,820",-3%,"-$120,568",+1,0,-4,-5
