,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-13 16:56:01,2021-09-09,PEAK,Garvey Christine,Dir,S - Sale,$36.20,-575,"27,733",-2%,"-$20,813",,,,
2,,2021-06-14 17:32:50,2021-06-10,PEAK,Garvey Christine,Dir,S - Sale,$34.54,-889,"28,308",-3%,"-$30,706",,,,
3,,2021-05-10 19:01:27,2021-05-06,PEAK,Garvey Christine,Dir,S - Sale,$33.39,"-4,784","29,197",-14%,"-$159,732",,,,
4,,2021-03-01 19:47:06,2021-02-25,PEAK,Garvey Christine,Dir,S - Sale,$29.81,-340,"29,506",-1%,"-$10,135",,,,
5,,2020-11-25 16:14:39,2020-11-23,PEAK,Garvey Christine,Dir,S - Sale,$30.81,"-1,340","31,938",-4%,"-$41,285",,,,
6,,2020-03-03 17:59:55,2020-02-28,PEAK,Lewis Sara Grootwassink,Dir,P - Purchase,$32.13,"+3,000","3,000",New,"+$96,377",,,,
7,,2020-02-24 18:03:22,2020-02-20,PEAK,Garvey Christine,Dir,S - Sale,$36.98,-550,"27,935",-2%,"-$20,340",,,,
8,D,2019-09-05 19:02:49,2019-09-04,HCP,Klaritch Thomas,"EVP, CDO, COO",S - Sale+OE,$36.02,"-35,014","195,515",-15%,"-$1,261,215",,,,
9,,2019-05-13 18:59:52,2019-05-09,HCP,Garvey Christine,Dir,S - Sale,$29.80,"-3,405","30,562",-10%,"-$101,468",,,,
10,D,2018-12-06 19:29:33,2018-12-04,HCP,Klaritch Thomas,"EVP, COO",S - Sale+OE,$29.51,"-82,532","173,748",-32%,"-$2,435,354",,,,
11,,2018-05-15 18:06:44,2018-05-14,HCP,Griffin R Kent Jr,Dir,P - Purchase,$23.80,"+21,100","30,575",+223%,"+$502,180",,,,
12,,2018-02-15 19:36:47,2018-02-14,HCP,Young Kendall K,Senior MD,P - Purchase,$21.91,"+14,000","62,544",+29%,"+$306,739",,,,
13,,2017-06-14 18:00:06,2017-06-13,HCP,Klaritch Thomas,Senior MD,S - Sale,$31.53,"-2,651","176,830",-1%,"-$83,595",,,,
14,,2017-03-16 18:00:59,2017-03-16,HCP,Anderson Scott A,"EVP, CAO",S - Sale,$29.94,"-10,000","27,345",-27%,"-$299,409",0,+2,+6,
