,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-24 17:25:11,2021-08-20,HD,Menear Craig A,"COB, CEO",S - Sale+OE,$325.46,"-68,468","186,544",-27%,"-$22,283,483",,,,
2,D,2021-08-20 17:01:58,2021-08-18,HD,Padilla Hector A,"EVP - Outside Sales, Service",S - Sale+OE,$325.62,"-1,154","7,887",-13%,"-$375,765",,,,
3,D,2021-05-27 16:54:19,2021-05-25,HD,Padilla Hector A,"EVP - Outside Sales, Service",S - Sale+OE,$315.92,-204,"7,887",-3%,"-$64,448",,,,
4,D,2021-05-27 16:46:43,2021-05-25,HD,Lennie William G.,EVP,S - Sale+OE,$316.41,"-32,897","40,010",-45%,"-$10,409,078",,,,
5,D,2021-05-26 16:16:00,2021-05-24,HD,Carey Matt,"EVP, CIO",S - Sale+OE,$316.01,"-113,138","39,506",-74%,"-$35,752,164",,,,
6,,2021-04-16 16:52:46,2020-12-29,HD,Holifield Mark,"EVP-Supply Chain, Product Dev",P - Purchase,$266.07,+83,"27,990",0%,"+$22,084",,,,
7,D,2020-11-23 18:59:14,2020-11-19,HD,Decker Edward P.,"Pres, COO",S - Sale+OE,$269.40,"-25,595","72,679",-26%,"-$6,895,293",,,,
8,D,2020-11-23 18:56:16,2020-11-20,HD,Campbell Ann Marie,"EVP - U.S. Stores, Int'l Ops",S - Sale+OE,$269.03,-120,"51,302",0%,"-$32,284",,,,
9,D,2020-11-20 17:35:32,2020-11-18,HD,Menear Craig A,"COB, CEO",S - Sale+OE,$273.92,"-95,274","172,531",-36%,"-$26,097,480",,,,
10,D,2020-11-20 17:32:45,2020-11-18,HD,McPhail Richard V,"EVP, CFO",S - Sale+OE,$272.81,"-14,285","21,234",-40%,"-$3,897,091",,,,
11,D,2020-11-20 17:28:49,2020-11-18,HD,Holifield Mark,"EVP-Supply Chain, Product Dev",S - Sale+OE,$274.27,"-36,672","23,276",-61%,"-$10,058,029",,,,
12,M,2020-09-17 17:28:26,2015-05-29,HD,Carey Matt,"EVP, CIO",S - Sale,$146.98,"-31,956","35,237",-48%,"-$4,696,987",,,,
13,D,2020-09-14 19:05:50,2020-09-10,HD,Carey Matt,"EVP, CIO",S - Sale+OE,$276.43,"-50,478","66,593",-43%,"-$13,953,617",,,,
14,D,2020-08-24 17:29:18,2020-08-21,HD,Roseborough Teresa Wynn,"EVP, Gen. Counsel, Corp. Sec.",S - Sale+OE,$279.83,"-41,947","20,996",-67%,"-$11,737,852",,,,
15,D,2020-08-24 17:25:20,2020-08-20,HD,Campbell Ann Marie,EVP - U.S. Stores,S - Sale+OE,$280.20,"-14,360","51,705",-22%,"-$4,023,672",,,,
16,D,2020-08-21 17:06:08,2020-08-19,HD,Lennie William G.,"EVP, Outside Sales, Service",S - Sale+OE,$283.22,"-13,199","36,537",-27%,"-$3,738,221",,,,
17,D,2020-05-22 16:33:40,2020-05-20,HD,Lennie William G.,"EVP, Outside Sales, Service",S - Sale+OE,$236.02,"-17,993","36,412",-33%,"-$4,246,708",,,,
18,D,2020-05-22 16:31:38,2020-05-21,HD,Hourigan Timothy A.,EVP - HR,S - Sale+OE,$239.82,"-19,054","55,590",-26%,"-$4,569,530",,,,
19,D,2020-05-22 16:30:22,2020-05-20,HD,Holifield Mark,"EVP-Supply Chain, Product Dev",S - Sale+OE,$235.89,"-52,505","35,276",-60%,"-$12,385,225",,,,
