,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-17 17:10:33,2021-09-15,HES,Hill Gregory P.,"COO, Pres, E, P",S - Sale,$72.04,"-15,000","78,343",-16%,"-$1,080,600",,,,
2,,2021-06-21 21:05:19,2021-06-16,HES,Hess John B,"CEO, 10%",S - Sale,$89.24,"-300,000","8,337,046",-3%,"-$26,771,081",,,,
3,D,2021-06-15 16:23:59,2021-06-11,HES,Hill Gregory P.,"COO, Pres, E, P",S - Sale+OE,$89.26,"-74,074","116,544",-39%,"-$6,611,525",,,,
4,D,2021-06-11 16:31:04,2021-06-10,HES,Hill Gregory P.,"COO, Pres, E, P",S - Sale+OE,$89.43,"-8,198","137,544",-6%,"-$733,133",,,,
5,,2021-05-07 18:12:02,2021-05-07,HES,Slentz Andrew P,SVP,S - Sale,$79.93,"-6,080","45,895",-12%,"-$485,974",,,,
6,D,2021-05-07 18:10:43,2021-05-06,HES,Schoonman Geurt G,SVP,S - Sale+OE,$80.14,"-11,522","38,701",-23%,"-$923,373",,,,
7,D,2021-05-07 18:10:30,2021-05-06,HES,Hess John B,"CEO, 10%",S - Sale+OE,$79.77,"-609,858","208,009",-75%,"-$48,649,321",,,,
8,D,2021-05-07 18:09:35,2021-05-06,HES,Lynch Richard D.,SVP,S - Sale+OE,$80.00,"-19,401","34,778",-36%,"-$1,552,080",,,,
9,D,2021-05-07 18:08:48,2021-05-06,HES,Hill Gregory P.,"COO, Pres, E, P",S - Sale+OE,$78.51,"-120,730","137,544",-47%,"-$9,478,247",,,,
10,D,2021-05-07 18:08:28,2021-05-05,HES,Goodell Timothy B.,"EVP, Gen. Counsel, Secretary",S - Sale+OE,$81.27,"-86,794","140,156",-38%,"-$7,053,432",,,,
11,D,2021-05-07 18:06:48,2021-05-05,HES,Rielly John P,"EVP, CFO",S - Sale+OE,$80.17,"-86,794","246,493",-26%,"-$6,958,064",,,,
12,D,2021-03-09 19:55:33,2021-03-09,HES,Rielly John P,"EVP, CFO",S - Sale+OE,$72.06,"-3,944","276,502",-1%,"-$284,205",,,,
