,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-06 16:05:44,2021-10-04,HIG,Robinson David C,"EVP, GC",S - Sale+OE,$70.85,"-5,469","4,050",-57%,"-$387,479",,,,
2,D,2021-09-03 18:59:27,2021-09-01,HIG,Bennett Jonathan R,EVP,S - Sale+OE,$70.00,"-22,406","25,641",-47%,"-$1,568,420",,,,
3,,2021-08-18 18:39:28,2021-08-16,HIG,Allardice Robert B. III,Dir,S - Sale,$67.61,"-9,000","13,772",-40%,"-$608,517",,,,
4,D,2021-08-06 16:08:40,2021-08-04,HIG,Robinson David C,"EVP, GC",S - Sale+OE,$65.00,"-5,469","9,519",-36%,"-$355,485",,,,
5,D,2021-07-23 08:53:30,2021-07-20,HIG,Bloom William A,EVP,S - Sale+OE,$62.00,"-16,000","5,353",-75%,"-$992,000",,,,
6,D,2021-06-03 16:21:52,2021-06-02,HIG,Bloom William A,EVP,S - Sale+OE,$65.65,"-16,000","21,353",-43%,"-$1,050,400",,,,
7,D,2021-05-05 16:13:06,2021-05-03,HIG,Costello Beth Ann,"EVP, CFO",S - Sale+OE,$66.25,"-10,000","50,296",-17%,"-$662,500",,,,
8,D,2021-04-05 16:08:51,2021-04-01,HIG,Robinson David C,"EVP, GC",S - Sale+OE,$66.37,"-15,693","14,988",-51%,"-$1,041,544",,,,
9,D,2021-04-02 16:08:36,2021-03-31,HIG,Bennett Jonathan R,EVP,S - Sale+OE,$68.00,"-1,865","25,641",-7%,"-$126,820",,,,
10,D,2021-03-31 16:22:13,2021-03-29,HIG,Swift Christopher,"COB, CEO",S - Sale+OE,$65.91,"-148,448","333,007",-31%,"-$9,784,727",,,,
11,D,2021-03-31 16:22:05,2021-03-29,HIG,Bloom William A,EVP,S - Sale+OE,$65.22,"-33,019","37,353",-47%,"-$2,153,499",,,,
12,D,2021-01-04 16:16:27,2020-12-31,HIG,Elliot Douglas G,Pres,S - Sale+OE,$49.00,"-128,535","188,189",-41%,"-$6,298,215",,,,
13,D,2020-09-25 17:12:50,2020-09-23,HIG,Swift Christopher,"COB, CEO",P - Purchase,$35.98,"+6,975","300,109",+2%,"+$250,961",,,,
14,,2020-03-17 16:06:32,2020-03-13,HIG,Fetter Trevor,Dir,P - Purchase,$41.38,"+10,000","105,753",+10%,"+$413,750",,,,
15,D,2020-03-04 16:51:28,2020-03-02,HIG,Bennett Jonathan R,EVP,S - Sale+OE,$50.07,"-3,521","28,801",-11%,"-$176,296",,,,
16,,2020-03-03 17:01:42,2020-02-28,HIG,Fetter Trevor,Dir,P - Purchase,$49.80,"+10,000","95,753",+12%,"+$498,020",,,,
17,,2020-03-03 16:09:35,2020-02-28,HIG,Mikells Kathryn A,Dir,P - Purchase,$49.90,"+5,000","81,115",+7%,"+$249,493",,,,
18,,2020-02-27 16:11:50,2020-02-25,HIG,Lewis Scott R.,"SVP, Controller",S - Sale,$56.64,-846,"36,708",-2%,"-$47,917",,,,
19,D,2020-02-05 16:09:30,2020-02-03,HIG,Costello Beth Ann,"EVP, CFO",S - Sale+OE,$59.57,"-5,000","41,256",-11%,"-$297,850",,,,
20,D,2019-11-19 16:10:56,2019-11-15,HIG,Swift Christopher,"COB, CEO",S - Sale+OE,$62.00,"-30,979","255,239",-11%,"-$1,920,698",,,,
21,D,2019-11-19 16:10:52,2019-11-15,HIG,Bennett Jonathan R,EVP,S - Sale+OE,$62.00,"-22,427","28,786",-44%,"-$1,390,474",,,,
22,D,2019-11-05 16:38:37,2019-11-04,HIG,Costello Beth Ann,"EVP, CFO",S - Sale+OE,$57.70,"-5,000","46,256",-10%,"-$288,500",,,,
23,D,2019-11-01 16:12:13,2019-10-31,HIG,Robinson David C,"EVP, GC",S - Sale+OE,$56.86,"-4,856","21,514",-18%,"-$276,112",,,,
24,D,2019-10-16 16:16:59,2019-10-15,HIG,Paiano Robert W,"EVP, Chief Risk Officer",S - Sale+OE,$59.26,"-3,011","37,892",-7%,"-$178,432",,,,
25,D,2019-09-24 17:49:21,2019-09-20,HIG,Johnson Brion S,EVP,S - Sale+OE,$60.79,"-3,299","23,649",-12%,"-$200,546",,,,
26,D,2019-09-20 16:08:36,2019-09-18,HIG,Bloom William A,EVP,S - Sale+OE,$60.71,"-7,926","26,211",-23%,"-$481,187",,,,
27,DM,2019-09-20 16:08:33,2019-09-18,HIG,Johnson Brion S,EVP,S - Sale+OE,$60.75,"-6,583","26,948",-20%,"-$399,884",,,,
28,DM,2019-09-18 16:17:17,2019-09-16,HIG,Johnson Brion S,EVP,S - Sale+OE,$60.00,"-6,648","33,531",-17%,"-$398,912",,,,
29,D,2019-09-18 16:17:13,2019-09-17,HIG,Gervasi Martha,EVP,S - Sale+OE,$59.95,"-3,672","25,981",-12%,"-$220,136",,,,
30,DM,2019-09-16 16:02:58,2019-09-12,HIG,Swift Christopher,"COB, CEO",S - Sale+OE,$59.94,"-61,958","255,239",-20%,"-$3,713,780",,,,
31,D,2019-09-10 17:08:16,2019-09-06,HIG,Robinson David C,"EVP, GC",S - Sale+OE,$60.04,"-6,978","26,349",-21%,"-$418,959",,,,
32,D,2019-08-20 16:20:15,2019-08-16,HIG,Gervasi Martha,EVP,S - Sale+OE,$58.11,"-3,672","25,981",-12%,"-$213,380",,,,
33,,2019-08-15 16:05:41,2019-08-13,HIG,Allardice Robert B. III,Dir,S - Sale,$59.02,"-3,000","15,513",-16%,"-$177,051",,,,
34,M,2019-08-13 16:09:19,2019-08-09,HIG,Allardice Robert B. III,Dir,S - Sale,$58.22,"-9,500","18,513",-34%,"-$553,064",,,,
35,D,2019-08-07 16:18:00,2019-08-05,HIG,Costello Beth Ann,"EVP, CFO",S - Sale+OE,$57.19,"-5,000","51,256",-9%,"-$285,950",,,,
36,D,2019-07-19 16:05:19,2019-07-17,HIG,Gervasi Martha,EVP,S - Sale+OE,$57.95,"-3,672","25,981",-12%,"-$212,792",,,,
37,D,2019-06-26 16:41:06,2019-06-25,HIG,Johnson Brion S,EVP,S - Sale+OE,$56.04,"-16,048","40,179",-29%,"-$899,384",,,,
38,DM,2019-06-25 17:17:12,2019-06-21,HIG,Johnson Brion S,EVP,S - Sale+OE,$55.72,"-32,094","45,839",-41%,"-$1,788,203",,,,
39,DM,2019-06-21 17:00:13,2019-06-19,HIG,Johnson Brion S,EVP,S - Sale+OE,$55.22,"-32,094","57,159",-36%,"-$1,772,378",,,,
40,D,2019-06-19 19:28:53,2019-06-17,HIG,Gervasi Martha,EVP,S - Sale+OE,$55.04,"-3,672","25,923",-12%,"-$202,107",,,,
41,D,2019-06-19 18:48:20,2019-06-18,HIG,Bloom William A,EVP,S - Sale+OE,$54.48,"-7,927","43,270",-15%,"-$431,863",,,,
42,,2019-06-11 16:15:32,2019-06-07,HIG,Allardice Robert B. III,Dir,S - Sale,$55.23,"-2,000","25,184",-7%,"-$110,464",,,,
43,M,2019-06-07 16:56:28,2019-06-05,HIG,Allardice Robert B. III,Dir,S - Sale,$54.44,"-6,500","27,184",-19%,"-$353,863",,,,
44,D,2019-05-17 16:21:27,2019-05-15,HIG,Paiano Robert W,"EVP, Chief Risk Officer",S - Sale+OE,$52.40,"-5,000","37,779",-12%,"-$262,000",,,,
