,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-18 17:55:33,2021-10-15,HLT,Schuyler Matthew W,See Remarks,S - Sale,$144.82,"-3,000","281,953",-1%,"-$434,454",,,,
2,,2021-09-17 16:51:37,2021-09-15,HLT,Schuyler Matthew W,See Remarks,S - Sale,$130.01,"-3,000","284,953",-1%,"-$390,030",,,,
3,,2021-08-17 19:03:25,2021-08-16,HLT,Schuyler Matthew W,See Remarks,S - Sale,$121.42,"-3,000","287,953",-1%,"-$364,267",,,,
4,,2021-03-12 18:06:10,2021-03-11,HLT,Rinck Martin,See Remarks,S - Sale,$125.00,"-5,413","4,637",-54%,"-$676,625",,,,
5,DM,2021-03-05 18:17:22,2021-03-03,HLT,Fuentes Laura,See Remarks,S - Sale+OE,$123.38,"-5,000","10,864",-32%,"-$616,906",,,,
6,D,2021-03-05 18:11:15,2021-03-05,HLT,Duffy Michael W,See Remarks,S - Sale+OE,$120.79,"-6,000","30,832",-16%,"-$724,740",,,,
7,D,2021-02-19 18:06:05,2021-02-18,HLT,Campbell Kristin Ann,See Remarks,S - Sale+OE,$108.97,"-57,121","219,025",-21%,"-$6,224,475",,,,
8,M,2020-12-07 17:59:58,2020-12-04,HLT,Duffy Michael W,See Remarks,S - Sale,$110.60,"-6,000","34,714",-15%,"-$663,610",,,,
9,,2020-09-15 18:29:24,2020-09-14,HLT,Silcock Christopher W,See Remarks,S - Sale,$90.47,"-42,447","45,682",-48%,"-$3,840,180",,,,
10,,2020-08-28 17:48:51,2020-08-27,HLT,Rinck Martin,See Remarks,S - Sale,$88.80,"-2,000","4,769",-30%,"-$177,602",,,,
11,D,2020-02-14 17:41:54,2020-02-13,HLT,Witter Jonathan W.,See Remarks,S - Sale+OE,$113.32,"-35,325","104,566",-25%,"-$4,003,029",,,,
12,D,2020-02-14 17:36:29,2020-02-12,HLT,Campbell Kristin Ann,See Remarks,S - Sale+OE,$114.06,"-36,186","184,184",-16%,"-$4,127,375",,,,
13,,2019-05-06 17:21:25,2019-05-03,HLT,Carter Ian Russell,See Remarks,S - Sale,$92.48,"-21,700","587,547",-4%,"-$2,006,832",,,,
14,,2019-02-20 18:13:55,2019-02-15,HLT,Jacobs Kevin J,See Remarks,S - Sale,$81.30,"-53,023","202,691",-21%,"-$4,310,955",,,,
15,,2019-02-20 18:07:30,2019-02-15,HLT,Campbell Kristin Ann,See Remarks,S - Sale,$81.26,"-20,452","179,287",-10%,"-$1,661,955",,,,
16,E,2018-04-16 16:16:49,2018-04-13,HLT,"Hna Tourism Group Co., Ltd.",10%,S - Sale,$0.00,"-66,000,000","16,500,000",-80%,-$73,,,,
17,,2017-10-06 18:01:27,2017-10-04,HLT,Blackstone Real Estate Associates VI L.P.,10%,S - Sale,$69.11,"-15,596,175","289,287",-98%,"-$1,077,773,673",,,,
18,,2017-10-06 18:01:15,2017-10-04,HLT,Blackstone Real Estate Partners VI Te 2 L P,10%,S - Sale,$69.11,"-15,596,175","289,287",-98%,"-$1,077,773,673",,,,
19,,2017-10-06 18:00:20,2017-10-04,HLT,Hlt Holdco III LLC,10%,S - Sale,$69.11,"-15,596,175","289,287",-98%,"-$1,077,773,673",,,,
20,,2017-06-15 18:01:55,2017-06-13,HLT,Hlt Holdco III LLC,10%,S - Sale,$65.82,"-16,500,000","31,769",-100%,"-$1,086,030,000",,,,
21,,2017-06-15 18:00:39,2017-06-13,HLT,Blackstone Real Estate Associates VI L.P.,10%,S - Sale,$65.82,"-16,500,000","31,769",-100%,"-$1,086,030,000",,,,
22,,2017-06-15 18:00:22,2017-06-13,HLT,Blackstone Real Estate Partners VI Te 2 L P,10%,S - Sale,$65.82,"-16,500,000","31,769",-100%,"-$1,086,030,000",,,,
23,E,2017-03-17 19:49:20,2017-03-15,HLT,Blackstone Real Estate Partners VI Te 2 L P,10%,S - Sale,$6.67,"-82,500,000","40,379",-100%,"-$550,006,119",-1,+1,-1,
24,E,2017-03-17 19:48:23,2017-03-15,HLT,Hlt Holdco III LLC,10%,S - Sale,$6.67,"-82,500,000","40,379",-100%,"-$550,006,119",-1,+1,-1,
25,E,2017-03-17 19:44:41,2017-03-15,HLT,Blackstone Real Estate Associates VI L.P.,10%,S - Sale,$6.67,"-82,500,000","40,379",-100%,"-$550,006,119",-1,+1,-1,
26,,2016-12-14 17:01:17,2016-12-12,HLT,Campbell Kristin Ann,See Remarks,S - Sale,$26.21,"-75,000","391,315",-16%,"-$1,965,750",+2,+4,+3,
27,,2016-11-17 17:13:41,2016-11-15,HLT,Hlt Breh Intl II Holdings Holdco LLC,10%,S - Sale,$23.37,"-55,000,000","206,467",-100%,"-$1,285,350,000",-1,+2,+12,
28,,2016-11-17 17:10:49,2016-11-15,HLT,Hlt Brep Vi.Te.2 Holdings Holdco LLC,10%,S - Sale,$23.37,"-55,000,000","206,467",-100%,"-$1,285,350,000",-1,+2,+12,
29,,2016-11-17 17:09:38,2016-11-15,HLT,Hlt A23 Holdco LLC,10%,S - Sale,$23.37,"-55,000,000","206,467",-100%,"-$1,285,350,000",-1,+2,+12,
30,,2016-11-17 17:09:07,2016-11-15,HLT,Hlt Holdco LLC,10%,S - Sale,$23.37,"-55,000,000","206,467",-100%,"-$1,285,350,000",-1,+2,+12,
31,M,2015-08-24 16:51:09,2015-08-20,HLT,Jacobs Kevin J,See Remarks,S - Sale,$24.88,"-24,900","459,855",-5%,"-$619,513",-1,+5,0,-15
32,,2015-08-10 17:04:33,2015-08-10,HLT,Steenland Douglas M,Dir,P - Purchase,$26.10,"+10,000","21,317",+88%,"+$261,000",-1,-2,-3,-33
33,M,2015-07-09 16:11:07,2015-07-07,HLT,Jacobs Kevin J,See Remarks,S - Sale,$27.54,"-26,000","484,755",-5%,"-$715,996",+2,+3,-6,-26
34,M,2015-06-12 16:51:28,2015-06-10,HLT,Jacobs Kevin J,See Remarks,S - Sale,$28.83,"-26,000","510,755",-5%,"-$749,683",-1,-1,-1,-23
35,M,2015-05-29 17:20:37,2015-05-27,HLT,Jacobs Kevin J,See Remarks,S - Sale,$29.33,"-26,000","536,755",-5%,"-$762,533",+1,+1,-3,-18
36,E,2015-05-18 16:46:03,2015-05-14,HLT,Hlt Breh Intl II Holdings Holdco LLC,10%,S - Sale,$3.61,"-90,000,000","384,076,655",-19%,"-$324,934,913",0,-1,-5,-15
37,E,2015-05-18 16:44:56,2015-05-14,HLT,Hlt A23 Holdco LLC,10%,S - Sale,$3.61,"-90,000,000","384,076,655",-19%,"-$324,934,913",0,-1,-5,-15
38,E,2015-05-18 16:42:58,2015-05-14,HLT,Hlt Holdco LLC,10%,S - Sale,$3.61,"-90,000,000","384,076,655",-19%,"-$324,934,913",0,-1,-5,-15
39,,2015-05-12 17:50:47,2015-05-08,HLT,Kuykendall Paula A,See Remarks,S - Sale,$30.00,"-28,766","107,065",-21%,"-$862,980",-1,0,-3,-13
40,M,2015-04-10 20:04:13,2015-04-09,HLT,Jacobs Kevin J,See Remarks,S - Sale,$30.71,"-26,000","562,755",-4%,"-$798,392",-2,-4,-3,-21
41,M,2015-03-12 17:07:16,2015-03-10,HLT,Jacobs Kevin J,See Remarks,S - Sale,$28.00,"-26,000","588,755",-4%,"-$727,913",-1,+4,+9,-10
