,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-24 16:18:20,2021-05-21,HST,Rakowich Walter C,Dir,S - Sale,$16.83,"-3,300","48,147",-6%,"-$55,541",,,,
2,,2020-11-25 16:19:11,2020-11-24,HST,Hamilton Joanne G.,"EVP, HR",S - Sale,$14.84,"-3,091","125,250",-2%,"-$45,874",,,,
3,,2020-11-12 16:13:38,2020-11-11,HST,Macnamara Brian G,"SVP, Controller",S - Sale,$12.86,"-17,527","57,987",-23%,"-$225,323",,,,
4,,2020-05-18 11:52:47,2020-05-18,HST,Rakowich Walter C,Dir,S - Sale,$10.63,"-5,566","43,198",-11%,"-$59,167",,,,
5,,2020-05-13 15:16:06,2020-05-12,HST,Bair Sheila Colleen,Dir,P - Purchase,$10.16,"+1,000","1,000",New,"+$10,157",,,,
6,,2020-02-12 14:30:41,2019-12-19,HST,Marriott Richard E,COB,S - Sale,$18.51,"-146,026","5,939,049",-2%,"-$2,702,941",,,,
7,,2019-12-20 16:03:45,2019-12-19,HST,Marriott Richard E,COB,S - Sale,$18.51,"-160,195","6,085,075",-3%,"-$2,965,209",,,,
8,,2019-06-14 10:05:43,2019-04-15,HST,Lentz Michael E,EVP,P - Purchase,$19.07,+248,"43,709",+1%,"+$4,732",,,,
9,,2019-05-20 17:27:22,2019-05-17,HST,Rakowich Walter C,Dir,S - Sale,$19.17,"-2,895","42,087",-6%,"-$55,497",,,,
10,,2019-05-07 09:12:40,2019-05-06,HST,Tyrrell Nathan S,"EVP, Investments",S - Sale,$19.73,"-1,685","162,713",-1%,"-$33,239",,,,
11,,2019-03-07 13:27:46,2019-03-05,HST,Bluhm Michael D,CFO,S - Sale,$19.84,"-18,360","176,618",-9%,"-$364,222",,,,
12,D,2018-05-29 10:44:47,2018-05-25,HST,Tyrrell Nathan S,"EVP, Investments",S - Sale+OE,$21.59,"-5,480","98,228",-5%,"-$118,335",,,,
13,,2018-05-21 14:21:00,2018-05-18,HST,Rakowich Walter C,Dir,S - Sale,$20.40,"-2,757","38,084",-7%,"-$56,243",,,,
14,,2018-05-18 16:36:34,2018-05-16,HST,Hamilton Joanne G.,"EVP, HR",S - Sale,$20.35,"-3,500","61,556",-5%,"-$71,225",,,,
15,,2018-05-14 14:49:43,2018-05-11,HST,Abdoo Elizabeth A,"EVP, GC",S - Sale,$20.89,"-60,000","154,509",-28%,"-$1,253,256",,,,
