,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-12 16:14:09,2021-08-10,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale+OE,$77.49,"-5,000","16,896",-23%,"-$387,425",,,,
2,,2021-05-12 16:08:57,2021-05-10,HOLX,Daugherty Sean S.,"Group Pres, BSH, Surg.",S - Sale,$65.02,"-4,001","26,613",-13%,"-$260,149",,,,
3,,2021-02-09 16:18:41,2021-02-05,HOLX,Bebo Allison P,"SVP, HR",S - Sale,$84.06,"-6,100","35,680",-15%,"-$512,778",,,,
4,D,2021-02-08 16:56:59,2021-02-04,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale+OE,$84.31,"-8,396","16,652",-34%,"-$707,867",,,,
5,D,2020-12-14 16:44:37,2020-12-10,HOLX,Thornal Kevin R,"Div. Pres, Diagnostics",S - Sale+OE,$73.99,"-16,869","33,216",-34%,"-$1,248,212",,,,
6,,2020-12-14 16:41:41,2020-12-10,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale,$73.64,"-1,477","16,575",-8%,"-$108,759",,,,
7,D,2020-11-20 16:12:21,2020-11-18,HOLX,Griffin John M.,GC,S - Sale+OE,$71.08,"-22,900","134,486",-15%,"-$1,627,689",,,,
8,D,2020-11-19 16:10:44,2020-11-17,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale+OE,$72.58,"-5,000","18,292",-21%,"-$362,900",,,,
9,D,2020-11-16 16:24:55,2020-11-12,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale+OE,$70.60,"-6,542","18,292",-26%,"-$461,846",,,,
10,D,2020-11-06 16:10:51,2020-11-04,HOLX,Stamoulis Christiana,Dir,S - Sale+OE,$74.00,"-11,146","39,392",-22%,"-$824,804",,,,
11,D,2020-09-23 16:21:43,2020-09-21,HOLX,Oberton Karleen Marie,CFO,S - Sale+OE,$62.50,"-15,000","34,417",-30%,"-$937,500",,,,
12,D,2020-08-05 17:49:18,2020-08-03,HOLX,Cohn Benjamin Jordan,Principal Accounting Officer,S - Sale+OE,$71.25,"-4,924","16,713",-23%,"-$350,810",,,,
13,D,2020-07-02 16:04:30,2020-06-30,HOLX,Valenti Peter J. III,"Division Pres, Breast Health",S - Sale+OE,$54.07,"-10,493","59,991",-15%,"-$567,357",,,,
14,D,2020-05-27 16:12:52,2020-05-22,HOLX,Valenti Peter J. III,"Division Pres, Breast Health",S - Sale+OE,$51.82,"-10,493","59,991",-15%,"-$543,779",,,,
15,,2020-05-27 16:09:12,2020-05-22,HOLX,Crawford Sally,Dir,S - Sale,$51.99,"-31,950","126,847",-20%,"-$1,661,081",,,,
16,D,2020-05-19 16:09:03,2020-05-15,HOLX,Thornal Kevin R,"Div. Pres, Diagnostics",S - Sale+OE,$51.51,"-13,888","17,026",-45%,"-$715,426",,,,
17,D,2020-05-15 16:17:33,2020-05-13,HOLX,Macmillan Stephen P,"COB, Pres, CEO",S - Sale+OE,$50.97,"-190,996","1,722,442",-10%,"-$9,735,257",,,,
18,D,2020-04-30 16:07:45,2020-04-28,HOLX,Griffin John M.,GC,S - Sale+OE,$50.00,"-4,906","95,307",-5%,"-$245,300",,,,
19,D,2020-03-11 16:07:18,2020-03-09,HOLX,Crawford Sally,Dir,S - Sale+OE,$44.08,"-11,146","158,797",-7%,"-$491,317",,,,
20,D,2020-02-05 16:16:05,2020-02-03,HOLX,Macmillan Stephen P,"COB, Pres, CEO",S - Sale+OE,$53.54,"-194,396","1,697,442",-10%,"-$10,407,184",,,,
21,D,2020-01-15 17:59:59,2020-01-13,HOLX,Griffin John M.,GC,S - Sale+OE,$52.86,"-19,624","95,307",-17%,"-$1,037,334",,,,
