,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-01 17:47:04,2021-08-30,HON,Adamczyk Darius,"COB, CEO",S - Sale+OE,$231.97,"-28,571","145,444",-16%,"-$6,627,615",,,,
2,,2021-08-11 21:47:30,2021-08-10,HON,Dallara Que,"Pres, CEO, HCE",S - Sale,$231.28,"-10,759","3,774",-74%,"-$2,488,342",,,,
3,D,2021-05-03 17:23:04,2021-04-29,HON,Madden Anne T,"SrVP, GC",S - Sale+OE,$223.22,"-8,885","29,365",-23%,"-$1,983,310",,,,
4,DM,2021-03-02 20:32:40,2019-07-02,HON,Kapur Vimal,"Pres, CEO, HBT",P - Purchase,$173.00,+18,"18,192",0%,"+$3,114",,,,
5,D,2021-03-02 20:32:40,2019-10-29,HON,Kapur Vimal,"Pres, CEO, HBT",S - Sale+OE,$172.82,-2,"18,192",0%,-$346,,,,
6,D,2020-11-12 16:34:05,2020-11-11,HON,Davis D Scott,Dir,S - Sale+OE,$198.86,"-2,111","24,955",-8%,"-$419,793",,,,
7,D,2020-11-10 16:07:08,2020-11-09,HON,Kapur Vimal,"Pres, CEO, HBT",S - Sale+OE,$194.38,"-7,500","16,329",-31%,"-$1,457,850",,,,
8,,2020-11-09 16:09:44,2020-11-05,HON,Gautam Rajeev,"Pres, CEO, PMT",S - Sale,$182.35,"-29,606","9,089",-77%,"-$5,398,654",,,,
9,D,2020-09-29 16:10:48,2020-09-28,HON,Adamczyk Darius,"COB, CEO",S - Sale+OE,$163.95,"-20,000","119,534",-14%,"-$3,279,000",,,,
10,,2020-02-20 16:06:54,2020-02-18,HON,Deily Linnet F,Dir,S - Sale,$179.01,"-2,003","5,906",-25%,"-$358,557",,,,
11,,2019-08-21 16:05:01,2019-08-20,HON,Gautam Rajeev,"Pres, CEO, PMT",S - Sale,$163.88,"-10,984","31,906",-26%,"-$1,800,058",,,,
12,,2019-08-16 17:36:05,2019-08-16,HON,Adamczyk Darius,"COB, CEO",S - Sale,$165.08,"-7,149","77,868",-8%,"-$1,180,157",,,,
