,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-21 18:56:59,2021-10-21,HPE,Hotard Justin,"SVP, GM, HPC, MCS",S - Sale+OE,$15.41,"-12,286",0,-100%,"-$189,327",,,,
2,D,2021-10-19 18:04:34,2021-10-15,HPE,Neri Antonio F,"Pres, CEO",S - Sale+OE,$15.26,"-88,136","394,040",-18%,"-$1,344,876",,,,
3,D,2021-09-14 17:51:56,2021-09-10,HPE,Black Thomas E Jr,"SVP, GM of Storage",S - Sale+OE,$14.55,"-16,512",0,-100%,"-$240,250",,,,
4,D,2021-09-08 18:36:21,2021-09-08,HPE,Rothman Irv,"Pres, CEO Financial Services",S - Sale+OE,$14.96,"-10,000","31,620",-24%,"-$149,600",,,,
5,,2021-06-16 17:16:36,2021-06-15,HPE,Black Thomas E Jr,"SVP, GM of Storage",S - Sale,$15.64,"-11,155","16,512",-40%,"-$174,464",,,,
6,D,2021-06-09 16:26:25,2021-06-07,HPE,Hotard Justin,"SVP, GM, HPC, MCS",S - Sale+OE,$16.26,"-44,476",0,-100%,"-$723,384",,,,
7,D,2021-06-09 16:26:22,2021-06-07,HPE,May Alan Richard,"EVP, Chief People Officer",S - Sale+OE,$16.30,"-15,000","196,317",-7%,"-$244,500",,,,
8,,2021-06-08 17:34:42,2021-06-04,HPE,Reiner Gary M,Dir,S - Sale,$15.98,"-75,000","198,518",-27%,"-$1,198,425",,,,
9,D,2021-06-03 18:21:58,2021-06-01,HPE,Melkote Keerti,Pres Intelligent Edge,S - Sale+OE,$16.08,"-37,918","75,837",-33%,"-$609,536",,,,
10,,2021-05-26 17:48:49,2021-05-26,HPE,Black Thomas E Jr,"SVP, GM of Storage",S - Sale,$16.09,"-10,003","27,667",-27%,"-$160,948",,,,
11,D,2021-04-28 17:03:25,2021-04-26,HPE,Schultz John F,"EVP, COLO",S - Sale+OE,$16.54,"-269,598","11,912",-96%,"-$4,459,421",,,,
12,D,2021-03-22 19:23:40,2021-03-18,HPE,Schultz John F,"EVP, COLO",S - Sale+OE,$16.04,"-269,598","281,505",-49%,"-$4,324,406",,,,
