,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,DM,2021-09-15 16:39:34,2021-09-13,LHX,Brown William M,Exec Chair,S - Sale+OE,$227.99,"-170,322","208,614",-45%,"-$38,832,341",,,,
2,,2021-09-13 18:46:58,2021-09-09,LHX,Mikuen Scott T,"SVP-GC, Secy",S - Sale,$230.77,"-10,753","54,133",-17%,"-$2,481,470",,,,
3,DM,2021-09-13 18:43:40,2021-09-09,LHX,Brown William M,Exec Chair,S - Sale+OE,$231.68,"-170,324","208,614",-45%,"-$39,459,786",,,,
4,DM,2021-09-09 20:15:56,2021-09-07,LHX,Brown William M,Exec Chair,S - Sale+OE,$230.11,"-170,324","208,614",-45%,"-$39,192,542",,,,
5,D,2021-09-08 19:31:43,2021-09-03,LHX,Brown William M,Exec Chair,S - Sale+OE,$231.99,"-85,162","208,614",-29%,"-$19,756,505",,,,
6,,2021-08-06 20:08:41,2021-08-05,LHX,Mehnert Dana A,"Pres, Communication Systems",S - Sale,$231.48,"-60,200","7,369",-89%,"-$13,935,264",,,,
7,D,2021-08-06 20:07:17,2021-08-05,LHX,Gautier Todd W.,"Pres, Aviation Systems",S - Sale+OE,$230.62,"-15,571","16,836",-48%,"-$3,590,984",,,,
8,D,2021-07-21 17:15:20,2021-07-20,LHX,Mikuen Scott T,"SVP-GC, Secy",S - Sale+OE,$225.08,"-8,573","64,886",-12%,"-$1,929,611",,,,
9,D,2021-07-20 16:24:25,2021-07-16,LHX,Mikuen Scott T,"SVP-GC, Secy",S - Sale+OE,$225.36,"-2,826","64,886",-4%,"-$636,867",,,,
10,D,2021-07-15 17:13:00,2021-07-13,LHX,Mikuen Scott T,"SVP-GC, Secy",S - Sale+OE,$225.25,"-28,321","64,886",-30%,"-$6,379,305",,,,
11,,2021-07-15 17:10:03,2021-07-13,LHX,Corcoran Thomas A,Dir,S - Sale,$225.21,"-4,450","17,020",-21%,"-$1,002,185",,,,
12,,2021-06-15 17:18:50,2021-06-14,LHX,Mehnert Dana A,"Pres, Communication Systems",S - Sale,$222.07,"-2,500","67,546",-4%,"-$555,175",,,,
13,DM,2021-06-10 20:05:09,2021-06-08,LHX,Brown William M,"Chair, CEO",S - Sale+OE,$218.30,"-149,656","276,456",-35%,"-$32,670,187",,,,
14,D,2021-06-09 16:34:41,2021-06-07,LHX,Mehnert Dana A,"Pres, Communication Systems",S - Sale+OE,$219.14,"-64,643","70,046",-48%,"-$14,166,030",,,,
15,D,2021-06-09 16:30:24,2021-06-07,LHX,Brown William M,"Chair, CEO",S - Sale+OE,$219.33,"-119,303","337,162",-26%,"-$26,166,163",,,,
16,D,2021-06-08 18:06:54,2021-06-04,LHX,Taylor Todd A.,"VP, Principal Accting. Officer",S - Sale+OE,$220.70,"-5,312","8,249",-39%,"-$1,172,358",,,,
17,D,2020-12-08 17:35:23,2020-12-07,LHX,Taylor Todd A.,"VP, Principal Accting. Officer",S - Sale+OE,$194.64,"-4,976","9,159",-35%,"-$968,529",,,,
18,,2020-11-18 17:12:37,2020-11-16,LHX,Mehnert Dana A,"Pres, Communication Systems",S - Sale,$200.00,"-2,471","93,677",-3%,"-$494,200",,,,
19,D,2020-11-18 17:09:36,2020-11-16,LHX,Mikuen Scott T,"SVP-GC, Secy",S - Sale+OE,$200.00,"-28,860","64,803",-31%,"-$5,772,000",,,,
20,D,2020-11-06 16:30:21,2020-11-05,LHX,Mikuen Scott T,"SVP-GC, Secy",S - Sale+OE,$184.55,"-20,000","64,803",-24%,"-$3,690,949",,,,
21,M,2020-06-12 20:09:22,2019-07-02,LHX,Fradin Roger,Dir,P - Purchase,$191.59,+453,910,+99%,"+$86,788",,,,
22,M,2020-06-12 20:09:22,2019-12-10,LHX,Fradin Roger,Dir,S - Sale,$152.41,-268,910,-23%,"-$40,845",,,,
23,,2020-06-12 20:04:03,2020-06-10,LHX,Corcoran Thomas A,Dir,S - Sale,$206.17,"-1,500","20,167",-7%,"-$309,255",,,,
24,,2020-06-01 17:11:46,2020-05-29,LHX,Kramer Lewis,Dir,S - Sale,$195.00,"-6,000","13,278",-31%,"-$1,170,000",,,,
25,D,2020-02-14 16:24:37,2020-02-12,LHX,Brown William M,"COB, CEO",S - Sale+OE,$227.74,"-51,600","367,444",-12%,"-$11,751,318",,,,
26,DM,2020-02-12 18:44:07,2020-02-10,LHX,Brown William M,"COB, CEO",S - Sale+OE,$228.38,"-130,000","367,444",-26%,"-$29,689,602",,,,
27,D,2020-02-12 18:35:17,2020-02-10,LHX,Zoiss Edward J,Segment Pres,S - Sale+OE,$228.98,"-23,710","21,269",-53%,"-$5,429,143",,,,
28,D,2020-01-23 17:09:12,2020-01-21,LHX,Mikuen Scott T,"SVP-GC, Secy",S - Sale+OE,$220.00,"-16,820","64,707",-21%,"-$3,700,400",,,,
29,D,2020-01-08 16:15:33,2020-01-06,LHX,Mikuen Scott T,"SVP-GC, Secy",S - Sale+OE,$210.51,"-15,000","64,707",-19%,"-$3,157,581",,,,
30,,2019-09-11 16:44:42,2019-09-10,LHX,Dattilo Thomas A,Dir,P - Purchase,$200.80,"+1,000","3,000",+50%,"+$200,800",,,,
31,DM,2019-09-11 16:41:01,2019-09-09,LHX,Brown William M,"COB, CEO",S - Sale+OE,$207.82,"-106,552","367,443",-22%,"-$22,143,447",,,,
32,,2019-09-11 16:34:14,2019-09-10,LHX,Bailey Sallie B,Dir,P - Purchase,$200.00,+700,"1,192",+142%,"+$140,000",,,,
33,D,2019-09-09 17:30:58,2019-09-05,LHX,Mikuen Scott T,"SVP-GC, Secy",S - Sale+OE,$213.80,"-56,500","65,978",-46%,"-$12,079,567",,,,
34,DM,2019-09-09 17:29:13,2019-09-05,LHX,Brown William M,"COB, CEO",S - Sale+OE,$214.52,"-130,000","367,443",-26%,"-$27,887,541",,,,
35,DM,2019-09-05 17:10:41,2019-09-03,LHX,Brown William M,"COB, CEO",S - Sale+OE,$211.07,"-130,000","367,443",-26%,"-$27,439,100",,,,
36,D,2019-09-05 16:22:37,2019-09-03,LHX,Mehnert Dana A,Segment Pres,S - Sale+OE,$209.42,"-73,150","96,035",-43%,"-$15,319,073",,,,
37,,2019-09-05 16:17:15,2019-09-03,LHX,Dattilo Thomas A,Dir,P - Purchase,$209.19,"+1,000","2,000",+100%,"+$209,190",,,,
38,,2019-08-23 16:07:20,2019-08-22,LHX,Corcoran Thomas A,Dir,S - Sale,$212.56,"-2,894","21,666",-12%,"-$615,149",,,,
39,D,2019-08-21 16:36:44,2019-08-19,LHX,Gautier Todd W.,"Pres, Aviation Systems",S - Sale+OE,$212.90,"-11,972","17,181",-41%,"-$2,548,797",,,,
40,,2019-08-07 16:38:18,2019-08-05,LHX,Hay Lewis III,Dir,P - Purchase,$203.34,"+9,800","15,028",+187%,"+$1,992,732",,,,
41,,2019-05-10 16:44:31,2019-02-05,HRS,Gattle William H,"Pres, Space, Intel Sys",S - Sale,$157.40,-77,"6,984",-1%,"-$12,079",,,,
