,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-11 17:04:26,2021-05-10,HSIC,Mlotek Mark E,"EVP, Chief Strategic Officer",S - Sale,$83.02,"-13,296","116,552",-10%,"-$1,103,834",,,,
2,,2021-05-10 16:52:23,2021-05-07,HSIC,Paladino Steven,"EVP, CFO",S - Sale,$80.62,"-22,658","151,298",-13%,"-$1,826,597",,,,
3,,2021-05-10 16:49:49,2021-05-07,HSIC,Benjamin Gerald A,"EVP, Chief Admin. Officer",S - Sale,$82.08,"-7,227","120,369",-6%,"-$593,192",,,,
4,,2021-05-07 17:33:45,2021-05-06,HSIC,Siegel Walter,"SVP, GC",S - Sale,$78.27,"-2,257","50,515",-4%,"-$176,655",,,,
5,,2021-05-07 17:31:23,2021-05-06,HSIC,Ettinger Michael S,"SVP Corp, Legal Ch of Staff Se",S - Sale,$78.27,"-3,344","92,188",-4%,"-$261,735",,,,
6,,2021-05-07 17:29:30,2021-05-06,HSIC,Breslawski James P,"Vice COB, Pres",S - Sale,$79.18,"-21,113","233,235",-8%,"-$1,671,801",,,,
7,,2021-05-06 17:42:27,2021-05-05,HSIC,Kuehn Kurt P,Dir,S - Sale,$79.00,"-3,000","15,952",-16%,"-$237,000",,,,
8,,2021-03-05 16:49:20,2021-03-04,HSIC,Laskawy Philip A,Dir,S - Sale,$62.29,"-2,889","31,156",-8%,"-$179,956",,,,
9,,2021-02-25 16:36:50,2021-02-24,HSIC,Derby Deborah,Dir,P - Purchase,$66.22,+760,760,New,"+$50,327",,,,
10,,2021-02-19 16:18:44,2021-02-18,HSIC,Ali Mohamad,Dir,P - Purchase,$63.65,"+1,000","1,000",New,"+$63,654",,,,
11,,2020-11-10 17:16:05,2020-11-09,HSIC,Bergman Stanley M,"COB, CEO",S - Sale,$67.09,"-80,000","1,639,666",-5%,"-$5,367,463",,,,
12,,2020-08-10 16:06:58,2020-08-07,HSIC,Ettinger Michael S,"SVP Corp, Legal Ch of Staff Se",S - Sale,$66.71,"-7,630","87,988",-8%,"-$508,997",,,,
13,,2020-08-06 16:06:07,2020-08-05,HSIC,Benjamin Gerald A,"EVP, Chief Admin. Officer",S - Sale,$68.08,"-14,430","119,869",-11%,"-$982,418",,,,
14,,2020-06-10 16:24:43,2020-06-09,HSIC,Brons Paul,Dir,S - Sale,$64.65,"-2,328","15,208",-13%,"-$150,496",,,,
15,,2020-06-08 17:23:43,2020-06-05,HSIC,Siegel Walter,"SVP, GC",S - Sale,$65.00,"-1,149","51,620",-2%,"-$74,685",,,,
16,,2020-03-11 16:25:50,2020-03-10,HSIC,Laskawy Philip A,Dir,S - Sale,$56.12,"-4,533","31,255",-13%,"-$254,382",,,,
17,M,2020-03-06 16:33:35,2020-03-04,HSIC,Breslawski James P,"Vice COB, Pres",S - Sale,$60.78,"-11,672","253,610",-4%,"-$709,432",,,,
18,,2019-11-08 18:16:52,2019-11-06,HSIC,Bergman Stanley M,"COB, CEO",S - Sale,$67.51,"-90,000","1,130,269",-7%,"-$6,075,500",,,,
19,,2019-11-08 16:55:32,2019-11-07,HSIC,Paladino Steven,"EVP, CFO",S - Sale,$68.83,"-21,370","151,537",-12%,"-$1,470,897",,,,
20,,2019-11-08 16:41:50,2019-11-07,HSIC,Brons Paul,Dir,S - Sale,$69.34,"-1,758","15,824",-10%,"-$121,900",,,,
21,,2019-11-07 17:56:19,2019-11-06,HSIC,Breslawski James P,"Vice COB, Pres",S - Sale,$66.96,"-6,856","242,190",-3%,"-$459,078",,,,
22,,2019-11-07 17:46:36,2019-11-06,HSIC,Ettinger Michael S,"SVP Corp, Legal Ch of Staff Se",S - Sale,$66.96,"-3,671","85,311",-4%,"-$245,810",,,,
23,,2019-08-08 17:26:04,2019-08-07,HSIC,Breslawski James P,"Vice COB, Pres",S - Sale,$60.17,"-6,856","249,046",-3%,"-$412,526",,,,
24,,2019-06-20 16:27:17,2019-06-19,HSIC,Paladino Steven,"EVP, CFO",S - Sale,$72.17,"-20,712","173,068",-11%,"-$1,494,785",,,,
