,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-02-09 16:14:41,2021-02-08,IBM,Howard Michelle J,Dir,P - Purchase,$123.30,+64,64,New,"+$7,891",,,,
2,,2020-11-09 15:47:26,2020-11-09,IBM,Gorsky Alex,Dir,P - Purchase,$117.86,"+4,232","4,232",New,"+$498,762",,,,
3,,2020-11-02 14:42:26,2020-11-02,IBM,Liveris Andrew N,Dir,P - Purchase,$112.92,"+2,655","2,655",New,"+$299,803",,,,
4,,2020-11-02 11:44:08,2020-10-30,IBM,Swedish Joseph,Dir,P - Purchase,$111.01,"+2,000","5,261",+61%,"+$222,020",,,,
5,,2020-10-30 12:29:54,2020-10-29,IBM,Farr David N,Dir,P - Purchase,$107.74,"+1,500","7,508",+25%,"+$161,609",,,,
6,,2020-10-29 12:37:06,2020-10-28,IBM,McNabb Frederick William III,Dir,P - Purchase,$108.01,"+9,250","9,250",New,"+$999,125",,,,
7,,2020-10-29 12:36:58,2020-10-28,IBM,Waddell Frederick H,Dir,P - Purchase,$107.50,"+1,000","3,763",+36%,"+$107,496",,,,
8,,2020-10-28 16:29:14,2020-10-27,IBM,Taurel Sidney,Dir,P - Purchase,$110.75,"+5,000","28,798",+21%,"+$553,725",,,,
9,DM,2020-08-11 14:00:06,2020-08-10,IBM,Gherson Diane J,SVP,S - Sale+OE,$128.74,"-5,824","25,988",-18%,"-$749,768",,,,
10,,2020-08-07 19:58:21,2020-08-05,IBM,Gherson Diane J,SVP,S - Sale,$126.73,"-1,176","31,767",-4%,"-$149,034",,,,
11,,2020-02-27 18:43:55,2020-02-26,IBM,Del Bene Robert F,"VP, Controller",S - Sale,$140.39,"-1,175","7,891",-13%,"-$164,952",,,,
12,M,2020-02-21 17:03:03,2020-02-19,IBM,Del Bene Robert F,"VP, Controller",S - Sale,$151.03,"-2,350","9,066",-21%,"-$354,923",,,,
13,,2020-02-18 16:48:05,2020-02-14,IBM,Del Bene Robert F,"VP, Controller",S - Sale,$151.97,"-1,175","11,416",-9%,"-$178,560",,,,
14,D,2019-06-17 16:16:44,2019-06-14,IBM,Keverian Kenneth M,SVP,S - Sale+OE,$135.15,"-2,227","32,978",-6%,"-$300,979",,,,
15,,2019-06-12 16:15:40,2019-06-11,IBM,Keverian Kenneth M,SVP,S - Sale,$135.50,"-2,690","34,765",-7%,"-$364,495",,,,
16,,2019-06-05 16:02:39,2019-06-04,IBM,Keverian Kenneth M,SVP,S - Sale,$132.00,"-2,083","34,565",-6%,"-$274,956",,,,
17,,2019-03-08 16:03:59,2019-03-07,IBM,Del Bene Robert F,"VP, Controller",S - Sale,$135.51,-124,"8,693",-1%,"-$16,758",,,,
18,,2019-03-04 16:01:53,2019-03-01,IBM,Clementi Erich,SVP,S - Sale,$139.01,"-13,000","38,049",-25%,"-$1,807,093",,,,
19,M,2019-02-06 16:35:37,2019-02-05,IBM,Gherson Diane J,SVP,S - Sale,$135.67,"-5,754","20,266",-22%,"-$780,625",,,,
20,,2018-11-05 08:55:50,2018-11-01,IBM,Waddell Frederick H,Dir,P - Purchase,$115.99,"+2,153","2,763",+353%,"+$249,722",,,,
21,,2018-11-05 08:55:42,2018-11-01,IBM,Swedish Joseph,Dir,P - Purchase,$116.42,"+2,000","3,261",+159%,"+$232,838",,,,
22,D,2018-11-05 08:54:48,2018-11-02,IBM,Rometty Virginia M,"COB, Pres, CEO",P - Purchase,$117.51,"+8,500","251,898",+3%,"+$998,835",,,,
23,,2018-11-02 14:05:04,2018-10-31,IBM,Owens James W,Dir,P - Purchase,$114.67,"+1,000","6,000",+20%,"+$114,673",,,,
24,,2018-11-02 14:04:52,2018-10-31,IBM,Taurel Sidney,Dir,P - Purchase,$115.02,"+4,311","23,798",+22%,"+$495,846",,,,
25,,2018-08-06 16:38:19,2018-08-03,IBM,Gherson Diane J,SVP,S - Sale,$145.42,"-11,451","11,055",-51%,"-$1,665,219",,,,
26,,2018-08-06 16:35:56,2018-06-22,IBM,Farr David N,Dir,P - Purchase,$141.46,"+1,100","6,008",+22%,"+$155,611",,,,
27,,2018-02-27 16:03:00,2018-02-26,IBM,Gherson Diane J,SVP,S - Sale,$156.00,"-5,000","20,581",-20%,"-$780,000",,,,
28,,2018-02-26 16:12:18,2018-02-23,IBM,Clementi Erich,SVP,S - Sale,$154.66,"-13,000","27,984",-32%,"-$2,010,518",,,,
