,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-09 19:05:57,2021-06-07,BIIB,Sandrock Alfred,"Head of Research, Development",S - Sale,$440.00,"-7,672","10,169",-43%,"-$3,375,680",,,,
2,,2021-06-09 19:04:54,2021-06-07,BIIB,Guindo Chirfi,"Head of Glob Prod Strat, Com",S - Sale,$440.00,"-3,087","2,919",-51%,"-$1,358,280",,,,
3,,2021-06-07 19:02:48,2021-06-04,BIIB,Posner Brian S,Dir,S - Sale,$274.17,-360,"7,400",-5%,"-$98,701",,,,
4,,2021-02-10 16:31:42,2021-02-09,BIIB,Mantas Jesus B,Dir,P - Purchase,$267.00,+898,"2,943",+44%,"+$239,766",,,,
5,,2020-12-01 16:57:29,2020-11-30,BIIB,Vounatsos Michel,CEO,P - Purchase,$241.31,"+3,100","34,810",+10%,"+$748,047",,,,
6,,2020-11-06 21:39:46,2020-11-04,BIIB,Sandrock Alfred,"EVP, Research, Development",S - Sale,$350.00,"-1,500","13,066",-10%,"-$525,000",,,,
7,D,2020-03-12 18:56:29,2020-03-11,BIIB,Sherwin Stephen A,Dir,S - Sale+OE,$295.22,"-2,434","15,438",-14%,"-$718,574",,,,
8,,2019-12-03 17:58:26,2019-12-02,BIIB,Posner Brian S,Dir,S - Sale,$292.35,"-1,055","6,995",-13%,"-$308,429",,,,
9,M,2019-05-02 17:06:09,2019-04-30,BIIB,Denner Alexander J,Dir,P - Purchase,$229.94,"+118,342","653,909",+22%,"+$27,211,824",,,,
10,,2019-05-02 16:30:28,2019-05-01,BIIB,Vounatsos Michel,CEO,P - Purchase,$231.48,"+4,351","21,007",+26%,"+$1,007,169",,,,
11,D,2019-03-19 16:08:36,2019-03-18,BIIB,Pangia Robert W,Dir,S - Sale+OE,$328.55,"-6,114","18,587",-25%,"-$2,008,755",,,,
12,M,2019-02-01 16:19:28,2019-01-30,BIIB,Denner Alexander J,Dir,P - Purchase,$327.59,"+62,800","535,567",+13%,"+$20,572,406",,,,
13,,2018-09-27 16:16:34,2018-09-26,BIIB,Ehlers Michael D,"EVP, Research, Development",S - Sale,$350.00,"-1,000","4,281",-19%,"-$350,000",,,,
14,,2018-04-27 07:48:58,2018-04-25,BIIB,Denner Alexander J,Dir,P - Purchase,$269.91,"+48,000","471,887",+11%,"+$12,955,680",,,,
15,,2018-02-28 17:39:47,2018-02-27,BIIB,Sandrock Alfred,"EVP, Chief Medical Officer",S - Sale,$290.83,-259,"6,553",-4%,"-$75,325",,,,
16,D,2018-02-27 18:25:45,2018-02-23,BIIB,Sandrock Alfred,"EVP, Chief Medical Officer",S - Sale+OE,$293.44,-908,"6,812",-12%,"-$266,444",,,,
17,,2018-02-21 16:10:42,2018-02-20,BIIB,Sandrock Alfred,"EVP, Chief Medical Officer",S - Sale,$292.00,-743,"6,553",-10%,"-$216,956",,,,
18,,2018-02-20 20:09:51,2018-02-15,BIIB,Sandrock Alfred,"EVP, Chief Medical Officer",S - Sale,$298.85,"-1,294","7,296",-15%,"-$386,712",,,,
19,D,2018-01-10 17:28:35,2018-01-09,BIIB,Pangia Robert W,Dir,S - Sale+OE,$329.65,"-5,832","17,707",-25%,"-$1,922,519",,,,
20,,2018-01-02 16:21:54,2017-12-29,BIIB,Vounatsos Michel,CEO,P - Purchase,$320.55,+780,"4,879",+19%,"+$250,029",,,,
21,M,2017-11-30 07:30:26,2017-11-28,BIIB,Denner Alexander J,Dir,P - Purchase,$317.36,"+30,000","423,887",+8%,"+$9,520,800",,,,
22,,2017-07-26 16:22:34,2017-07-25,BIIB,Alexander Susan H,"EVP Chief Legal Corp Svc, Sec",S - Sale,$290.01,"-4,974","22,258",-18%,"-$1,442,510",,,,
23,,2017-07-20 17:00:14,2017-07-19,BIIB,Alexander Susan H,"EVP Chief Legal Corp Svc, Sec",S - Sale,$285.00,"-7,758","27,232",-22%,"-$2,211,030",,,,
24,,2017-06-12 16:29:17,2017-06-09,BIIB,Posner Brian S,Dir,S - Sale,$256.31,"-1,084","6,330",-15%,"-$277,840",,,,
25,,2017-05-02 16:18:26,2017-05-01,BIIB,Vounatsos Michel,CEO,P - Purchase,$271.35,"+1,402","2,927",+92%,"+$380,433",0,-4,,
26,,2017-05-01 17:47:49,2017-04-27,BIIB,Denner Alexander J,Dir,P - Purchase,$278.50,"+73,858","392,832",+23%,"+$20,569,476",0,-3,,
27,,2017-04-27 16:23:52,2017-04-25,BIIB,Clancy Paul J,"EVP, CFO",S - Sale,$290.00,"-9,892","10,813",-48%,"-$2,868,680",-2,-2,,
28,,2017-04-04 16:18:38,2017-04-03,BIIB,Sandrock Alfred,"EVP CMO Neuro, Neurodegenerat",S - Sale,$274.08,"-1,981","7,060",-22%,"-$542,952",-1,-2,-1,
29,,2017-03-14 19:32:15,2017-03-13,BIIB,Clancy Paul J,"EVP, CFO",S - Sale,$291.55,"-9,891","20,705",-32%,"-$2,883,721",0,-6,-8,
