,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,A,2021-08-31 17:01:19,2021-05-28,IDXX,Turner Kathy V,SVP,S - Sale,$558.44,"-2,000","2,966",-40%,"-$1,116,884",,,,
2,M,2021-08-17 17:02:49,2021-08-13,IDXX,Mazelsky Jonathan Jay,"Pres, CEO",S - Sale,$675.21,"-6,000","49,427",-11%,"-$4,051,262",,,,
3,D,2021-08-12 17:01:12,2021-08-10,IDXX,Junius Daniel M,Dir,S - Sale+OE,$679.58,"-2,402","2,896",-45%,"-$1,632,355",,,,
4,,2021-08-09 17:02:41,2021-08-06,IDXX,Szostak M Anne,Dir,S - Sale,$687.87,"-3,000","7,217",-29%,"-$2,063,616",,,,
5,D,2021-08-09 17:00:59,2021-08-05,IDXX,Hunt Nimrata,EVP,S - Sale+OE,$703.00,-538,"8,266",-6%,"-$378,214",,,,
6,DM,2021-08-05 17:02:21,2021-08-03,IDXX,Twigge Giovani,SVP,S - Sale+OE,$698.25,"-20,295","17,128",-54%,"-$14,170,900",,,,
7,D,2021-08-05 17:01:38,2021-08-03,IDXX,Lane Michael,EVP,S - Sale+OE,$691.62,"-6,999","4,239",-62%,"-$4,840,670",,,,
8,,2021-06-01 18:01:40,2021-05-28,IDXX,Turner Kathy V,SVP,S - Sale,$558.44,"-2,000","2,986",-40%,"-$1,116,884",,,,
9,D,2021-06-01 18:01:04,2021-05-28,IDXX,Polewaczyk James F,EVP,S - Sale+OE,$561.91,"-10,000","19,915",-33%,"-$5,619,057",,,,
10,D,2021-06-01 18:00:20,2021-05-28,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$562.26,"-9,460","654,701",-1%,"-$5,318,989",,,,
11,,2021-05-26 17:31:04,2021-05-24,IDXX,Turner Kathy V,SVP,S - Sale,$546.24,"-2,900","4,966",-37%,"-$1,584,100",,,,
12,DM,2021-05-26 17:30:37,2021-05-24,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$549.57,"-10,000","663,701",-1%,"-$5,495,735",,,,
13,D,2021-05-24 18:15:53,2021-05-21,IDXX,Junius Daniel M,Dir,S - Sale+OE,$539.57,"-2,500","2,886",-46%,"-$1,348,918",,,,
14,M,2021-05-24 18:15:09,2021-05-20,IDXX,Turner Kathy V,SVP,S - Sale,$540.00,"-3,000","7,866",-28%,"-$1,620,000",,,,
15,D,2021-05-24 18:14:40,2021-05-20,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$537.07,"-5,000","663,701",-1%,"-$2,685,324",,,,
16,D,2021-05-20 17:33:53,2021-05-18,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$528.02,"-7,632","663,701",-1%,"-$4,029,809",,,,
17,,2021-05-12 19:47:18,2021-05-10,IDXX,Ayers Jonathan W,Dir,S - Sale,$541.02,-512,"663,701",0%,"-$277,000",,,,
18,D,2021-02-25 19:35:26,2021-02-23,IDXX,Henderson Rebecca M,Dir,S - Sale+OE,$513.41,"-3,046","14,696",-17%,"-$1,563,840",,,,
19,D,2021-02-24 17:00:23,2021-02-22,IDXX,Junius Daniel M,Dir,S - Sale+OE,$538.57,"-1,898","2,875",-40%,"-$1,022,207",,,,
20,D,2021-02-22 18:00:03,2021-02-18,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$555.56,"-1,000","662,737",0%,"-$555,561",,,,
21,D,2021-02-19 17:00:50,2021-02-17,IDXX,Mazelsky Jonathan Jay,"Pres, CEO",S - Sale+OE,$537.21,"-13,868","54,222",-20%,"-$7,449,969",,,,
22,D,2021-02-18 19:26:58,2021-02-16,IDXX,Claflin Bruce L.,Dir,S - Sale+OE,$536.91,"-7,331",0,-100%,"-$3,936,089",,,,
23,D,2021-02-17 19:33:05,2021-02-16,IDXX,McKeon Brian P,"EVP, CFO",S - Sale+OE,$539.58,"-1,307","42,764",-3%,"-$705,231",,,,
24,D,2021-02-17 19:31:20,2021-02-16,IDXX,Lane Michael,EVP,S - Sale+OE,$545.00,-850,"4,216",-17%,"-$463,250",,,,
25,D,2021-02-16 17:00:36,2021-02-12,IDXX,Vandebroek Sophie V.,Dir,S - Sale+OE,$538.20,"-3,046","9,321",-25%,"-$1,639,357",,,,
26,D,2021-02-08 18:05:31,2021-02-04,IDXX,Szostak M Anne,Dir,S - Sale+OE,$489.71,"-11,876","10,217",-54%,"-$5,815,816",,,,
27,AM,2020-12-11 17:00:45,2020-11-02,IDXX,Ayers Jonathan W,Dir,S - Sale,$438.43,"-20,432","726,915",-3%,"-$8,958,041",,,,
28,D,2020-12-02 17:01:35,2020-11-30,IDXX,Twigge Giovani,CORPORATE VP,S - Sale+OE,$456.49,"-12,801","12,922",-50%,"-$5,843,566",,,,
29,D,2020-11-12 17:01:20,2020-11-10,IDXX,Henderson Rebecca M,Dir,S - Sale+OE,$435.91,"-5,902","14,696",-29%,"-$2,572,742",,,,
30,,2020-11-10 19:02:46,2020-11-06,IDXX,McKeon Brian P,"EVP, CFO",S - Sale,$476.25,"-10,000","42,750",-19%,"-$4,762,456",,,,
31,,2020-11-10 19:01:54,2020-11-06,IDXX,Ayers Jonathan W,Dir,S - Sale,$470.01,"-6,470","719,991",-1%,"-$3,040,938",,,,
32,D,2020-11-09 17:01:51,2020-11-05,IDXX,Mazelsky Jonathan Jay,"Pres, CEO",S - Sale+OE,$469.32,"-5,206","41,413",-11%,"-$2,443,254",,,,
33,,2020-11-06 17:07:52,2020-11-05,IDXX,Hunt Nimrata,EVP,S - Sale,$470.08,"-2,098","7,731",-21%,"-$986,228",,,,
34,D,2020-11-06 17:07:17,2020-11-04,IDXX,McKeon Brian P,"EVP, CFO",S - Sale+OE,$471.44,"-36,216","52,750",-41%,"-$17,073,801",,,,
35,M,2020-11-06 17:06:18,2020-11-04,IDXX,Ayers Jonathan W,Dir,S - Sale,$469.20,"-26,574","726,461",-4%,"-$12,468,550",,,,
36,D,2020-11-05 19:51:51,2020-11-03,IDXX,Lane Michael,EVP,S - Sale+OE,$443.00,"-1,304","4,362",-23%,"-$577,670",,,,
37,M,2020-11-04 17:25:22,2020-11-02,IDXX,Ayers Jonathan W,Dir,S - Sale,$438.43,"-20,432","753,035",-3%,"-$8,958,041",,,,
38,D,2020-09-02 17:00:23,2020-08-31,IDXX,Twigge Giovani,CORPORATE VP,S - Sale+OE,$388.19,"-7,316","12,906",-36%,"-$2,840,020",,,,
39,DM,2020-08-31 17:18:57,2020-08-27,IDXX,Twigge Giovani,CORPORATE VP,S - Sale+OE,$386.19,"-18,038","12,906",-58%,"-$6,966,109",,,,
40,D,2020-08-24 17:05:40,2020-08-20,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$382.62,"-18,000","820,467",-2%,"-$6,887,142",,,,
41,D,2020-08-21 17:00:22,2020-08-20,IDXX,Junius Daniel M,Dir,S - Sale+OE,$382.61,"-3,722","2,847",-57%,"-$1,424,063",,,,
42,D,2020-08-20 17:00:17,2020-08-18,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$384.47,"-20,000","820,467",-2%,"-$7,689,295",,,,
43,D,2020-08-18 17:10:47,2020-08-14,IDXX,McKeon Brian P,"EVP, CFO",S - Sale+OE,$378.97,"-83,724","49,596",-63%,"-$31,729,072",,,,
44,D,2020-08-18 17:09:58,2020-08-14,IDXX,Hunt Nimrata,EVP,S - Sale+OE,$377.50,"-2,776","9,812",-22%,"-$1,047,941",,,,
45,DM,2020-08-18 17:09:10,2020-08-14,IDXX,Claflin Bruce L.,Dir,S - Sale+OE,$383.95,"-6,740",304,-96%,"-$2,587,850",,,,
46,DM,2020-08-18 17:08:29,2020-08-14,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$381.05,"-44,940","820,467",-5%,"-$17,124,284",,,,
47,D,2020-06-02 17:01:44,2020-05-29,IDXX,Twigge Giovani,CORPORATE VP,S - Sale+OE,$307.73,"-14,070","12,892",-52%,"-$4,329,754",,,,
48,D,2020-06-02 17:00:45,2020-05-29,IDXX,Szostak M Anne,Dir,S - Sale+OE,$306.91,"-7,722","10,217",-43%,"-$2,369,921",,,,
49,,2020-05-20 17:01:37,2020-05-18,IDXX,Turner Kathy V,Corporate VP,S - Sale,$301.00,"-2,690","10,212",-21%,"-$809,690",,,,
50,D,2020-05-20 17:01:01,2020-05-19,IDXX,Junius Daniel M,Dir,S - Sale+OE,$295.61,"-4,000","2,834",-59%,"-$1,182,433",,,,
51,M,2020-05-20 17:00:17,2020-05-18,IDXX,Ayers Jonathan W,Dir,S - Sale,$296.67,"-38,000","820,467",-4%,"-$11,273,470",,,,
52,D,2020-05-15 17:03:08,2020-05-13,IDXX,Henderson Rebecca M,Dir,S - Sale+OE,$286.66,"-13,396","14,696",-48%,"-$3,840,052",,,,
53,M,2020-05-13 17:02:08,2020-05-11,IDXX,Ayers Jonathan W,Dir,S - Sale,$295.17,"-50,000","858,467",-6%,"-$14,758,300",,,,
54,D,2020-05-12 17:15:43,2020-05-11,IDXX,Polewaczyk James F,EVP,S - Sale+OE,$298.85,"-16,264","17,772",-48%,"-$4,860,515",,,,
55,D,2020-05-12 17:11:51,2020-05-08,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$291.63,"-21,130","908,467",-2%,"-$6,162,059",,,,
56,DM,2020-05-08 17:00:20,2020-05-04,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$281.07,"-39,600","908,467",-4%,"-$11,130,402",,,,
57,DM,2020-02-24 17:52:47,2020-02-20,IDXX,Ayers Jonathan W,Dir,S - Sale+OE,$284.92,"-23,400","946,811",-2%,"-$6,667,109",,,,
58,A,2020-02-24 17:51:43,2020-02-19,IDXX,Ayers Jonathan W,Dir,S - Sale,$293.62,"-39,143","947,861",-4%,"-$11,493,155",,,,
59,,2020-02-21 17:23:59,2020-02-19,IDXX,Ayers Jonathan W,Dir,S - Sale,$293.62,"-39,143","948,361",-4%,"-$11,493,155",,,,
60,D,2020-02-20 17:28:14,2020-02-18,IDXX,Vandebroek Sophie V.,Dir,S - Sale+OE,$286.89,"-7,568","9,321",-45%,"-$2,171,202",,,,
61,D,2020-02-20 17:27:29,2020-02-18,IDXX,Szostak M Anne,Dir,S - Sale+OE,$286.29,"-8,790","10,217",-46%,"-$2,516,469",,,,
62,,2020-02-20 17:26:41,2020-02-18,IDXX,Ayers Jonathan W,Dir,S - Sale,$286.84,"-40,000","987,004",-4%,"-$11,473,578",,,,
63,D,2020-02-07 17:00:54,2020-02-05,IDXX,Mazelsky Jonathan Jay,"Pres, CEO",S - Sale+OE,$277.84,"-8,000","42,685",-16%,"-$2,222,692",,,,
64,D,2019-12-02 17:16:16,2019-11-29,IDXX,Twigge Giovani,CORPORATE VP,S - Sale+OE,$250.51,"-14,750","11,949",-55%,"-$3,695,007",,,,
65,,2019-11-14 17:06:01,2019-11-12,IDXX,Ayers Jonathan W,Senior Advisor,S - Sale,$254.05,"-36,000","1,064,964",-3%,"-$9,145,940",,,,
66,,2019-11-12 17:01:03,2019-11-07,IDXX,Ayers Jonathan W,Senior Advisor,S - Sale,$263.09,"-37,790","1,100,964",-3%,"-$9,942,082",,,,
