,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-21 17:50:33,2021-10-19,ILMN,Aravanis Alexander,"SVP, CTO",S - Sale,$411.82,"-2,926","10,531",-22%,"-$1,204,972",,,,
2,,2021-10-14 18:29:30,2021-10-12,ILMN,Aravanis Alexander,"SVP, CTO",S - Sale,$409.21,"-2,926","13,457",-18%,"-$1,197,350",,,,
3,,2021-09-30 16:04:57,2021-09-28,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$418.04,-100,"41,356",0%,"-$41,804",,,,
4,,2021-09-23 16:24:03,2021-09-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$436.69,-314,"4,972",-6%,"-$137,121",,,,
5,M,2021-09-08 19:36:11,2021-04-05,ILMN,Hoyt Aimee L,"SVP, Chief People Officer",S - Sale,$432.61,"-3,372","3,757",-47%,"-$1,458,748",,,,
6,,2021-09-01 19:15:20,2021-08-30,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$463.50,-300,"41,456",-1%,"-$139,050",,,,
7,,2021-08-25 16:40:56,2021-08-23,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$489.10,-314,"5,286",-6%,"-$153,577",,,,
8,,2021-08-05 16:22:05,2021-08-04,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$500.00,"-1,000","41,756",-2%,"-$500,000",,,,
9,,2021-07-29 16:34:53,2021-07-28,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$486.41,-300,"42,743",-1%,"-$145,923",,,,
10,,2021-07-26 16:57:01,2021-07-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$482.23,-314,"5,576",-5%,"-$151,420",,,,
11,,2021-07-07 18:26:09,2021-07-07,ILMN,Aravanis Alexander,"SVP, CTO",S - Sale,$477.59,-539,"4,679",-10%,"-$257,421",,,,
12,,2021-06-30 17:27:47,2021-06-28,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$478.95,-300,"43,043",-1%,"-$143,685",,,,
13,,2021-06-24 17:41:15,2021-06-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$461.01,-314,"5,890",-5%,"-$144,757",,,,
14,,2021-06-14 17:50:56,2021-06-11,ILMN,Febbo Phillip G.,SVP Chief Medical Officer,S - Sale,$447.59,"-1,000","4,461",-18%,"-$447,589",,,,
15,,2021-06-14 17:48:39,2021-06-10,ILMN,Dorsa Caroline,Dir,S - Sale,$450.00,"-1,000","8,501",-11%,"-$450,000",,,,
16,,2021-05-26 16:50:31,2021-05-24,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$403.04,-314,"6,204",-5%,"-$126,555",,,,
17,,2021-05-24 16:43:11,2021-05-20,ILMN,Tousi Susan H,"SVP, Chief Commercial Officer",S - Sale,$400.00,-500,"43,343",-1%,"-$200,000",,,,
18,,2021-05-20 16:51:35,2021-05-18,ILMN,Flatley Jay T,Dir,S - Sale,$379.53,"-4,000","152,433",-3%,"-$1,518,120",,,,
19,,2021-05-06 17:26:08,2021-05-05,ILMN,Tousi Susan H,SVP Product Development,S - Sale,$381.88,-300,"43,843",-1%,"-$114,564",,,,
20,,2021-05-06 17:21:52,2021-05-04,ILMN,Flatley Jay T,Dir,S - Sale,$384.15,"-4,000","156,433",-2%,"-$1,536,600",,,,
21,,2021-04-26 19:52:53,2021-04-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$402.02,-314,"6,518",-5%,"-$126,234",,,,
22,,2021-04-22 17:05:02,2021-04-20,ILMN,Flatley Jay T,Dir,S - Sale,$401.83,"-4,000","160,433",-2%,"-$1,607,320",,,,
23,,2021-04-07 16:41:14,2021-04-06,ILMN,Flatley Jay T,Dir,S - Sale,$423.44,"-4,000","164,433",-2%,"-$1,693,740",,,,
24,M,2021-04-07 16:34:21,2021-04-05,ILMN,Tousi Susan H,SVP Product Development,S - Sale,$409.41,-800,"44,143",-2%,"-$327,527",,,,
25,,2021-03-24 16:41:49,2021-03-22,ILMN,Dadswell Charles,"SVP, GC",S - Sale,$416.24,-314,"6,832",-4%,"-$130,699",,,,
26,,2021-03-18 19:20:32,2021-03-16,ILMN,Flatley Jay T,Dir,S - Sale,$421.06,"-4,000","168,433",-2%,"-$1,684,240",,,,
27,,2021-03-09 17:29:32,2021-03-05,ILMN,Tousi Susan H,SVP Product Development,S - Sale,$402.24,-800,"44,943",-2%,"-$321,792",,,,
28,,2021-03-04 17:04:17,2021-03-02,ILMN,Flatley Jay T,Dir,S - Sale,$444.61,"-4,000","172,433",-2%,"-$1,778,440",,,,
29,,2021-02-22 17:11:06,2021-02-18,ILMN,McGinnis Karen K,"VP, Chief Accounting Officer",S - Sale,$486.75,-666,"1,538",-30%,"-$324,176",,,,
30,,2021-02-18 19:08:29,2021-02-16,ILMN,Flatley Jay T,Dir,S - Sale,$504.13,"-4,500","176,433",-2%,"-$2,268,583",,,,
