,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-04 16:41:25,2021-10-01,INCY,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale,$68.67,-389,"31,263",-1%,"-$26,713",,,,
2,,2021-09-03 07:40:32,2021-09-01,INCY,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale,$76.71,-388,"31,652",-1%,"-$29,763",,,,
3,,2021-08-04 16:16:19,2021-08-02,INCY,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale,$77.49,-389,"32,040",-1%,"-$30,144",,,,
4,,2021-08-02 16:14:20,2021-07-29,INCY,Iyengar Vijay K,"EVP GPS, BD, Licensing",S - Sale,$78.29,"-4,911","27,005",-15%,"-$384,482",,,,
5,,2021-07-02 19:15:24,2021-07-01,INCY,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale,$84.09,-396,"26,149",-1%,"-$33,300",,,,
6,D,2021-06-14 16:28:17,2021-06-10,INCY,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale+OE,$87.00,"-3,845","26,545",-13%,"-$334,515",,,,
7,,2021-06-03 16:42:35,2021-06-01,INCY,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale,$84.13,-395,"26,545",-1%,"-$33,231",,,,
8,,2021-05-05 16:09:04,2021-05-03,INCY,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale,$85.40,-396,"26,940",-1%,"-$33,818",,,,
9,,2021-04-05 16:25:39,2021-04-01,INCY,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale,$81.57,-396,"27,336",-1%,"-$32,302",,,,
10,,2021-03-31 16:10:24,2021-03-29,INCY,Morrissey Michael James,"EVP, Head of Tech. Operations",S - Sale,$81.08,"-20,000","45,452",-31%,"-$1,621,600",,,,
11,,2021-03-03 16:28:10,2021-03-01,INCY,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale,$79.73,-395,"27,732",-1%,"-$31,493",,,,
12,,2021-02-23 16:54:13,2021-02-23,INCY,Hoppenot Herve,"COB ,  CEO",P - Purchase,$77.37,"+12,925","350,465",+4%,"+$1,000,007",,,,
13,D,2021-02-03 16:27:38,2021-02-01,INCY,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale+OE,$90.00,"-1,356","28,127",-5%,"-$122,040",,,,
14,D,2021-01-27 17:32:18,2021-01-25,INCY,Wenqing Yao,"EVP, Head of Discovery Chem",S - Sale+OE,$100.00,"-21,545","143,784",-13%,"-$2,154,500",,,,
15,D,2021-01-27 17:09:06,2021-01-25,INCY,Stein Steven H,"EVP, Chief Medical Officer",S - Sale+OE,$100.00,"-3,795","119,744",-3%,"-$379,500",,,,
16,D,2021-01-27 17:03:16,2021-01-25,INCY,Iyengar Vijay K,"EVP GPS, BD, Licensing",S - Sale+OE,$99.00,"-5,116","26,158",-16%,"-$506,484",,,,
17,,2021-01-27 16:52:09,2021-01-25,INCY,Flannelly Barry P,"EVP, GM US",S - Sale,$100.00,"-2,744","49,994",-5%,"-$274,400",,,,
18,,2020-11-12 16:41:38,2020-11-10,INCY,Bienaime Jean Jacques,Dir,S - Sale,$83.00,-798,"8,646",-8%,"-$66,234",,,,
