,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,AM,2021-08-11 16:06:20,2021-08-02,INFO,Uggla Lance Darrell Gordon,"CEO, COB",S - Sale,$118.45,"-63,190","1,272,323",-5%,"-$7,484,599",,,,
2,,2021-08-06 16:13:16,2021-08-05,INFO,Uggla Lance Darrell Gordon,"CEO, COB",S - Sale,$118.85,"-36,810","1,237,513",-3%,"-$4,374,869",,,,
3,M,2021-08-04 17:41:29,2021-08-02,INFO,Uggla Lance Darrell Gordon,"CEO, COB",S - Sale,$118.45,"-61,190","1,274,323",-5%,"-$7,248,059",,,,
4,D,2021-06-28 17:17:27,2021-06-25,INFO,Granat Sari Beth,"EVP, Chief Admin Officer, GC",S - Sale+OE,$112.88,"-90,000","65,244",-58%,"-$10,159,200",,,,
5,,2021-04-29 18:43:06,2021-04-28,INFO,Giadrossi Nicoletta,Dir,S - Sale,$106.25,"-3,377","5,612",-38%,"-$358,806",,,,
6,,2021-02-17 17:20:04,2021-02-12,INFO,Uggla Lance Darrell Gordon,"CEO, COB",S - Sale,$93.17,"-55,000","1,335,513",-4%,"-$5,124,350",,,,
7,,2021-02-03 17:45:22,2021-02-02,INFO,Easton Michael M,Chief Accounting Officer,S - Sale,$90.17,"-11,605","15,045",-44%,"-$1,046,406",,,,
8,,2021-02-03 17:40:20,2021-02-02,INFO,Gear Jonathan,"EVP, CFO",S - Sale,$90.19,"-61,372","101,208",-38%,"-$5,534,966",,,,
9,M,2021-01-19 17:21:47,2021-01-15,INFO,Gear Jonathan,"EVP, CFO",S - Sale,$85.01,"-15,993","105,217",-13%,"-$1,359,495",,,,
10,,2020-11-05 18:14:20,2020-11-03,INFO,Tavernier Edouard,"EVP, Transportation",S - Sale,$84.42,-889,"27,759",-3%,"-$75,049",,,,
11,D,2020-07-22 17:17:16,2020-07-21,INFO,Granat Sari Beth,"EVP, Chief Admin Officer, GC",S - Sale+OE,$80.00,"-60,000","49,898",-55%,"-$4,800,000",,,,
12,,2020-07-14 19:21:46,2020-07-14,INFO,Hyatt Todd S.,EVP,S - Sale,$75.50,"-40,500","123,211",-25%,"-$3,057,714",,,,
13,,2020-07-01 19:30:27,2020-07-01,INFO,Kelly Robert P,Dir,P - Purchase,$75.88,"+2,000","109,641",+2%,"+$151,760",,,,
14,,2020-06-29 19:16:13,2020-06-26,INFO,Kelly Robert P,Dir,P - Purchase,$72.29,"+5,000","107,641",+5%,"+$361,450",,,,
15,D,2020-05-12 19:14:46,2020-05-11,INFO,Kansler Adam Jason,"EVP, Pres Financial Services",S - Sale+OE,$67.75,"-100,000","125,847",-44%,"-$6,775,225",,,,
16,,2020-04-28 21:05:23,2020-04-27,INFO,Gear Jonathan,"EVP, CFO",S - Sale,$67.50,"-13,948","130,727",-10%,"-$941,490",,,,
17,D,2020-04-20 16:32:00,2020-04-17,INFO,Uggla Lance Darrell Gordon,"CEO, COB",S - Sale+OE,$67.03,"-496,764","1,210,588",-29%,"-$33,298,091",,,,
18,M,2020-04-07 21:21:33,2020-04-06,INFO,Gear Jonathan,"EVP, CFO",S - Sale,$65.00,"-27,689","144,675",-16%,"-$1,799,681",,,,
