,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-30 12:28:07,2021-09-29,INTU,Flournoy Mark J,"SVP, Chief Accounting Officer",S - Sale,$551.33,-389,0,-100%,"-$214,467",,,,
2,D,2021-09-02 20:51:51,2021-09-02,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale+OE,$562.56,"-9,343",546,-94%,"-$5,256,012",,,,
3,DM,2021-09-02 18:33:18,2021-08-31,INTU,Chriss James Alexander,"EVP, SBSEG",S - Sale+OE,$564.45,"-33,509","3,534",-90%,"-$18,914,000",,,,
4,D,2021-08-30 15:08:10,2021-08-26,INTU,Johnson Gregory N,"EVP, Consumer Group",S - Sale+OE,$552.43,"-14,843","1,616",-90%,"-$8,199,767",,,,
5,,2021-08-30 15:03:59,2021-08-26,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale,$549.26,"-1,652",546,-75%,"-$907,378",,,,
6,M,2021-08-30 14:59:45,2021-08-26,INTU,Chriss James Alexander,"EVP,  SBSEG",S - Sale,$553.10,"-1,701",300,-85%,"-$940,818",,,,
7,,2021-06-28 12:21:04,2021-06-25,INTU,Vazquez Raul,Dir,S - Sale,$483.08,"-1,100","1,589",-41%,"-$531,386",,,,
8,,2021-06-21 13:36:49,2021-06-17,INTU,Flournoy Mark J,"SVP, Chief Accounting Officer",S - Sale,$475.27,-665,"1,520",-30%,"-$316,055",,,,
9,D,2021-06-01 13:41:40,2021-05-27,INTU,Smith Brad D,Exec COB,S - Sale+OE,$431.50,"-163,061","354,507",-32%,"-$70,360,199",,,,
10,,2021-06-01 13:27:33,2021-05-27,INTU,Powell Dennis D,Dir,S - Sale,$431.67,"-5,000","4,234",-54%,"-$2,158,350",,,,
11,,2021-06-01 13:22:41,2021-05-27,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale,$436.21,-414,546,-43%,"-$180,591",,,,
12,M,2021-06-01 13:18:51,2021-05-27,INTU,Chriss James Alexander,"EVP, SBSEG",S - Sale,$435.69,-764,300,-72%,"-$332,869",,,,
13,D,2021-03-03 13:04:33,2021-03-02,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale+OE,$403.51,"-2,253",546,-80%,"-$909,108",,,,
14,,2021-03-01 14:45:07,2021-02-25,INTU,Chriss James Alexander,"EVP, SBSEG",S - Sale,$407.38,-364,221,-62%,"-$148,286",,,,
15,D,2021-01-04 20:06:24,2021-01-04,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale+OE,$379.23,-412,546,-43%,"-$156,243",,,,
16,D,2021-01-04 20:00:31,2021-01-04,INTU,Chriss James Alexander,"EVP, SBSEG",S - Sale+OE,$379.23,-298,221,-57%,"-$113,011",,,,
17,,2020-12-30 16:23:29,2020-12-29,INTU,McLean Kerry J,"EVP, Gen. Counsel, Corp. Sec.",S - Sale,$378.56,"-4,093","2,558",-62%,"-$1,549,463",,,,
18,,2020-11-24 19:05:40,2020-11-23,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale,$348.07,-413,546,-43%,"-$143,753",,,,
19,,2020-11-24 19:03:44,2020-11-23,INTU,Chriss James Alexander,"EVP, SBSEG",S - Sale,$348.07,-587,221,-73%,"-$204,317",,,,
20,,2020-09-16 20:07:41,2020-09-15,INTU,Fennell Laura A,"EVP, People, Places",S - Sale,$322.15,"-19,781","46,328",-30%,"-$6,372,534",,,,
21,D,2020-09-15 17:33:25,2020-09-14,INTU,Fennell Laura A,"EVP, People, Places",S - Sale+OE,$320.34,"-29,204","66,109",-31%,"-$9,355,279",,,,
22,DM,2020-09-14 16:22:31,2020-09-10,INTU,Fennell Laura A,"EVP, People, Places",S - Sale+OE,$325.03,"-34,993","66,109",-35%,"-$11,373,753",,,,
23,D,2020-09-03 13:04:46,2020-09-01,INTU,McLean Kerry J,"EVP, Gen. Counsel, Corp. Sec.",S - Sale+OE,$346.34,"-5,303","6,448",-45%,"-$1,836,641",,,,
24,D,2020-09-03 12:57:17,2020-09-02,INTU,Johnson Gregory N,"EVP, Consumer Group",S - Sale+OE,$349.56,"-9,861","6,460",-60%,"-$3,447,008",,,,
25,D,2020-09-03 12:48:53,2020-09-01,INTU,Flournoy Mark J,"SVP, Chief Accounting Officer",S - Sale+OE,$346.52,"-5,675","1,520",-79%,"-$1,966,480",,,,
26,D,2020-09-03 12:43:07,2020-09-02,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale+OE,$348.67,"-4,649",546,-89%,"-$1,620,967",,,,
27,D,2020-09-03 12:29:20,2020-09-02,INTU,Chriss James Alexander,"EVP, SBSEG",S - Sale+OE,$349.34,"-6,198",221,-97%,"-$2,165,207",,,,
28,,2020-08-31 17:24:07,2020-08-27,INTU,Smith Brad D,Exec COB,S - Sale,$342.01,"-18,773","304,706",-6%,"-$6,420,588",,,,
29,D,2020-08-31 17:02:13,2020-08-27,INTU,Johnson Gregory N,"EVP, Consumer Group",S - Sale+OE,$341.96,"-3,069","10,123",-23%,"-$1,049,469",,,,
30,DM,2020-08-31 16:58:51,2020-08-27,INTU,Goodarzi Sasan K,"CEO, Pres, Dir",S - Sale+OE,$345.61,"-184,142","67,144",-73%,"-$63,641,660",,,,
31,D,2020-08-31 16:56:03,2020-08-27,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale+OE,$343.70,"-16,106",546,-97%,"-$5,535,670",,,,
32,,2020-08-31 16:51:23,2020-08-27,INTU,Chriss James Alexander,"EVP, SBSEG",S - Sale,$341.84,"-2,247",221,-91%,"-$768,114",,,,
33,D,2020-05-28 12:38:53,2020-05-26,INTU,McLean Kerry J,"SVP, Gen. Counsel, Corp. Sec.",S - Sale+OE,$287.09,"-18,000","5,399",-77%,"-$5,167,653",,,,
34,,2020-05-28 12:34:53,2020-05-26,INTU,Chriss James Alexander,"EVP, SBSEG",S - Sale,$291.10,-337,220,-61%,"-$98,101",,,,
35,,2020-02-27 14:34:26,2020-02-26,INTU,Chriss James Alexander,"EVP, Small Bus., SelfEmployed",S - Sale,$286.28,"-2,409",126,-95%,"-$689,649",,,,
36,D,2020-01-03 18:44:08,2020-01-02,INTU,Chriss James Alexander,"EVP, Small Bus., SelfEmployed",S - Sale+OE,$261.08,-47,126,-27%,"-$12,271",,,,
37,,2019-12-26 17:39:45,2019-12-23,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$267.33,"-21,311","8,320,032",0%,"-$5,697,125",,,,
38,,2019-12-20 17:45:01,2019-12-20,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$266.16,"-112,022","8,341,343",-1%,"-$29,815,235",,,,
39,M,2019-12-11 17:36:29,2019-12-09,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$255.32,"-133,333","8,453,365",-2%,"-$34,042,122",,,,
40,D,2019-11-26 21:29:34,2019-11-25,INTU,Smith Brad D,Exec COB,S - Sale+OE,$257.72,"-227,450","322,535",-41%,"-$58,618,474",,,,
41,D,2019-11-26 21:28:35,2019-11-25,INTU,Goodarzi Sasan K,"CEO, Pres, Dir",S - Sale+OE,$257.74,"-92,950","62,936",-60%,"-$23,957,114",,,,
42,D,2019-11-26 21:26:58,2019-11-25,INTU,Chriss James Alexander,"EVP, GM of SBSEG",S - Sale+OE,$258.78,"-21,543",126,-99%,"-$5,574,942",,,,
43,M,2019-09-20 18:56:14,2019-09-19,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$270.24,"-133,333","8,586,698",-2%,"-$36,032,185",,,,
44,,2019-09-11 15:18:00,2019-09-09,INTU,Cook Scott D,COB of Exec Committee,S - Sale,$278.53,"-133,333","8,720,031",-2%,"-$37,136,894",,,,
45,,2019-09-05 19:40:24,2019-09-05,INTU,Johnson Gregory N,"EVP, Consumer Group",S - Sale,$290.74,"-2,500","9,525",-21%,"-$726,854",,,,
46,,2019-09-05 19:39:00,2019-09-04,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale,$285.62,"-3,855","1,492",-72%,"-$1,101,065",,,,
47,D,2019-09-03 15:55:52,2019-08-29,INTU,Flournoy Mark J,"VP, Chief Accounting Officer",S - Sale+OE,$286.33,"-6,854",0,-100%,"-$1,962,494",,,,
48,D,2019-08-28 16:39:56,2019-08-26,INTU,McLean Kerry J,"SVP, Gen. Counsel, Corp. Sec.",S - Sale+OE,$277.05,"-20,543","4,627",-82%,"-$5,691,461",,,,
49,,2019-08-28 16:38:58,2019-08-26,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale,$280.00,-612,"1,492",-29%,"-$171,360",,,,
50,,2019-08-28 16:38:13,2019-08-26,INTU,Chriss James Alexander,"EVP, Small Bus., SelfEmployed",S - Sale,$278.87,"-2,391",126,-95%,"-$666,776",,,,
51,M,2019-06-21 16:50:04,2019-06-19,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$262.87,"-133,334","9,253,364",-1%,"-$35,049,087",,,,
52,M,2019-06-11 17:04:45,2019-06-07,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$259.27,"-133,334","9,386,698",-1%,"-$34,569,498",,,,
53,D,2019-05-29 19:50:58,2019-05-28,INTU,Clatterbuck Michelle M,"EVP, CFO",S - Sale+OE,$256.27,"-10,628",0,-100%,"-$2,723,658",,,,
54,D,2019-03-13 18:02:56,2019-03-12,INTU,McLean Kerry J,"SVP, Gen. Counsel, Corp. Sec.",S - Sale+OE,$250.74,"-12,176","2,534",-83%,"-$3,052,981",,,,
55,D,2019-03-13 18:01:12,2019-03-12,INTU,Flournoy Mark J,"VP, Chief Accounting Officer",S - Sale+OE,$251.18,"-5,939",0,-100%,"-$1,491,779",,,,
56,D,2019-03-13 17:59:25,2019-03-12,INTU,Fennell Laura A,"EVP, People, Places",S - Sale+OE,$251.43,"-67,488","27,614",-71%,"-$16,968,542",,,,
57,,2019-02-27 18:26:59,2019-02-27,INTU,Powell Dennis D,Dir,S - Sale,$248.96,"-4,083","3,550",-53%,"-$1,016,508",,,,
58,D,2018-12-26 15:37:21,2018-12-21,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$188.95,"-3,650","1,890",-66%,"-$689,649",,,,
59,,2018-11-29 19:20:50,2018-11-28,INTU,Smith Brad D,"COB, CEO, Pres",S - Sale,$205.63,"-22,418","278,202",-7%,"-$4,609,867",,,,
60,D,2018-11-28 18:31:04,2018-11-27,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$197.82,"-7,302","1,890",-79%,"-$1,444,448",,,,
61,,2018-11-28 18:29:08,2018-11-26,INTU,Johnson Gregory N,"EVP, Consumer Group",S - Sale,$200.91,"-5,029","3,205",-61%,"-$1,010,382",,,,
62,D,2018-11-26 16:45:07,2018-11-21,INTU,Goodarzi Sasan K,"EVP, GM SBSEG",S - Sale+OE,$196.74,"-85,835","28,528",-75%,"-$16,887,344",,,,
63,M,2018-11-26 16:43:46,2018-11-21,INTU,Cook Scott D,COB of Exec Comm.,S - Sale,$197.41,"-152,001","9,920,032",-2%,"-$30,006,488",,,,
64,D,2018-09-25 14:24:36,2018-09-21,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$221.54,"-3,651","1,890",-66%,"-$808,851",,,,
65,,2018-09-20 20:06:02,2018-09-19,INTU,Cook Scott D,Chair of Exec Committee,S - Sale,$221.58,"-100,000","10,072,033",-1%,"-$22,158,275",,,,
66,D,2018-09-17 16:23:57,2018-09-14,INTU,Smith Brad D,"COB, CEO, Pres",S - Sale+OE,$227.66,"-254,325","300,620",-46%,"-$57,898,402",,,,
67,,2018-09-10 16:09:41,2018-09-07,INTU,Cook Scott D,COB of the Exec Comm,S - Sale,$220.30,"-100,000","10,172,033",-1%,"-$22,029,825",,,,
68,,2018-09-07 16:25:50,2018-09-06,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale,$218.86,"-19,018","1,890",-91%,"-$4,162,194",,,,
69,D,2018-08-31 18:36:25,2018-08-30,INTU,Flournoy Mark J,"VP, Chief Accounting Officer",S - Sale+OE,$218.90,"-9,292",0,-100%,"-$2,034,026",,,,
70,D,2018-08-29 17:47:55,2018-08-27,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$211.65,"-31,396","1,890",-94%,"-$6,644,873",,,,
71,,2018-08-29 17:46:33,2018-08-28,INTU,Powell Dennis D,Dir,S - Sale,$215.06,"-4,554","4,083",-53%,"-$979,360",,,,
72,,2018-08-29 17:44:54,2018-08-27,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$211.66,"-100,000","10,272,033",-1%,"-$21,165,920",,,,
73,D,2018-06-26 18:23:29,2018-06-25,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$202.21,"-3,941","1,056",-79%,"-$796,915",,,,
74,,2018-06-20 16:27:38,2018-06-19,INTU,Cook Scott D,Chair of Exec. Committee,S - Sale,$209.41,"-100,000","10,372,033",-1%,"-$20,941,336",,,,
75,,2018-06-06 19:41:35,2018-06-06,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$208.12,"-100,000","10,472,033",-1%,"-$20,811,584",,,,
76,D,2018-05-31 15:01:40,2018-05-29,INTU,Wernikoff Daniel A,"EVP, Consumer Group",S - Sale+OE,$196.50,"-225,543",887,-100%,"-$44,320,193",,,,
77,D,2018-05-31 14:58:45,2018-05-29,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$196.49,"-7,882","1,019",-89%,"-$1,548,724",,,,
78,D,2018-05-25 18:44:45,2018-05-24,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$195.50,"-3,941","1,019",-79%,"-$770,466",,,,
79,D,2018-05-25 18:42:49,2018-05-24,INTU,Flournoy Mark J,"VP, Chief Accounting Officer",S - Sale+OE,$197.16,"-5,513",0,-100%,"-$1,086,938",,,,
80,,2018-05-25 18:40:04,2018-05-24,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$196.92,"-100,000","10,572,033",-1%,"-$19,691,943",,,,
81,AM,2018-03-28 18:52:26,2018-03-15,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$177.94,"-214,272","10,672,033",-2%,"-$38,127,622",,,,
82,AM,2018-03-28 18:40:32,2017-12-18,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$160.81,"-150,994","11,804,372",-1%,"-$24,281,996",,,,
83,M,2018-03-16 18:31:46,2018-03-15,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$177.94,"-214,272","10,672,057",-2%,"-$38,127,622",,,,
84,M,2018-03-13 16:11:59,2018-03-09,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$175.86,"-207,110","10,886,317",-2%,"-$36,422,276",,,,
85,M,2018-03-09 14:34:28,2018-03-07,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$170.26,"-159,556","11,093,427",-1%,"-$27,165,852",,,,
86,,2018-03-01 15:08:51,2018-02-28,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$169.37,"-107,463","11,252,983",-1%,"-$18,201,214",,,,
87,D,2018-02-28 18:37:28,2018-02-27,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$171.59,"-9,666",892,-92%,"-$1,658,553",,,,
88,M,2018-02-28 18:36:39,2018-02-26,INTU,Cook Scott D,Chair of Exec. Committee,S - Sale,$171.72,"-259,205","11,360,446",-2%,"-$44,510,217",,,,
89,D,2017-12-28 17:31:29,2017-12-27,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$158.94,"-2,158",892,-71%,"-$342,982",,,,
90,M,2017-12-22 16:31:04,2017-12-20,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$158.98,"-184,733","11,619,651",-2%,"-$29,368,749",,,,
91,M,2017-12-20 17:17:07,2017-12-18,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$160.81,"-150,994","11,804,384",-1%,"-$24,281,996",,,,
92,M,2017-12-08 19:32:53,2017-12-07,INTU,Cook Scott D,"Chair, Exec Committee",S - Sale,$155.03,"-183,333","11,955,366",-2%,"-$28,421,756",,,,
93,D,2017-11-29 20:08:02,2017-11-28,INTU,Flournoy Mark J,"VP, Chief Accounting Officer",S - Sale+OE,$155.56,"-13,424",0,-100%,"-$2,088,254",,,,
94,D,2017-11-28 14:38:21,2017-11-24,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$152.05,"-7,882",892,-90%,"-$1,198,484",,,,
95,D,2017-11-27 16:42:06,2017-11-22,INTU,Wernikoff Daniel A,"EVP, Consumer Group",S - Sale+OE,$151.34,"-53,000",788,-99%,"-$8,021,253",,,,
96,D,2017-11-27 16:40:31,2017-11-22,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$151.35,"-2,158",892,-71%,"-$326,612",,,,
97,M,2017-11-27 16:38:37,2017-11-22,INTU,Cook Scott D,COB of Exec. Committee,S - Sale,$151.46,"-183,334","12,138,699",-1%,"-$27,768,102",,,,
98,D,2017-11-27 16:37:01,2017-11-22,INTU,Smith Brad D,"COB, CEO, Pres",S - Sale+OE,$151.40,"-110,496","288,750",-28%,"-$16,728,587",,,,
99,D,2017-09-28 18:55:21,2017-09-27,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$144.20,"-1,783",892,-67%,"-$257,109",,,,
100,D,2017-09-26 11:29:44,2017-09-22,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$146.19,"-28,048",892,-97%,"-$4,100,337",,,,
101,M,2017-09-21 20:05:02,2017-09-19,INTU,Cook Scott D,Chair of Exec Committee,S - Sale,$145.19,"-183,333","12,332,633",-1%,"-$26,617,574",,,,
102,D,2017-09-13 17:56:39,2017-09-12,INTU,Williams R Neil,"EVP, CFO",S - Sale+OE,$141.11,"-184,585","3,785",-98%,"-$26,046,621",,,,
103,,2017-09-13 17:55:00,2017-09-12,INTU,Goodarzi Sasan K,"EVP, Small Bus., Self-Emplyd.",S - Sale,$141.41,"-16,207",0,-100%,"-$2,291,775",,,,
104,,2017-09-12 13:56:24,2017-09-11,INTU,Flournoy Mark J,"VP, Chief Accounting Officer",S - Sale,$142.31,"-1,868",0,-100%,"-$265,839",,,,
105,,2017-09-07 19:30:11,2017-09-07,INTU,Wernikoff Daniel A,"EVP, Consumer Group",S - Sale,$141.33,"-15,415",788,-95%,"-$2,178,607",,,,
106,,2017-09-07 19:27:41,2017-09-07,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale,$141.27,"-15,415",892,-95%,"-$2,177,679",,,,
107,M,2017-09-07 19:25:54,2017-09-06,INTU,Cook Scott D,Chair of Exec Committee,S - Sale,$141.16,"-183,333","12,515,966",-1%,"-$25,879,015",,,,
108,D,2017-09-01 18:24:56,2017-08-31,INTU,Stansbury Henry Tayloe,"EVP, CTO",S - Sale+OE,$140.25,"-5,350",892,-86%,"-$750,338",,,,
