,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-04 16:15:04,2021-10-01,IPGP,Samartsev Igor,"SVP, CTO",S - Sale,$159.27,-500,"932,035",0%,"-$79,635",,,,
2,M,2021-09-17 16:20:55,2021-09-15,IPGP,Ip Fibre Devices Ltd,10%,S - Sale,$171.49,"-23,200","6,914,004",0%,"-$3,978,483",,,,
3,,2021-08-04 17:08:38,2021-08-02,IPGP,Ip Fibre Devices Ltd,10%,S - Sale,$220.06,"-1,800","6,937,204",0%,"-$396,108",,,,
4,,2021-07-06 16:06:09,2021-07-01,IPGP,Samartsev Igor,"SVP, CTO",S - Sale,$211.61,-500,"932,535",0%,"-$105,805",,,,
5,,2021-06-17 16:38:02,2021-06-16,IPGP,Ip Fibre Devices Ltd,10%,S - Sale,$210.20,"-5,044","6,939,004",0%,"-$1,060,249",,,,
6,M,2021-06-01 17:02:57,2021-05-28,IPGP,Ip Fibre Devices Ltd,10%,S - Sale,$210.05,"-16,574","6,944,048",0%,"-$3,481,284",,,,
7,,2021-05-26 16:22:00,2021-05-25,IPGP,Ip Fibre Devices Ltd,10%,S - Sale,$210.05,"-3,382","6,960,622",0%,"-$710,389",,,,
8,M,2021-05-21 16:31:48,2021-05-20,IPGP,Ip Fibre Devices Ltd,10%,S - Sale,$201.41,"-15,057","6,964,004",0%,"-$3,032,591",,,,
9,,2021-05-11 16:13:20,2021-05-07,IPGP,Ip Fibre Devices Ltd,10%,S - Sale,$200.05,"-9,943","6,979,061",0%,"-$1,989,097",,,,
10,D,2021-04-16 16:16:33,2021-04-15,IPGP,Ness Trevor,"SVP, Worldwide Sales, Mrkting",S - Sale+OE,$225.10,"-2,938","16,183",-15%,"-$661,344",,,,
11,,2021-04-06 17:38:22,2021-04-01,IPGP,Samartsev Igor,CTO,S - Sale,$213.04,-500,"2,700",-16%,"-$106,520",,,,
