,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-13 16:31:03,2021-09-09,ISRG,Rubash Mark J,Dir,S - Sale+OE,"$1,083.16","-1,196","4,815",-20%,"-$1,295,459",,,,
2,D,2021-09-10 16:23:58,2021-09-09,ISRG,Curet Myriam,"EVP, Chief Medical Officer",S - Sale+OE,"$1,082.54","-4,250",95,-98%,"-$4,600,782",,,,
3,D,2021-08-27 13:13:07,2021-08-26,ISRG,Desantis Robert,"EVP, Chief Product Officer",S - Sale+OE,"$1,048.12",-397,364,-52%,"-$416,104",,,,
4,DM,2021-08-09 18:53:21,2021-08-05,ISRG,Rosa David J.,"EVP, Chief Business Officer",S - Sale+OE,"$1,009.56","-16,211","37,501",-30%,"-$16,365,904",,,,
5,D,2021-08-03 19:39:07,2021-08-03,ISRG,Leonard Keith R,Dir,S - Sale+OE,"$1,000.00",-996,849,-54%,"-$996,000",,,,
6,D,2021-07-27 18:41:03,2021-07-26,ISRG,Mohr Marshall,"EVP, CFO",S - Sale+OE,$963.38,"-6,825","31,904",-18%,"-$6,575,081",,,,
7,D,2021-07-26 19:44:22,2021-07-23,ISRG,Desantis Robert,"EVP, Chief Product Officer",S - Sale+OE,$967.26,"-4,004",363,-92%,"-$3,872,925",,,,
8,D,2021-07-26 19:37:11,2021-07-23,ISRG,Samath Jamie,SVP of Finance,S - Sale+OE,$971.64,-503,253,-67%,"-$488,735",,,,
9,D,2021-07-26 19:27:47,2021-07-23,ISRG,Barratt Craig H,Dir,S - Sale+OE,$967.20,"-1,275","7,981",-14%,"-$1,233,179",,,,
10,,2021-07-26 19:17:27,2021-07-23,ISRG,Ladd Amy L,Dir,S - Sale,$971.64,-128,255,-33%,"-$124,370",,,,
11,D,2021-07-26 19:06:56,2021-07-23,ISRG,Levy Alan J,Dir,S - Sale+OE,$967.36,"-2,500","8,094",-24%,"-$2,418,408",,,,
12,D,2021-06-16 18:01:53,2021-06-15,ISRG,Rosa David J.,"EVP, Chief Business Officer",S - Sale+OE,$873.23,"-17,038","32,712",-34%,"-$14,878,110",,,,
13,D,2021-05-13 12:01:09,2021-05-12,ISRG,Johnson Amal M,Dir,S - Sale+OE,$817.82,"-2,500","3,723",-40%,"-$2,044,557",,,,
14,D,2021-05-05 16:40:54,2021-05-04,ISRG,Guthart Gary S,"Pres, CEO",S - Sale+OE,$851.99,"-10,617","393,518",-3%,"-$9,045,591",,,,
