,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-08 16:53:09,2021-09-03,IT,Hensel Scott,"EVP Global Services, Delivery",S - Sale,$312.50,"-3,177","2,463",-56%,"-$992,813",,,,
2,,2021-09-01 17:03:43,2021-08-30,IT,Safian Craig,"EVP, CFO",S - Sale,$307.40,"-4,267","51,961",-8%,"-$1,311,694",,,,
3,,2021-08-25 17:05:31,2021-08-23,IT,Dawkins Alwyn,"EVP, Global Business Sales",S - Sale,$304.71,"-1,700","34,369",-5%,"-$518,007",,,,
4,,2021-08-24 18:09:52,2021-08-20,IT,Dykstra Karen E,Dir,S - Sale,$302.93,"-1,350","17,340",-7%,"-$408,956",,,,
5,,2021-08-20 16:43:24,2021-08-18,IT,Diliberto Michael Patrick,"EVP, CIO",S - Sale,$310.97,"-3,942","6,661",-37%,"-$1,225,832",,,,
6,DM,2021-08-16 16:50:54,2021-08-12,IT,Beck Joseph P.,"EVP, Global Technology Sales",S - Sale+OE,$304.49,"-2,312","4,974",-32%,"-$703,973",,,,
7,,2021-08-12 16:32:18,2021-08-10,IT,Herkes Claire,"EVP, Conferences",S - Sale,$291.91,-375,"1,545",-20%,"-$109,466",,,,
8,,2021-08-06 16:47:45,2021-08-04,IT,Dawkins Alwyn,"EVP, Global Business Sales",S - Sale,$295.28,"-2,872","38,328",-7%,"-$848,044",,,,
9,DM,2021-08-06 16:44:24,2021-08-04,IT,Kranich Robin B,"EVP, CHRO",S - Sale+OE,$294.41,"-5,694","6,759",-46%,"-$1,676,376",,,,
10,,2021-06-15 20:17:14,2021-06-11,IT,Fuchs Anne Sutherland,Dir,S - Sale,$233.00,-872,"22,512",-4%,"-$203,176",,,,
11,,2021-05-26 16:54:08,2021-05-24,IT,Genovese Yvonne,"EVP, Global Product Management",S - Sale,$232.49,"-1,724",70,-96%,"-$400,813",,,,
12,,2021-05-14 16:23:47,2021-05-12,IT,Allard Kenneth,"EVP, CMO",S - Sale,$223.71,"-1,598","1,466",-52%,"-$357,489",,,,
13,,2021-05-12 17:20:04,2021-05-10,IT,Hall Eugene A,CEO,S - Sale,$232.43,"-50,200","1,147,470",-4%,"-$11,667,905",,,,
14,D,2021-05-11 17:32:31,2021-05-10,IT,Kranich Robin B,"EVP, HR",S - Sale+OE,$234.00,"-4,161","8,397",-33%,"-$973,674",,,,
15,,2021-05-11 17:29:04,2021-05-07,IT,Beck Joseph P.,"EVP, Global Technology Sales",S - Sale,$232.60,"-4,093","6,432",-39%,"-$952,032",,,,
16,,2021-05-11 17:27:45,2021-05-07,IT,Safian Craig,"EVP, CFO",S - Sale,$232.36,"-6,500","55,981",-10%,"-$1,510,340",,,,
17,D,2021-05-10 17:17:19,2021-05-07,IT,Hall Eugene A,CEO,S - Sale+OE,$233.16,"-35,170","1,197,670",-3%,"-$8,200,210",,,,
18,D,2021-05-07 16:34:45,2021-05-05,IT,Safian Craig,"EVP, CFO",S - Sale+OE,$231.22,"-1,932","62,481",-3%,"-$446,717",,,,
19,,2021-05-07 16:23:12,2021-05-05,IT,Dawkins Alwyn,"EVP, Global Business Sales",S - Sale,$226.28,"-6,396","41,174",-13%,"-$1,447,290",,,,
20,,2021-03-16 16:53:19,2021-03-12,IT,Genovese Yvonne,"EVP, Global Product Management",S - Sale,$185.97,-275,"1,794",-13%,"-$51,142",,,,
21,,2021-03-16 16:51:37,2021-03-12,IT,Herkes Claire,"EVP, Conferences",S - Sale,$185.95,"-1,093","1,649",-40%,"-$203,243",,,,
