,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-07 13:45:57,2021-09-03,JBHT,Scott Stuart Lockard,"EVP, CIO",S - Sale+OE,$183.34,"-1,757","19,477",-8%,"-$322,132",,,,
2,D,2021-08-30 14:37:21,2021-08-27,JBHT,Hicks Bradley W.,"EVP, Pres Highway Services",S - Sale+OE,$179.19,-500,"23,823",-2%,"-$89,595",,,,
3,D,2021-07-28 12:00:41,2021-07-26,JBHT,McGee Eric,EVP Highway Services,S - Sale+OE,$165.53,"-1,300","7,292",-15%,"-$215,189",,,,
4,,2021-06-21 13:33:25,2021-06-17,JBHT,Gasaway Sharilyn S,Dir,S - Sale,$164.92,-10,"24,355",0%,"-$1,649",,,,
5,D,2021-06-08 16:50:23,2021-06-04,JBHT,Boattini Jennifer,"SVP Legal, GC",S - Sale+OE,$169.21,"-3,662","11,779",-24%,"-$619,647",,,,
6,,2021-05-11 09:33:59,2021-05-10,JBHT,Garrison Earl Wayne,Dir,S - Sale,$182.17,"-23,256","1,207,020",-2%,"-$4,236,441",,,,
7,,2021-05-10 17:47:11,2021-05-10,JBHT,George Gary Charles,Dir,S - Sale,$182.29,"-5,000","1,022,520",0%,"-$911,451",,,,
8,,2021-05-05 15:16:21,2021-05-04,JBHT,Garrison Earl Wayne,Dir,S - Sale,$175.68,"-50,000","1,230,276",-4%,"-$8,783,901",,,,
9,D,2021-05-04 15:37:50,2021-05-04,JBHT,Simpson Shelley,"EVP, CCO, People, HR",S - Sale+OE,$174.50,"-3,000","138,830",-2%,"-$523,500",,,,
10,,2021-05-03 13:49:13,2021-05-03,JBHT,Garrison Earl Wayne,Dir,S - Sale,$174.02,"-1,532","1,280,276",0%,"-$266,592",,,,
11,,2021-04-30 17:13:51,2021-04-29,JBHT,Garrison Earl Wayne,Dir,S - Sale,$172.12,"-8,101","1,281,808",-1%,"-$1,394,360",,,,
12,D,2021-04-27 13:26:26,2021-04-27,JBHT,Field Darren P.,EVP Intermodal,S - Sale+OE,$169.43,"-1,300","13,605",-9%,"-$220,259",,,,
13,,2021-03-10 18:59:02,2021-03-08,JBHT,Garrison Earl Wayne,Dir,S - Sale,$159.91,"-50,000","1,289,909",-4%,"-$7,995,425",,,,
14,,2021-03-01 13:59:03,2021-03-01,JBHT,Thompson James K,COB,S - Sale,$150.87,"-5,000","35,038",-12%,"-$754,355",,,,
15,D,2021-02-22 17:52:01,2021-02-22,JBHT,McGee Eric,EVP Highway Services,S - Sale+OE,$146.79,"-1,500","7,292",-17%,"-$220,188",,,,
16,M,2020-12-10 12:35:07,2020-12-08,JBHT,George Gary Charles,Dir,S - Sale,$139.69,"-8,906","1,032,057",-1%,"-$1,244,102",,,,
17,D,2020-09-03 12:09:24,2020-09-03,JBHT,Kuhlow John,"SVP, Controller",S - Sale+OE,$140.09,"-2,737","9,311",-23%,"-$383,426",,,,
18,,2020-09-03 12:09:18,2020-09-03,JBHT,Matthews Terrence D,Retired,S - Sale,$141.00,"-1,000","60,884",-2%,"-$141,000",,,,
19,D,2020-08-28 11:27:11,2020-08-27,JBHT,Hicks Bradley W.,EVP Dedicated,S - Sale+OE,$142.80,"-2,000","21,968",-8%,"-$285,605",,,,
20,,2020-08-27 13:47:16,2020-08-26,JBHT,George Gary Charles,Dir,S - Sale,$142.12,"-6,755","1,040,963",-1%,"-$960,017",,,,
21,,2020-08-27 11:24:06,2020-08-26,JBHT,Garrison Earl Wayne,Dir,S - Sale,$141.00,"-5,319","1,339,909",0%,"-$749,979",,,,
22,,2020-08-26 10:09:51,2020-08-25,JBHT,Garrison Earl Wayne,Dir,S - Sale,$141.01,"-44,681","1,345,228",-3%,"-$6,300,521",,,,
23,M,2020-08-25 11:15:01,2020-08-21,JBHT,George Gary Charles,Dir,S - Sale,$140.95,"-22,121","1,047,718",-2%,"-$3,117,937",,,,
24,,2020-08-14 14:28:16,2020-08-12,JBHT,George Gary Charles,Dir,S - Sale,$140.35,"-5,486","1,069,839",-1%,"-$769,990",,,,
25,D,2020-08-11 11:33:40,2020-08-10,JBHT,Field Darren P.,EVP Intermodal,S - Sale+OE,$137.78,"-1,100","5,687",-16%,"-$151,558",,,,
26,,2020-08-10 10:11:01,2020-08-07,JBHT,Garrison Earl Wayne,Dir,S - Sale,$135.05,"-50,000","1,414,909",-3%,"-$6,752,575",,,,
27,D,2020-08-07 19:31:42,2020-08-07,JBHT,Roberts John N,"Pres, CEO",S - Sale+OE,$135.17,"-7,400","335,859",-2%,"-$1,000,258",,,,
28,A,2020-07-30 18:52:24,2020-07-20,JBHT,George Gary Charles,Dir,S - Sale,$135.32,"-38,818","1,075,326",-3%,"-$5,252,857",,,,
29,A,2020-07-30 18:48:37,2020-07-20,JBHT,George Gary Charles,Dir,S - Sale,$135.32,"-38,818","1,075,326",-3%,"-$5,252,857",,,,
30,A,2020-07-30 18:23:54,2020-07-20,JBHT,George Gary Charles,Dir,S - Sale,$135.26,"-13,323","1,114,144",-1%,"-$1,802,074",,,,
31,,2020-07-30 12:49:02,2020-07-29,JBHT,Matthews Terrence D,Retired,S - Sale,$130.25,"-2,000","61,884",-3%,"-$260,500",,,,
32,D,2020-07-22 15:53:20,2020-07-22,JBHT,Bracy Kevin,"VP, Treasurer",S - Sale+OE,$133.26,"-1,249","13,920",-8%,"-$166,445",,,,
