,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2020-12-10 18:19:54,2020-12-09,JNJ,Sneed Michael E,"EVP, Global Corp Aff, COO",S - Sale+OE,$152.93,"-54,662","59,956",-48%,"-$8,359,460",,,,
2,D,2020-09-04 14:58:55,2020-09-02,JNJ,Wengel Kathryn E,"EVP, Chief GSC Officer",S - Sale+OE,$153.52,"-16,115","58,736",-22%,"-$2,473,938",,,,
3,,2020-07-28 18:43:57,2020-07-28,JNJ,McEvoy Ashley,"EVP, WW Chair, Medical Devices",S - Sale,$147.47,"-29,000","24,433",-54%,"-$4,276,630",,,,
4,,2020-03-17 16:24:28,2020-03-13,JNJ,Perez William D,Dir,P - Purchase,$127.69,+500,"16,030",+3%,"+$63,843",,,,
5,D,2020-02-25 16:23:05,2020-02-21,JNJ,Mongon Thibaut,"EVP, WW Chair, Consumer",S - Sale+OE,$147.96,"-39,224","35,815",-52%,"-$5,803,583",,,,
6,D,2020-02-03 18:28:02,2020-01-30,JNJ,Sneed Michael E,"EVP, Global Corp Aff, COO",S - Sale+OE,$149.39,"-58,128","53,117",-52%,"-$8,683,568",,,,
7,D,2019-12-16 17:40:25,2019-12-12,JNJ,Wengel Kathryn E,"EVP, Chief GSC Officer",S - Sale+OE,$141.07,"-2,017","50,029",-4%,"-$284,538",,,,
8,,2019-12-16 16:40:47,2019-12-13,JNJ,Joly Hubert,Dir,P - Purchase,$141.28,"+5,000","5,000",New,"+$706,399",,,,
9,,2019-06-11 17:01:55,2019-06-11,JNJ,Hewson Marillyn A,Dir,P - Purchase,$139.68,"+3,000","3,000",New,"+$419,040",,,,
10,,2018-12-17 08:37:22,2018-12-14,JNJ,Mulcahy Anne M,Dir,P - Purchase,$133.76,+748,"6,537",+13%,"+$100,050",,,,
11,,2018-12-17 08:37:17,2018-12-14,JNJ,Perez William D,Dir,P - Purchase,$133.91,"+1,000","18,222",+6%,"+$133,910",,,,
12,,2018-12-17 08:37:14,2018-12-14,JNJ,Prince Charles,Dir,P - Purchase,$134.37,"+2,000","29,320",+7%,"+$268,731",,,,
13,,2018-12-14 16:33:57,2018-12-13,JNJ,Kapusta Ronald A,"Controller, CAO",S - Sale,$147.31,"-3,643","14,406",-20%,"-$536,638",,,,
14,DM,2018-12-06 17:27:49,2018-12-03,JNJ,Fasolo Peter,"EVP, CHRO",S - Sale+OE,$146.41,"-166,695","78,327",-68%,"-$24,405,241",,,,
15,D,2018-11-27 18:56:42,2018-11-23,JNJ,Sneed Michael E,"EVP, Global Corp Aff, COO",S - Sale+OE,$142.46,"-30,943","43,442",-42%,"-$4,407,985",,,,
16,D,2018-11-16 19:44:00,2018-11-16,JNJ,Gorsky Alex,"COB, CEO",S - Sale+OE,$145.96,"-264,465","338,128",-44%,"-$38,600,968",,,,
17,,2018-11-09 17:22:38,2018-11-08,JNJ,Kapusta Ronald A,"Controller, CAO",S - Sale,$145.15,"-8,441","18,044",-32%,"-$1,225,200",,,,
18,D,2018-11-09 17:20:32,2018-11-07,JNJ,Duato Joaquin,"Vice Chair, Exec Committee",S - Sale+OE,$144.36,"-40,000","94,191",-30%,"-$5,774,480",,,,
19,,2018-09-11 15:53:58,2018-09-07,JNJ,Kapusta Ronald A,"Controller, CAO",S - Sale,$137.18,"-7,899","26,485",-23%,"-$1,083,607",,,,
20,D,2018-08-28 16:03:54,2018-08-27,JNJ,Sneed Michael E,"EVP, Global Corp Aff, COO",S - Sale+OE,$134.80,"-29,000","33,668",-46%,"-$3,909,084",,,,
21,D,2018-02-20 19:46:38,2018-02-15,JNJ,Stoffels Paulus,"EVP, Chief Scientific Off",S - Sale+OE,$129.86,"-155,342","202,564",-43%,"-$20,172,401",,,,
22,D,2017-07-26 11:49:44,2017-07-24,JNJ,Stoffels Paulus,"EVP, Chief Scientific Off",S - Sale+OE,$133.14,"-102,692","127,650",-45%,"-$13,672,629",,,,
23,D,2017-07-24 11:06:43,2017-07-20,JNJ,Caruso Dominic J,"EVP, Finance; CFO",S - Sale+OE,$136.72,"-82,591","144,425",-36%,"-$11,291,478",,,,
24,D,2017-03-07 16:21:38,2017-03-03,JNJ,Duato Joaquin,"EVP, WW Chair, Pharma",S - Sale+OE,$123.62,"-50,000","69,106",-42%,"-$6,181,140",0,+2,+1,
25,D,2017-03-02 17:50:50,2017-02-28,JNJ,Kapusta Ronald A,"Controller, CAO",S - Sale+OE,$122.26,"-14,543","30,696",-32%,"-$1,777,954",0,0,+1,
26,,2017-03-02 17:16:15,2017-02-28,JNJ,Pruden Gary J,"EVP, WW Chair, Med Devices",S - Sale,$122.21,"-16,299","43,726",-27%,"-$1,991,943",0,0,+1,
27,,2017-02-16 18:53:59,2017-02-15,JNJ,Stoffels Paulus,"EVP, Chief Scientific Off",S - Sale,$117.29,"-22,000","127,650",-15%,"-$2,580,274",+1,+3,+9,
28,D,2017-02-03 12:05:31,2017-02-01,JNJ,Ullmann Michael H,"EVP, GC",S - Sale+OE,$112.88,"-21,735","98,964",-18%,"-$2,453,442",0,0,+10,
29,,2016-10-25 13:52:21,2016-10-21,JNJ,Prince Charles,Dir,P - Purchase,$114.11,+875,"27,320",+3%,"+$99,846",0,+2,0,+10
30,D,2016-07-28 16:34:26,2016-07-26,JNJ,Caruso Dominic J,"EVP, Finance; CFO",S - Sale+OE,$125.01,"-41,146","116,987",-26%,"-$5,143,810",+1,0,-4,-9
