,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-08-04 19:59:36,2021-08-02,JNPR,Rahim Rami,CEO,S - Sale,$28.56,"-16,675","769,393",-2%,"-$476,237",,,,
2,,2021-08-03 16:24:29,2021-08-02,JNPR,Miller Kenneth Bradley,EVP CFO,S - Sale,$28.18,"-6,000","132,724",-4%,"-$169,080",,,,
3,M,2021-06-16 17:44:49,2021-06-14,JNPR,Rahim Rami,CEO,S - Sale,$28.34,"-16,500","786,068",-2%,"-$467,639",,,,
4,,2021-06-07 16:55:57,2021-06-04,JNPR,Leelanivas Manoj,EVP Chief Product Officer,S - Sale,$27.50,"-34,710","75,934",-31%,"-$954,646",,,,
5,,2021-06-01 16:27:04,2021-05-28,JNPR,Austin Thomas A,"VP Corp Controller, CAO",S - Sale,$26.43,"-2,322","6,430",-27%,"-$61,370",,,,
6,,2021-05-21 16:16:07,2021-05-20,JNPR,Denuccio Kevin A,Dir,S - Sale,$26.56,"-15,008","20,000",-43%,"-$398,632",,,,
7,D,2021-05-14 17:24:33,2021-05-12,JNPR,Stensrud William,Dir,S - Sale+OE,$26.13,"-20,000","131,969",-13%,"-$522,512",,,,
8,DM,2021-05-14 17:22:41,2019-09-25,JNPR,Delsanto Anne,Dir,P - Purchase,$22.50,+97,"18,575",+1%,"+$2,189",,,,
9,D,2021-05-14 17:22:41,2021-05-06,JNPR,Delsanto Anne,Dir,S - Sale+OE,$26.87,"-1,710","18,575",-8%,"-$45,947",,,,
10,M,2021-04-08 17:32:27,2021-04-06,JNPR,Rahim Rami,CEO,S - Sale,$25.50,"-69,900","802,568",-8%,"-$1,782,238",,,,
11,,2021-03-29 16:52:43,2021-03-29,JNPR,Martin Brian,SVP GC,S - Sale,$26.00,"-46,421","50,356",-48%,"-$1,207,025",,,,
12,D,2021-03-22 17:55:43,2021-03-22,JNPR,Miller Kenneth Bradley,EVP CFO,S - Sale+OE,$25.05,"-6,215","138,724",-4%,"-$155,660",,,,
13,,2021-02-09 17:13:16,2021-02-08,JNPR,Stensrud William,Dir,S - Sale,$24.75,"-10,000","142,107",-7%,"-$247,500",,,,
14,,2020-11-25 17:10:34,2020-11-25,JNPR,Stensrud William,Dir,S - Sale,$22.06,"-10,000","152,107",-6%,"-$220,600",,,,
15,M,2020-08-13 17:26:31,2020-08-11,JNPR,Rahim Rami,CEO,S - Sale,$25.60,"-13,600","735,039",-2%,"-$348,095",,,,
16,,2020-04-29 17:39:36,2020-04-28,JNPR,Leelanivas Manoj,EVP Chief Product Officer,S - Sale,$24.00,"-22,587","45,888",-33%,"-$542,088",,,,
17,D,2020-02-25 17:20:20,2020-02-24,JNPR,Martin Brian,SVP GC,S - Sale+OE,$23.67,"-1,544","37,824",-4%,"-$36,546",,,,
18,D,2020-02-19 16:49:39,2020-02-18,JNPR,Martin Brian,SVP GC,S - Sale+OE,$24.12,"-6,440","36,281",-15%,"-$155,333",,,,
