,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-20 15:18:28,2021-10-20,K,Kellogg W K Foundation Trust,10%,S - Sale,$61.91,"-83,334","58,798,504",0%,"-$5,158,900",,,,
2,,2021-10-12 17:49:33,2021-10-11,K,Kellogg W K Foundation Trust,10%,S - Sale,$62.73,"-83,333","58,881,838",0%,"-$5,227,862",,,,
3,,2021-09-20 16:23:13,2021-09-20,K,Kellogg W K Foundation Trust,10%,S - Sale,$63.43,"-83,334","58,965,171",0%,"-$5,286,076",,,,
4,,2021-09-10 15:34:09,2021-09-10,K,Kellogg W K Foundation Trust,10%,S - Sale,$62.61,"-83,333","59,048,505",0%,"-$5,217,296",,,,
5,,2021-08-23 11:10:29,2021-08-20,K,Kellogg W K Foundation Trust,10%,S - Sale,$66.38,"-83,332","59,131,838",0%,"-$5,531,878",,,,
6,,2021-08-10 17:14:04,2021-08-10,K,Kellogg W K Foundation Trust,10%,S - Sale,$63.79,"-83,331","59,215,170",0%,"-$5,315,568",,,,
7,,2021-07-20 15:50:46,2021-07-20,K,Kellogg W K Foundation Trust,10%,S - Sale,$64.90,"-83,334","59,298,501",0%,"-$5,407,993",,,,
8,,2021-07-13 12:24:57,2021-07-12,K,Kellogg W K Foundation Trust,10%,S - Sale,$63.79,"-83,333","59,381,835",0%,"-$5,316,079",,,,
9,,2021-06-21 17:44:02,2021-06-21,K,Kellogg W K Foundation Trust,10%,S - Sale,$63.83,"-83,334","59,465,168",0%,"-$5,319,501",,,,
10,,2021-06-11 10:38:30,2021-06-10,K,Kellogg W K Foundation Trust,10%,S - Sale,$65.05,"-83,333","59,548,502",0%,"-$5,421,145",,,,
11,,2021-05-20 15:38:51,2021-05-20,K,Kellogg W K Foundation Trust,10%,S - Sale,$66.38,"-83,334","59,631,835",0%,"-$5,531,769",,,,
12,,2021-05-11 16:18:30,2021-05-10,K,Hood Christopher M,SVP,S - Sale,$67.15,"-3,000","31,729",-9%,"-$201,450",,,,
13,,2021-05-10 17:43:47,2021-05-10,K,Kellogg W K Foundation Trust,10%,S - Sale,$67.55,"-83,333","59,715,169",0%,"-$5,628,877",,,,
14,,2021-04-20 15:32:53,2021-04-20,K,Kellogg W K Foundation Trust,10%,S - Sale,$64.09,"-83,334","59,798,502",0%,"-$5,340,884",,,,
15,,2021-04-12 16:51:59,2021-04-12,K,Kellogg W K Foundation Trust,10%,S - Sale,$63.22,"-83,333","59,881,836",0%,"-$5,268,412",,,,
16,,2021-03-22 17:08:00,2021-03-22,K,Kellogg W K Foundation Trust,10%,S - Sale,$61.89,"-83,334","59,965,169",0%,"-$5,157,733",,,,
17,,2021-03-10 17:38:17,2021-03-10,K,Kellogg W K Foundation Trust,10%,S - Sale,$59.02,"-83,333","60,048,503",0%,"-$4,918,639",,,,
18,,2021-02-22 14:53:20,2021-02-22,K,Kellogg W K Foundation Trust,10%,S - Sale,$58.28,"-83,334","60,131,836",0%,"-$4,856,697",,,,
19,,2021-02-16 07:42:00,2021-02-12,K,Kellogg W K Foundation Trust,10%,S - Sale,$57.22,"-83,333","60,215,170",0%,"-$4,768,698",,,,
20,,2021-01-20 17:06:02,2021-01-20,K,Kellogg W K Foundation Trust,10%,S - Sale,$57.45,"-83,334","60,298,503",0%,"-$4,787,722",,,,
21,,2021-01-11 18:01:21,2021-01-11,K,Kellogg W K Foundation Trust,10%,S - Sale,$59.66,"-83,333","60,381,837",0%,"-$4,971,705",,,,
22,,2020-12-21 14:33:48,2020-12-21,K,Kellogg W K Foundation Trust,10%,S - Sale,$60.94,"-83,334","60,465,170",0%,"-$5,078,532",,,,
23,,2020-12-10 21:29:40,2020-12-10,K,Kellogg W K Foundation Trust,10%,S - Sale,$61.98,"-83,333","60,548,504",0%,"-$5,165,163",,,,
24,,2020-11-20 15:53:57,2020-11-20,K,Kellogg W K Foundation Trust,10%,S - Sale,$64.83,"-83,334","60,631,837",0%,"-$5,402,518",,,,
25,,2020-11-10 17:13:37,2020-11-10,K,Kellogg W K Foundation Trust,10%,S - Sale,$63.32,"-83,333","60,715,171",0%,"-$5,276,479",,,,
26,,2020-11-04 16:23:16,2020-11-03,K,Hood Christopher M,SVP,S - Sale,$64.60,"-1,700","25,689",-6%,"-$109,815",,,,
27,,2020-10-20 17:02:16,2020-10-20,K,Kellogg W K Foundation Trust,10%,S - Sale,$66.53,"-83,334","60,798,504",0%,"-$5,543,928",,,,
28,,2020-10-13 11:09:39,2020-10-12,K,Kellogg W K Foundation Trust,10%,S - Sale,$66.44,"-83,333","60,881,838",0%,"-$5,536,786",,,,
29,,2020-09-21 16:51:11,2020-09-21,K,Kellogg W K Foundation Trust,10%,S - Sale,$62.57,"-83,334","60,965,171",0%,"-$5,214,500",,,,
