,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-08 16:08:41,2021-09-07,KEYS,Ee Huei Sin,SVP,S - Sale+OE,$180.79,"-8,256","29,136",-22%,"-$1,492,623",,,,
2,,2021-08-25 16:09:33,2021-08-23,KEYS,Estrada Ingrid A,SVP,S - Sale,$169.49,"-2,000","86,626",-2%,"-$338,980",,,,
3,,2021-07-22 16:19:22,2021-07-21,KEYS,Dhanasekaran Satish,"SVP, COO",S - Sale,$157.07,-677,"60,800",-1%,"-$106,336",,,,
4,,2021-06-10 16:50:32,2021-06-09,KEYS,Estrada Ingrid A,SVP,S - Sale,$149.14,"-5,475","88,626",-6%,"-$816,542",,,,
5,,2021-05-27 17:56:42,2021-05-26,KEYS,Hamada Richard P,Dir,S - Sale,$140.50,"-1,631","42,160",-4%,"-$229,156",,,,
6,,2021-03-31 17:01:05,2021-03-29,KEYS,Dhanasekaran Satish,"SVP, COO",S - Sale,$142.18,"-2,490","61,836",-4%,"-$354,028",,,,
7,,2021-03-10 16:45:19,2021-03-08,KEYS,Nye Jean Halloran,Dir,P - Purchase,$134.76,+375,"44,685",+1%,"+$50,534",,,,
8,D,2020-12-21 16:44:24,2020-12-18,KEYS,Ee Huei Sin,SVP,S - Sale+OE,$128.00,"-3,403","29,002",-11%,"-$435,584",,,,
9,,2020-12-09 16:57:20,2020-12-07,KEYS,Dougherty Neil,"SVP, CFO",S - Sale,$124.23,"-21,299","91,220",-19%,"-$2,645,992",,,,
10,,2020-12-09 16:57:01,2020-12-08,KEYS,Estrada Ingrid A,SVP,S - Sale,$124.67,"-5,000","94,259",-5%,"-$623,350",,,,
11,,2020-12-03 16:07:58,2020-12-01,KEYS,Wallace Mark Adam,SVP,S - Sale,$121.76,"-10,550","67,610",-13%,"-$1,284,515",,,,
12,,2020-12-01 16:08:21,2020-11-27,KEYS,Dhanasekaran Satish,"SVP, COO",S - Sale,$119.75,"-4,213","64,514",-6%,"-$504,495",,,,
13,,2020-12-01 16:08:04,2020-11-27,KEYS,Gooi Soon Chai,SVP,S - Sale,$120.00,"-7,871","228,746",-3%,"-$944,520",,,,
14,,2020-11-24 18:44:03,2020-11-20,KEYS,Gooi Soon Chai,SVP,S - Sale,$117.16,"-17,000","236,617",-7%,"-$1,991,717",,,,
15,,2020-11-24 18:43:46,2020-11-20,KEYS,Skinner John C.,"VP, Controller",S - Sale,$117.85,"-6,010","25,385",-19%,"-$708,279",,,,
16,,2020-11-24 18:43:01,2020-11-23,KEYS,Li Jeffrey K,"SVP, Secretary",S - Sale,$117.01,"-2,390","15,579",-13%,"-$279,663",,,,
17,M,2020-11-24 18:42:39,2020-11-20,KEYS,Nersesian Ronald S.,"Pres, CEO, COB BOD",S - Sale,$117.38,"-103,499","260,880",-28%,"-$12,148,384",,,,
18,,2020-11-24 18:42:04,2020-11-23,KEYS,Alexander Jay,SVP,S - Sale,$116.22,"-21,499","72,788",-23%,"-$2,498,657",,,,
19,,2020-06-24 16:32:07,2020-06-22,KEYS,Nersesian Ronald S.,"Pres, CEO, COB BOD",S - Sale,$105.68,"-30,000","266,975",-10%,"-$3,170,400",,,,
20,,2020-06-01 16:29:26,2020-05-28,KEYS,Wallace Mark Adam,SVP,S - Sale,$106.81,"-3,429","62,982",-5%,"-$366,241",,,,
21,D,2020-06-01 16:29:01,2020-05-28,KEYS,Dougherty Neil,"SVP, CFO",S - Sale+OE,$105.24,"-79,374","92,775",-46%,"-$8,353,010",,,,
22,,2020-06-01 16:28:40,2020-05-28,KEYS,Dhanasekaran Satish,SVP,S - Sale,$103.12,"-4,776","48,149",-9%,"-$492,501",,,,
23,,2020-06-01 16:28:18,2020-05-28,KEYS,Hamada Richard P,Dir,S - Sale,$102.00,"-2,438","42,160",-5%,"-$248,676",,,,
24,,2019-12-26 16:05:58,2019-12-23,KEYS,Dhanasekaran Satish,SVP,S - Sale,$103.12,"-2,393","52,882",-4%,"-$246,766",,,,
25,,2019-12-23 16:03:10,2019-12-20,KEYS,Dougherty Neil,"SVP, CFO",S - Sale,$103.19,"-23,254","92,530",-20%,"-$2,399,594",,,,
26,,2019-12-16 17:08:50,2019-12-12,KEYS,Wallace Mark Adam,SVP,S - Sale,$105.82,"-10,000","66,166",-13%,"-$1,058,148",,,,
27,,2019-12-16 17:08:31,2019-12-12,KEYS,Li Jeffrey K,"SVP, Secretary",S - Sale,$105.87,"-2,737","13,901",-16%,"-$289,761",,,,
28,,2019-12-16 17:08:07,2019-12-12,KEYS,Alexander Jay,SVP,S - Sale,$106.00,"-15,000","76,427",-16%,"-$1,590,000",,,,
29,,2019-12-16 17:07:46,2019-12-13,KEYS,Gooi Soon Chai,SVP,S - Sale,$107.95,"-20,000","210,598",-9%,"-$2,159,088",,,,
30,,2019-12-06 16:32:03,2019-12-04,KEYS,Skinner John C.,"VP, Controller",S - Sale,$103.17,"-8,327","26,261",-24%,"-$859,114",,,,
31,,2019-12-04 16:21:25,2019-12-02,KEYS,Estrada Ingrid A,SVP,S - Sale,$107.28,"-7,624","84,048",-8%,"-$817,903",,,,
