,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-08-30 17:32:36,2021-08-27,MDLZ,May Peter W,Dir,S - Sale,$62.01,"-479,000","7,997,848",-6%,"-$29,700,505",,,,
2,D,2021-02-22 18:02:58,2021-02-19,MDLZ,Hargrove Robin S.,"EVP, Res, Dev, Qlty",S - Sale+OE,$54.43,"-26,628","40,000",-40%,"-$1,449,362",,,,
3,D,2021-02-22 18:01:03,2021-02-18,MDLZ,Brusadelli Maurizio,"EVP , Pres AMEA",S - Sale+OE,$55.72,"-31,820","139,563",-19%,"-$1,773,010",,,,
4,,2021-02-19 18:32:40,2021-02-18,MDLZ,May Peter W,Dir,S - Sale,$55.63,"-982,051","9,383,698",-9%,"-$54,627,244",,,,
5,M,2021-02-17 19:41:23,2021-02-12,MDLZ,May Peter W,Dir,S - Sale,$55.16,"-500,949","10,365,749",-5%,"-$27,633,448",,,,
6,M,2021-02-11 19:55:23,2021-02-09,MDLZ,May Peter W,Dir,S - Sale,$55.63,"-1,375,000","10,866,698",-11%,"-$76,496,375",,,,
7,,2020-12-09 16:06:42,2020-12-08,MDLZ,Siewert Patrick,Dir,P - Purchase,$58.42,"+2,000","39,750",+5%,"+$116,840",,,,
8,D,2020-12-07 17:06:21,2020-12-03,MDLZ,Gruber Vinzenz P.,"EVP, Pres, Europe",S - Sale+OE,$58.62,"-49,719","99,508",-33%,"-$2,914,528",,,,
9,,2020-08-14 16:59:38,2020-08-12,MDLZ,May Peter W,Dir,S - Sale,$56.00,"-555,000","12,241,559",-4%,"-$31,077,725",,,,
10,,2020-08-13 07:11:27,2020-08-11,MDLZ,Bunch Charles E,Dir,P - Purchase,$55.20,"+3,500","32,300",+12%,"+$193,200",,,,
11,M,2020-08-11 19:38:50,2020-08-07,MDLZ,May Peter W,Dir,S - Sale,$55.56,"-1,160,827","12,796,559",-8%,"-$64,493,148",,,,
12,M,2020-08-06 20:31:14,2020-08-04,MDLZ,May Peter W,Dir,S - Sale,$55.57,"-848,133","13,957,386",-6%,"-$47,130,922",,,,
13,M,2020-08-03 19:02:54,2020-07-30,MDLZ,May Peter W,Dir,S - Sale,$55.91,"-1,043,472","14,805,519",-7%,"-$58,342,170",,,,
14,,2020-05-05 16:08:27,2020-05-01,MDLZ,Bunch Charles E,Dir,P - Purchase,$50.52,"+2,000","25,164",+9%,"+$101,040",,,,
15,D,2020-02-24 17:29:10,2020-02-21,MDLZ,Brusadelli Maurizio,"EVP , Pres AMEA",S - Sale+OE,$58.91,"-7,682","101,517",-7%,"-$452,547",,,,
