,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-18 17:02:10,2021-08-17,KHC,La Lande Rashida,"SVP, Global Gen Csl, Corp Sec",S - Sale,$37.70,"-38,165","246,141",-13%,"-$1,438,936",,,,
2,,2021-08-18 16:59:17,2021-08-17,KHC,Garlati Vince,"VP, Global Controller (PAO)",S - Sale,$37.70,"-8,863","105,072",-8%,"-$334,161",,,,
3,D,2021-05-12 16:26:52,2021-05-10,KHC,Keller Bruno,Canada Zone Pres,S - Sale+OE,$43.53,"-19,725","152,306",-11%,"-$858,629",,,,
4,D,2021-05-06 17:52:24,2021-05-04,KHC,Cahill John T,Dir,S - Sale+OE,$42.28,"-209,488","18,954",-92%,"-$8,856,943",,,,
5,,2020-12-11 16:15:58,2020-11-27,KHC,Oliveira Rafael,International Zone Pres,S - Sale,$32.82,-16,"390,207",0%,-$529,,,,
6,,2020-12-04 08:30:29,2020-12-02,KHC,Sceti Elio Leoni,Dir,P - Purchase,$33.22,"+90,000","90,000",New,"+$2,989,630",,,,
7,,2020-11-09 17:31:22,2020-11-09,KHC,3G Global Food Holdings LP,10%,S - Sale,$30.31,"-29,169,550","215,859,166",-12%,"-$884,129,061",,,,
8,,2020-11-09 17:24:32,2020-11-09,KHC,Van Damme Alexandre,Dir,P - Purchase,$30.38,"+13,849,315","14,099,315",>999%,"+$420,742,190",,,,
9,,2019-09-20 16:38:44,2019-09-18,KHC,Van Damme Alexandre,Dir,P - Purchase,$28.45,"+250,000","258,168",>999%,"+$7,112,500",,,,
10,,2019-09-16 18:49:01,2019-09-16,KHC,3G Global Food Holdings LP,10%,S - Sale,$28.44,"-25,068,657","245,028,716",-9%,"-$712,952,605",,,,
11,,2019-09-16 18:36:28,2019-09-16,KHC,Lemann Jorge P,Dir,P - Purchase,$28.60,"+3,496,503","3,516,449",>999%,"+$99,999,986",,,,
12,D,2018-08-08 17:30:23,2018-08-06,KHC,Pelleissone Eduardo,EVP of Global Operations,S - Sale+OE,$63.85,"-35,000","53,668",-39%,"-$2,234,750",,,,
13,,2018-08-07 17:40:11,2018-08-07,KHC,3G Global Food Holdings LP,10%,S - Sale,$59.85,"-20,630,314","560,825,060",-4%,"-$1,234,724,293",,,,
14,M,2018-04-25 17:48:38,2018-02-20,KHC,McDonald Mackey J,Dir,P - Purchase,$64.73,"+1,523","18,545",+9%,"+$98,580",,,,
15,M,2016-09-21 08:00:14,2016-09-19,KHC,3G Global Food Holdings LP,10%,S - Sale,$87.05,"-2,808,371","584,263,745",0%,"-$244,458,458",+1,+2,+1,+7
16,M,2015-11-19 21:27:29,2015-10-28,KHC,Jackson Jeanne P,Dir,P - Purchase,$71.71,"+4,330","14,387",+43%,"+$310,493",0,+2,-4,+14
17,,2015-11-19 21:27:29,2015-11-10,KHC,Jackson Jeanne P,Dir,S - Sale,$72.08,-50,"14,387",0%,"-$3,604",0,+2,-4,+14
