,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-18 12:47:51,2021-08-17,KMB,Powell Aaron,"Pres, Asia Pacific",S - Sale+OE,$139.51,"-29,534","8,127",-78%,"-$4,120,373",,,,
2,D,2021-07-27 08:43:25,2021-07-26,KMB,Underhill Kimberly K,KCNA - Leadership Transition,S - Sale+OE,$135.84,"-19,018","45,609",-29%,"-$2,583,405",,,,
3,D,2021-02-01 11:24:22,2021-01-28,KMB,Wilkinson Tristram,"Pres, EMEA",S - Sale+OE,$137.88,"-1,440","9,506",-13%,"-$198,551",,,,
4,,2020-10-30 07:11:31,2020-10-29,KMB,Decherd Robert W,Dir,P - Purchase,$132.67,"+3,000","48,444",+7%,"+$398,015",,,,
5,D,2020-08-03 11:28:56,2020-07-30,KMB,Powell Aaron,"Pres, Asia Pacific",S - Sale+OE,$151.38,"-8,663","2,833",-75%,"-$1,311,412",,,,
6,D,2020-07-27 11:11:14,2020-07-24,KMB,Underhill Kimberly K,"Pres, KCNA",S - Sale+OE,$148.00,"-11,715","35,556",-25%,"-$1,733,820",,,,
7,DM,2020-05-13 09:40:15,2020-05-11,KMB,Underhill Kimberly K,"Pres, KCNA",S - Sale+OE,$139.12,"-14,264","35,547",-29%,"-$1,984,456",,,,
8,D,2020-04-28 16:20:45,2020-04-27,KMB,Underhill Kimberly K,"Pres, KCNA",S - Sale+OE,$140.25,"-24,469","35,546",-41%,"-$3,431,799",,,,
9,,2020-04-27 10:16:34,2020-04-24,KMB,Boston J. Scott,"SVP, CHRO",S - Sale,$141.00,"-13,388",0,-100%,"-$1,887,708",,,,
10,D,2020-02-06 13:11:51,2020-02-04,KMB,Wilkinson Tristram,"Pres, EMEA",S - Sale+OE,$144.64,-469,"7,331",-6%,"-$67,837",,,,
11,D,2020-01-27 15:10:59,2020-01-24,KMB,Powell Aaron,"Pres, KCP",S - Sale+OE,$145.31,"-3,670","1,979",-65%,"-$533,269",,,,
12,D,2020-01-27 15:10:56,2020-01-24,KMB,Boston J. Scott,"SVP, CHRO",S - Sale+OE,$144.05,"-24,802","11,901",-68%,"-$3,572,769",,,,
13,D,2019-08-30 11:32:28,2019-08-29,KMB,Melucci Jeffrey P.,SVP - GC,S - Sale+OE,$141.17,"-26,839","7,394",-78%,"-$3,788,844",,,,
14,D,2019-08-12 12:45:00,2019-08-09,KMB,Agarwal Achal,Pres - Asia Pacific,S - Sale+OE,$139.50,"-8,947","48,156",-16%,"-$1,248,107",,,,
15,,2019-08-09 11:25:10,2019-08-07,KMB,Boston J. Scott,"SVP, CHRO",S - Sale,$136.26,"-4,834","11,901",-29%,"-$658,685",,,,
16,D,2019-07-30 11:19:37,2019-07-29,KMB,Powell Aaron,"Pres, KCP",S - Sale+OE,$137.95,"-3,964","1,977",-67%,"-$546,814",,,,
17,D,2019-05-23 08:27:04,2019-05-22,KMB,Underhill Kimberly K,"Pres, KCNA",S - Sale+OE,$131.05,"-23,785","32,825",-42%,"-$3,117,093",,,,
18,D,2019-05-23 08:27:00,2019-05-21,KMB,Agarwal Achal,Pres - Asia Pacific,S - Sale+OE,$130.50,"-3,151","48,156",-6%,"-$411,206",,,,
19,D,2019-05-22 13:07:05,2019-05-22,KMB,Melucci Jeffrey P.,SVP - GC,S - Sale+OE,$130.17,"-7,903","7,394",-52%,"-$1,028,734",,,,
20,DM,2019-05-17 08:17:38,2019-05-15,KMB,Macquillan Sandra,SVP Chief Supply Chain Officer,S - Sale+OE,$128.76,"-16,848","12,524",-57%,"-$2,169,404",,,,
21,D,2019-05-14 15:41:02,2019-05-13,KMB,Falk Thomas J,Exec COB,S - Sale+OE,$127.73,"-58,218","714,748",-8%,"-$7,436,094",,,,
22,D,2019-05-14 14:50:18,2019-05-10,KMB,Underhill Kimberly K,"Pres, KCNA",S - Sale+OE,$127.01,"-24,650","32,825",-43%,"-$3,130,698",,,,
23,D,2019-05-14 14:49:13,2019-05-10,KMB,Powell Aaron,"Pres, KCP",S - Sale+OE,$127.02,"-6,986","2,570",-73%,"-$887,348",,,,
24,D,2019-05-10 10:01:14,2019-05-09,KMB,Macquillan Sandra,SVP Chief Supply Chain Officer,S - Sale+OE,$126.15,"-5,385","12,524",-30%,"-$679,318",,,,
25,D,2019-05-01 15:41:54,2019-05-01,KMB,Boston J. Scott,"SVP, CHRO",S - Sale+OE,$126.20,"-16,836","14,989",-53%,"-$2,124,745",,,,
26,D,2019-04-26 16:10:40,2019-04-24,KMB,Macquillan Sandra,SVP Chief Supply Chain Officer,S - Sale+OE,$124.87,"-6,774","10,608",-39%,"-$845,869",,,,
27,DM,2019-04-25 14:50:47,2019-04-23,KMB,Falk Thomas J,Exec COB,S - Sale+OE,$125.66,"-303,578","714,748",-30%,"-$38,146,825",,,,
28,,2019-02-11 12:18:22,2019-02-08,KMB,Palmer Anthony J.,"Pres Global Brands, Inno",S - Sale,$115.11,"-6,122","6,827",-47%,"-$704,703",,,,
29,,2018-11-28 11:19:06,2018-11-27,KMB,Azbell Michael T.,"VP, Controller",S - Sale,$115.00,"-13,565","11,579",-54%,"-$1,559,975",,,,
30,,2018-11-15 13:26:44,2018-11-14,KMB,Melucci Jeffrey P.,SVP - GC,S - Sale,$111.18,"-1,000","4,132",-19%,"-$111,180",,,,
31,,2018-08-16 15:20:56,2018-08-16,KMB,Palmer Anthony J.,"Pres Global Brands, Inno",S - Sale,$117.34,"-6,445","12,740",-34%,"-$756,256",,,,
32,,2018-07-26 14:15:30,2018-07-25,KMB,Powell Aaron,"Pres, KCP",S - Sale,$105.96,"-1,100","1,276",-46%,"-$116,551",,,,
33,,2018-05-29 13:24:16,2018-05-29,KMB,Melucci Jeffrey P.,SVP - GC,S - Sale,$105.97,-330,"5,132",-6%,"-$34,970",,,,
34,,2018-05-23 10:13:44,2018-05-22,KMB,Macquillan Sandra,SVP Chief Supply Chain Officer,S - Sale,$105.63,"-3,045","5,642",-35%,"-$321,643",,,,
35,,2018-05-15 15:35:38,2018-04-24,KMB,Decherd Robert W,Dir,P - Purchase,$100.05,"+2,000","45,444",+5%,"+$200,100",,,,
36,D,2018-01-31 15:29:09,2018-01-29,KMB,Underhill Kimberly K,"Pres, KCP",S - Sale+OE,$119.77,"-23,158","24,194",-49%,"-$2,773,541",,,,
37,,2017-10-30 17:16:42,2017-05-25,KMB,Calvo Paz Gustavo,"Pres, EMEA",S - Sale,$128.32,"-5,802","4,030",-59%,"-$744,513",,,,
38,,2017-08-07 11:05:52,2017-08-03,KMB,Decherd Robert W,Dir,P - Purchase,$122.21,"+1,500","43,444",+4%,"+$183,315",,,,
39,D,2017-06-01 15:31:43,2017-05-31,KMB,Cruz Sergio,"Pres, Latin America",S - Sale+OE,$130.01,"-7,078",0,-100%,"-$920,237",,,,
40,D,2017-05-16 19:17:04,2017-05-16,KMB,Mielke Thomas J.,SVP - GC,S - Sale+OE,$128.11,"-20,108","21,690",-48%,"-$2,576,097",,,,
41,D,2017-05-02 13:37:53,2017-05-01,KMB,Macquillan Sandra,SVP Chief Supply Chain Officer,S - Sale+OE,$129.82,"-5,081","3,802",-57%,"-$659,615",-2,-1,,
42,D,2017-04-06 20:20:24,2017-02-23,KMB,Cruz Sergio,"Pres, Latin America",S - Sale+OE,$134.33,"-10,813",0,-100%,"-$1,452,469",0,+2,-2,
43,D,2017-02-23 16:38:35,2017-02-21,KMB,Underhill Kimberly K,"Pres, KCP",S - Sale+OE,$132.04,"-21,740","20,064",-52%,"-$2,870,550",-1,-1,0,
44,D,2017-02-22 17:46:01,2017-02-17,KMB,Palmer Anthony J.,"Pres Global Brands, Inno",S - Sale+OE,$131.67,"-36,320","5,663",-87%,"-$4,782,254",0,-2,-1,
45,D,2017-02-22 17:45:57,2017-02-17,KMB,Mielke Thomas J.,SVP - GC,S - Sale+OE,$131.53,"-18,208","19,332",-49%,"-$2,394,898",0,-2,-1,
46,D,2017-02-22 17:44:54,2017-02-17,KMB,Falk Thomas J,"COB, CEO",S - Sale+OE,$131.61,"-60,964","673,069",-8%,"-$8,023,472",0,-2,-1,
47,,2017-02-02 16:59:24,2017-02-01,KMB,Underhill Kimberly K,"Pres, KCP",S - Sale,$120.95,"-4,000","20,077",-17%,"-$483,800",0,+1,+10,
48,D,2016-11-22 12:07:43,2016-11-21,KMB,Mielke Thomas J.,SVP - GC,S - Sale+OE,$113.34,"-11,946","19,330",-38%,"-$1,353,977",+1,+2,+2,
49,,2016-10-27 15:26:32,2016-10-27,KMB,Decherd Robert W,Dir,P - Purchase,$113.59,"+2,000","41,944",+5%,"+$227,182",0,0,+2,+16
50,D,2016-08-23 14:59:43,2016-08-22,KMB,Mielke Thomas J.,SVP - GC,S - Sale+OE,$127.37,"-11,946","22,783",-34%,"-$1,521,554",+1,+1,-1,+7
51,D,2016-08-08 13:03:40,2016-08-04,KMB,Gottung Lizanne C,"SVP, CHRO",S - Sale+OE,$129.93,"-12,407","18,095",-41%,"-$1,612,069",0,0,0,-5
52,,2016-08-08 13:02:34,2016-08-04,KMB,Palmer Anthony J.,"Pres Global Brands, Inno",S - Sale,$130.00,"-3,080","11,458",-21%,"-$400,400",0,0,0,-5
53,D,2016-07-27 17:25:43,2016-07-26,KMB,Falk Thomas J,"COB, CEO",S - Sale+OE,$133.40,"-206,445","680,857",-23%,"-$27,539,040",0,0,-1,-5
54,D,2016-07-27 17:08:30,2016-07-26,KMB,Gottung Lizanne C,"SVP, CHRO",S - Sale+OE,$132.17,"-6,204","18,075",-26%,"-$819,968",0,0,-1,-5
55,D,2016-05-13 10:51:36,2016-05-12,KMB,Macquillan Sandra,SVP Chief Supply Chain Officer,S - Sale+OE,$129.75,"-5,080","2,107",-71%,"-$659,120",-1,-3,+1,-10
56,,2016-05-09 10:14:47,2016-05-05,KMB,Underhill Kimberly K,"Pres, KCP",S - Sale,$127.77,"-3,073","24,151",-11%,"-$392,632",0,+1,+2,-10
57,D,2016-02-29 11:27:59,2016-02-25,KMB,Mielke Thomas J.,SVP - GC,S - Sale+OE,$132.71,"-10,965","26,496",-29%,"-$1,455,152",-1,+2,+4,-1
58,,2016-02-23 15:37:38,2016-02-22,KMB,Palmer Anthony J.,"Pres Global Brands, Inno",S - Sale,$130.93,"-6,524","14,188",-31%,"-$854,194",0,-1,+2,-2
59,,2016-02-23 15:35:31,2016-02-22,KMB,Gottung Lizanne C,"SVP, CHRO",S - Sale,$132.01,"-4,337","17,966",-19%,"-$572,530",0,-1,+2,-2
60,,2016-02-23 15:34:28,2016-02-22,KMB,Azbell Michael T.,"VP, Controller",S - Sale,$132.55,"-3,402","20,042",-15%,"-$450,921",0,-1,+2,-2
61,D,2016-01-28 10:49:00,2016-01-27,KMB,Underhill Kimberly K,"Pres, KCP",S - Sale+OE,$124.94,"-9,097","24,137",-27%,"-$1,136,586",+2,+5,+6,+7
62,,2015-11-19 16:37:59,2015-11-19,KMB,Buthman Mark A,EVP,S - Sale,$122.00,"-5,988","99,355",-6%,"-$730,536",-1,-1,+2,+5
63,A,2015-10-26 21:01:10,2015-10-22,KMB,White Michael D,Dir,P - Purchase,$119.15,"+2,100","2,100",New,"+$250,215",0,-1,0,+4
64,M,2015-10-26 17:02:02,2015-10-22,KMB,Gottung Lizanne C,"SVP, CHRO",S - Sale,$120.14,"-3,000","17,988",-14%,"-$360,418",0,-1,0,+4
65,D,2015-10-26 15:51:23,2015-10-22,KMB,Mielke Thomas J.,SVP - GC,S - Sale+OE,$120.52,"-20,536","20,606",-50%,"-$2,474,889",0,-1,0,+4
66,D,2015-10-26 15:50:20,2015-10-22,KMB,Azbell Michael T.,"VP, Controller",S - Sale+OE,$119.59,"-29,403","20,050",-59%,"-$3,516,311",0,-1,0,+4
67,,2015-08-04 12:45:23,2015-08-03,KMB,Buthman Mark A,EVP,S - Sale,$115.18,"-14,474","105,343",-12%,"-$1,667,163",0,+1,-10,+12
68,D,2015-05-15 12:07:31,2015-05-14,KMB,Buthman Mark A,EVP,S - Sale+OE,$111.00,"-33,502","119,817",-22%,"-$3,718,722",0,0,-5,+9
69,D,2015-05-12 13:01:54,2015-05-11,KMB,Mielke Thomas J.,SVP - GC,S - Sale+OE,$110.49,"-20,535","26,126",-44%,"-$2,268,936",0,+2,-2,+10
70,D,2015-05-12 12:37:47,2015-05-08,KMB,Falk Thomas J,"COB, CEO",S - Sale+OE,$110.94,"-42,708","637,054",-6%,"-$4,737,889",0,+2,-2,+10
71,D,2015-05-06 17:11:23,2015-05-04,KMB,Falk Thomas J,"COB, CEO",S - Sale+OE,$110.92,"-158,362","637,054",-20%,"-$17,565,091",0,0,-2,+13
72,D,2015-05-05 20:46:29,2015-05-04,KMB,Underhill Kimberly K,"Pres, KCP",S - Sale+OE,$111.17,"-9,306","22,683",-29%,"-$1,034,506",0,0,0,+11
73,,2015-04-23 16:31:42,2015-04-22,KMB,Gottung Lizanne C,"SVP, CHRO",S - Sale,$112.85,"-5,666","20,817",-21%,"-$639,408",0,-1,0,+7
