,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-31 15:03:27,2021-08-27,KO,Smith Brian John,"Pres, COO",S - Sale+OE,$55.65,"-10,000","183,189",-5%,"-$556,505",,,,
2,D,2021-08-12 15:03:21,2021-08-10,KO,Quan Nancy,"SVP, Chief Technical Officer",S - Sale+OE,$57.08,"-6,625","174,346",-4%,"-$378,187",,,,
3,D,2021-08-11 15:02:11,2021-08-09,KO,Douglas Monica Howard,"SVP, GC",S - Sale+OE,$56.62,"-12,089","16,618",-42%,"-$684,479",,,,
4,D,2021-07-28 15:18:04,2021-07-26,KO,Randazza Mark,Principal Accounting Officer,S - Sale+OE,$57.01,"-31,652","56,463",-36%,"-$1,804,503",,,,
5,D,2021-07-20 15:06:57,2021-07-16,KO,Quan Nancy,"SVP, Chief Technical Officer",S - Sale+OE,$56.50,"-19,911","181,104",-10%,"-$1,124,972",,,,
6,D,2021-06-07 15:17:11,2021-06-04,KO,Koumettis Nikolaos,Europe OU President,S - Sale+OE,$55.89,"-55,392","115,011",-33%,"-$3,095,748",,,,
7,D,2021-04-27 15:05:57,2021-04-23,KO,Quincey James,"COB, CEO",S - Sale+OE,$54.48,"-110,000","316,086",-26%,"-$5,993,064",,,,
8,D,2021-04-26 10:12:54,2021-04-22,KO,Koumettis Nikolaos,Europe OU President,S - Sale+OE,$54.81,"-30,000","115,011",-21%,"-$1,644,249",,,,
9,D,2021-04-23 15:08:13,2021-04-21,KO,Loveless Kathy,"VP, Controller",S - Sale+OE,$54.30,"-7,263","20,899",-26%,"-$394,381",,,,
10,D,2021-03-30 15:42:55,2021-03-29,KO,Koumettis Nikolaos,Europe OU President,S - Sale+OE,$53.30,"-60,000","115,011",-34%,"-$3,198,000",,,,
11,D,2021-03-23 15:13:12,2021-03-19,KO,Loveless Kathy,"VP, Controller",S - Sale+OE,$50.46,-501,"27,980",-2%,"-$25,280",,,,
12,,2021-03-11 15:27:01,2021-03-09,KO,Rivera Alfredo,North America OU President,S - Sale,$51.15,"-20,000","62,000",-24%,"-$1,022,986",,,,
13,D,2021-02-18 16:29:01,2021-02-16,KO,Perez Beatriz R,SVP,S - Sale+OE,$50.62,"-42,044","144,092",-23%,"-$2,128,267",,,,
14,D,2021-01-06 15:25:40,2021-01-04,KO,Quan Nancy,SVP,S - Sale+OE,$54.26,"-2,102","184,285",-1%,"-$114,055",,,,
15,D,2020-11-10 13:33:04,2020-11-09,KO,Weinberg David B,Dir,S - Sale+OE,$52.65,"-100,000","8,514,702",-1%,"-$5,265,150",,,,
16,DM,2020-11-09 09:41:08,2020-11-05,KO,Weinberg David B,Dir,S - Sale+OE,$49.75,"-100,000","8,614,702",-1%,"-$4,975,053",,,,
17,D,2020-11-05 12:14:50,2020-11-03,KO,Weinberg David B,Dir,S - Sale+OE,$49.55,"-100,000","8,714,702",-1%,"-$4,954,970",,,,
18,D,2020-11-04 09:46:42,2020-11-02,KO,Murphy John,"EVP, CFO",S - Sale+OE,$48.78,"-112,400","148,317",-43%,"-$5,482,681",,,,
19,D,2020-10-29 13:01:04,2020-10-27,KO,Weinberg David B,Dir,S - Sale+OE,$50.12,"-200,000","8,814,702",-2%,"-$10,023,080",,,,
20,D,2020-08-14 12:42:52,2020-08-12,KO,Long Robert Edward,SVP,S - Sale+OE,$48.21,"-37,534","51,145",-42%,"-$1,809,529",,,,
21,DM,2020-08-11 11:15:52,2020-08-07,KO,Weinberg David B,Dir,S - Sale+OE,$48.02,"-100,000","9,014,702",-1%,"-$4,802,000",,,,
22,D,2020-08-03 13:27:55,2020-07-30,KO,Weinberg David B,Dir,S - Sale+OE,$48.06,"-100,000","9,114,702",-1%,"-$4,805,840",,,,
23,DM,2020-07-30 13:25:57,2020-07-28,KO,Weinberg David B,Dir,S - Sale+OE,$48.18,"-301,095","9,214,702",-3%,"-$14,507,048",,,,
24,DM,2020-07-28 16:05:18,2020-07-24,KO,Weinberg David B,Dir,S - Sale+OE,$48.44,"-498,905","9,515,797",-5%,"-$24,166,253",,,,
25,DM,2020-05-06 16:00:54,2020-05-04,KO,Weinberg David B,Dir,S - Sale+OE,$45.41,"-500,000","10,014,702",-5%,"-$22,706,543",,,,
26,DM,2020-05-05 16:04:35,2020-05-01,KO,Quan Nancy,SVP,S - Sale+OE,$44.98,"-30,000","184,171",-14%,"-$1,349,361",,,,
27,D,2020-04-28 15:09:28,2020-04-27,KO,Chang Lisa,"Chief People Officer, SVP",P - Purchase,$46.61,"+1,650","12,030",+16%,"+$76,898",,,,
28,D,2020-03-06 15:54:31,2020-03-04,KO,Randazza Mark,Principal Accounting Officer,S - Sale+OE,$57.84,"-21,926","57,613",-28%,"-$1,268,239",,,,
29,DM,2020-02-26 16:46:49,2020-02-24,KO,Quincey James,"COB, CEO",S - Sale+OE,$59.06,"-236,211","457,830",-34%,"-$13,950,071",,,,
30,D,2020-02-19 15:35:38,2020-02-14,KO,Quan Nancy,SVP,S - Sale+OE,$60.00,"-12,546","168,741",-7%,"-$752,760",,,,
31,D,2020-02-19 15:31:19,2020-02-14,KO,Mann Jennifer K,SVP,S - Sale+OE,$59.95,"-10,000","37,912",-21%,"-$599,500",,,,
32,D,2020-02-19 15:26:37,2020-02-14,KO,Dinkins James L,SVP,S - Sale+OE,$59.95,"-13,853","59,000",-19%,"-$830,487",,,,
33,D,2020-02-07 16:36:32,2020-02-06,KO,Chang Lisa,"Chief People Officer, SVP",P - Purchase,$59.27,+425,"10,413",+4%,"+$25,191",,,,
34,D,2020-02-03 16:01:04,2020-01-30,KO,Quan Nancy,SVP,S - Sale+OE,$58.27,"-20,000","168,730",-11%,"-$1,165,446",,,,
35,D,2020-02-03 15:51:51,2020-01-30,KO,Dinkins James L,SVP,S - Sale+OE,$57.98,"-18,200","57,535",-24%,"-$1,055,236",,,,
36,D,2020-02-03 15:40:17,2020-01-30,KO,Mann Jennifer K,SVP,S - Sale+OE,$58.57,"-16,424","37,898",-30%,"-$961,964",,,,
37,D,2020-02-03 15:25:40,2020-01-30,KO,Smith Brian John,"Pres, COO",S - Sale+OE,$58.00,"-32,808","150,342",-18%,"-$1,902,864",,,,
38,D,2020-01-15 15:57:03,2020-01-13,KO,Smith Brian John,"Pres, COO",S - Sale+OE,$56.00,"-25,000","150,246",-14%,"-$1,400,000",,,,
39,D,2020-01-15 15:53:26,2020-01-13,KO,Quan Nancy,SVP,S - Sale+OE,$46.00,"-10,000","168,718",-6%,"-$460,000",,,,
