,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2020-11-23 17:03:32,2020-11-20,KSU,Cheatum Lora S,SVP - HR,S - Sale+OE,$188.95,"-1,519","15,879",-9%,"-$287,015",,,,
2,D,2020-11-19 17:07:19,2020-11-18,KSU,Naatz Michael J.,"EVP, CMO",S - Sale+OE,$189.24,"-5,355","10,167",-34%,"-$1,013,353",,,,
3,D,2020-11-19 17:05:17,2020-11-18,KSU,Hancock Brian D.,"EVP, Chief Innovation Officer",S - Sale+OE,$192.16,"-3,000","17,595",-15%,"-$576,488",,,,
4,D,2020-11-19 17:02:10,2020-11-18,KSU,Erdman Warren K,EVP,S - Sale+OE,$189.28,"-3,036","53,242",-5%,"-$574,647",,,,
5,D,2020-11-12 17:02:59,2020-11-11,KSU,Del Cueto Cuevas Oscar Augusto,"Pres, Exec Rep of Sub",S - Sale+OE,$186.39,"-1,046","6,136",-15%,"-$194,964",,,,
6,D,2020-08-14 17:00:39,2020-08-13,KSU,Grafton Suzanne M,"VP, Chief Accounting Officer",S - Sale+OE,$184.37,-917,"9,633",-9%,"-$169,065",,,,
7,D,2020-08-06 17:12:58,2020-08-05,KSU,Cheatum Lora S,SVP - HR,S - Sale+OE,$175.66,"-1,500","17,398",-8%,"-$263,490",,,,
8,D,2020-07-22 17:02:28,2020-07-21,KSU,Songer Jeffrey M,"EVP, COO",S - Sale+OE,$157.50,"-4,492","29,098",-13%,"-$707,503",,,,
9,D,2020-07-21 17:06:23,2020-07-20,KSU,Hancock Brian D.,"EVP, Chief Innovation Officer",S - Sale+OE,$156.75,"-3,500","24,936",-12%,"-$548,627",,,,
10,D,2020-06-11 17:06:21,2020-06-10,KSU,Naatz Michael J.,"EVP, CMO",S - Sale+OE,$158.13,"-3,000","12,507",-19%,"-$474,379",,,,
11,D,2020-06-04 17:08:01,2020-06-04,KSU,Godderz Adam J,"SVP Chief Legal Ofc, Corp Sec",S - Sale+OE,$154.94,-550,"5,834",-9%,"-$85,215",,,,
12,D,2020-06-04 17:04:18,2020-06-03,KSU,Druten Robert J,Dir,S - Sale+OE,$153.23,"-3,500","22,235",-14%,"-$536,314",,,,
13,D,2020-05-26 18:12:51,2020-05-22,KSU,Grafton Suzanne M,"VP, Chief Accounting Officer",S - Sale+OE,$147.15,-300,"9,633",-3%,"-$44,144",,,,
14,D,2020-01-24 17:07:05,2020-01-23,KSU,Zozaya Delano Jose Guillermo,"Pres, Exec Rep of Sub",S - Sale+OE,$164.24,"-13,700","44,783",-23%,"-$2,250,088",,,,
15,D,2020-01-23 18:12:18,2020-01-22,KSU,Erdman Warren K,EVP,S - Sale+OE,$164.30,"-3,800","48,049",-7%,"-$624,339",,,,
16,D,2019-12-11 17:04:48,2019-12-09,KSU,Upchurch Michael W,"EVP, CFO",S - Sale+OE,$151.65,"-1,000","19,052",-5%,"-$151,650",,,,
17,D,2019-12-11 17:02:00,2019-12-10,KSU,Cheatum Lora S,SVP - HR,S - Sale+OE,$151.37,"-5,500","15,925",-26%,"-$832,535",,,,
18,,2019-12-09 17:08:41,2019-12-06,KSU,Garza Antonio O,Dir,S - Sale,$152.96,"-3,000","3,515",-46%,"-$458,891",,,,
19,D,2019-11-27 15:47:19,2019-11-26,KSU,Grafton Suzanne M,"VP, Chief Accounting Officer",S - Sale+OE,$155.64,-806,"8,985",-8%,"-$125,442",,,,
20,D,2019-11-19 17:11:31,2019-11-18,KSU,Songer Jeffrey M,"EVP, COO",S - Sale+OE,$154.45,"-6,304","26,379",-19%,"-$973,646",,,,
21,D,2019-11-19 17:08:00,2019-11-18,KSU,Hancock Brian D.,"EVP, Chief Innovation Officer",S - Sale+OE,$154.46,"-4,368","25,628",-15%,"-$674,669",,,,
22,D,2019-09-05 17:10:31,2019-09-04,KSU,Erdman Warren K,EVP,S - Sale+OE,$127.39,"-6,840","48,043",-12%,"-$871,318",,,,
23,D,2019-09-03 17:11:22,2019-08-30,KSU,Grafton Suzanne M,"VP, Chief Accounting Officer",S - Sale+OE,$125.20,-914,"9,218",-9%,"-$114,433",,,,
24,,2019-07-29 17:08:59,2019-07-26,KSU,Cordova Lu M,Dir,S - Sale,$124.50,"-1,000","9,098",-10%,"-$124,500",,,,
25,D,2019-07-23 17:04:46,2019-07-22,KSU,Godderz Adam J,"GC, Corp. Sec.",S - Sale+OE,$125.13,"-1,390","4,894",-22%,"-$173,932",,,,
26,D,2019-07-23 17:02:32,2019-07-22,KSU,Druten Robert J,Dir,S - Sale+OE,$125.04,"-2,500","24,705",-9%,"-$312,608",,,,
27,,2019-06-06 16:59:56,2019-06-04,KSU,Cordova Lu M,Dir,S - Sale,$116.85,"-1,000","10,098",-9%,"-$116,848",,,,
28,D,2019-05-09 17:06:17,2019-05-07,KSU,Naatz Michael J.,"EVP, CMO",S - Sale+OE,$122.45,"-11,837","14,208",-45%,"-$1,449,473",,,,
29,D,2019-05-02 17:07:00,2019-05-01,KSU,Grafton Suzanne M,"VP, Chief Accounting Officer",S - Sale+OE,$123.07,"-1,000","9,218",-10%,"-$123,068",,,,
