,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-18 17:33:58,2021-05-18,LEG,McClanathan Joseph W,Dir,S - Sale,$55.61,"-1,500","27,041",-5%,"-$83,411",,,,
2,,2021-05-17 11:36:50,2021-05-14,LEG,McClanathan Joseph W,Dir,S - Sale,$56.47,"-5,000","28,541",-15%,"-$282,332",,,,
3,,2021-05-12 12:12:43,2021-05-11,LEG,Odom Judy C,Dir,S - Sale,$56.65,"-15,177","50,615",-23%,"-$859,823",,,,
4,,2021-05-10 14:00:19,2021-05-07,LEG,McCoy Susan R,SVP - Investor Relations,S - Sale,$56.76,"-1,000","30,223",-3%,"-$56,759",,,,
5,,2021-02-19 13:40:47,2021-02-18,LEG,Wood Phoebe A,Dir,S - Sale,$41.42,"-10,346","49,057",-17%,"-$428,511",,,,
6,,2020-12-04 12:17:38,2020-12-03,LEG,Douglas Scott S,"SVP-Gen. Counsel, Secretary",S - Sale,$43.67,"-9,000","40,545",-18%,"-$393,038",,,,
7,,2019-12-02 14:50:59,2019-11-27,LEG,Iorio Russell J,SVP - Corporate Development,S - Sale,$53.09,"-6,962","61,446",-10%,"-$369,613",,,,
8,,2019-12-02 12:12:02,2019-11-27,LEG,Enloe Robert Ted III,Dir,S - Sale,$52.58,"-6,849","43,166",-14%,"-$360,108",,,,
9,,2019-11-12 09:59:36,2019-11-08,LEG,McClanathan Joseph W,Dir,S - Sale,$54.79,"-4,399","25,455",-15%,"-$240,999",,,,
10,,2019-11-07 10:48:23,2019-11-06,LEG,Wood Phoebe A,Dir,S - Sale,$54.50,"-23,260","54,204",-30%,"-$1,267,607",,,,
11,D,2019-11-01 13:16:51,2019-10-31,LEG,Glassman Karl G,"Pres, CEO",S - Sale+OE,$51.88,"-11,210","509,040",-2%,"-$581,575",,,,
12,,2019-11-01 12:27:39,2019-10-31,LEG,Odom Judy C,Dir,S - Sale,$50.84,"-10,000","56,117",-15%,"-$508,438",,,,
13,D,2019-10-31 14:00:04,2019-10-30,LEG,Iorio Russell J,SVP - Corporate Development,S - Sale+OE,$51.86,"-26,475","68,167",-28%,"-$1,372,946",,,,
14,,2019-10-31 11:55:59,2019-10-30,LEG,Douglas Scott S,"SVP-Gen. Counsel, Secretary",S - Sale,$51.46,"-10,000","36,940",-21%,"-$514,552",,,,
15,,2019-09-17 14:49:29,2019-09-16,LEG,Glassman Karl G,"Pres, CEO",S - Sale,$42.13,"-10,683","482,447",-2%,"-$450,075",,,,
16,,2019-08-09 12:51:37,2019-08-08,LEG,McCoy Susan R,SVP - Investor Relations,S - Sale,$39.54,-338,"21,306",-2%,"-$13,365",,,,
17,D,2019-02-27 18:01:12,2019-02-27,LEG,Iorio Russell J,SVP - Corporate Development,S - Sale+OE,$45.73,"-16,042","59,325",-21%,"-$733,601",,,,
18,D,2019-02-21 13:13:02,2019-02-20,LEG,Douglas Scott S,"SVP-Gen. Counsel, Secretary",S - Sale+OE,$45.22,"-18,450","32,737",-36%,"-$834,302",,,,
19,,2019-02-15 12:43:14,2019-02-14,LEG,McClanathan Joseph W,Dir,S - Sale,$43.83,"-10,143","26,034",-28%,"-$444,544",,,,
20,,2018-08-24 16:47:57,2018-08-23,LEG,Flanigan Matthew C,EVP - CFO,S - Sale,$46.00,"-15,672","246,753",-6%,"-$720,912",,,,
21,,2018-07-31 14:31:43,2018-07-30,LEG,Flanigan Matthew C,EVP - CFO,S - Sale,$44.09,"-29,248","261,123",-10%,"-$1,289,544",,,,
22,,2018-06-04 10:50:24,2018-06-01,LEG,Enloe Robert Ted III,Dir,S - Sale,$41.47,"-5,328","42,376",-11%,"-$220,967",,,,
23,,2018-03-16 14:50:44,2018-03-15,LEG,Glassman Karl G,"Pres, CEO",S - Sale,$47.41,"-10,000","367,435",-3%,"-$474,100",,,,
24,,2018-02-20 10:34:08,2018-02-16,LEG,Desonier David M,"SVP - Strategy, IR",S - Sale,$45.28,"-10,000","65,542",-13%,"-$452,750",,,,
25,,2018-02-16 15:24:11,2018-02-15,LEG,Enloe Robert Ted III,Dir,S - Sale,$45.15,"-5,871","40,855",-13%,"-$265,074",,,,
26,,2018-02-12 12:04:49,2018-02-08,LEG,Flanigan Matthew C,EVP - CFO,S - Sale,$45.78,"-20,000","268,120",-7%,"-$915,600",,,,
27,,2018-02-08 13:56:23,2018-02-07,LEG,Douglas Scott S,"SVP-Gen. Counsel, Secretary",S - Sale,$47.01,"-10,000","29,584",-25%,"-$470,129",,,,
28,D,2017-12-13 13:12:09,2017-12-12,LEG,Trent Tammy M,SVP - Chief Accounting Officer,S - Sale+OE,$46.48,-250,"15,761",-2%,"-$11,620",,,,
29,,2017-11-20 16:12:36,2017-11-20,LEG,Douglas Scott S,SVP - GC,S - Sale,$46.45,"-3,000","35,289",-8%,"-$139,350",,,,
30,D,2017-08-02 11:35:42,2017-07-31,LEG,Flanigan Matthew C,EVP - CFO,S - Sale+OE,$49.58,"-19,589","283,616",-6%,"-$971,223",,,,
31,,2017-05-09 16:33:48,2017-05-08,LEG,Odom Judy C,Dir,S - Sale,$53.55,"-10,000","50,383",-17%,"-$535,514",0,,,
32,,2017-05-09 14:41:57,2017-05-08,LEG,Glassman Karl G,"Pres, CEO",S - Sale,$53.79,"-13,277","357,924",-4%,"-$714,170",0,,,
33,,2017-05-05 14:45:15,2017-05-04,LEG,Flanigan Matthew C,EVP - CFO,S - Sale,$53.48,"-12,328","283,671",-4%,"-$659,301",+1,-1,,
34,,2017-05-04 11:13:01,2017-05-03,LEG,Douglas Scott S,SVP - GC,S - Sale,$53.26,"-5,000","36,133",-12%,"-$266,300",0,0,,
35,,2017-05-02 17:32:35,2017-05-01,LEG,McClanathan Joseph W,Dir,S - Sale,$52.91,"-5,715","30,409",-16%,"-$302,399",0,0,,
36,D,2017-02-24 16:22:25,2017-02-23,LEG,Dolloff J Mitchell,EVP,S - Sale+OE,$49.05,"-20,000","70,866",-22%,"-$981,034",0,0,+2,
37,,2017-02-09 16:14:05,2017-02-08,LEG,Flanigan Matthew C,EVP - CFO,S - Sale,$48.61,"-25,000","275,657",-8%,"-$1,215,250",0,-1,0,
38,,2017-02-09 16:09:01,2017-02-08,LEG,Glassman Karl G,"Pres, CEO",S - Sale,$48.61,"-75,388","361,802",-17%,"-$3,664,611",0,-1,0,
39,M,2017-02-08 13:41:54,2017-02-06,LEG,Desonier David M,"SVP - Strategy, IR",S - Sale,$48.68,"-6,490","71,703",-8%,"-$315,929",-1,-1,-1,
40,,2017-02-07 16:12:18,2017-02-06,LEG,Glassman Karl G,"Pres, CEO",S - Sale,$48.74,"-79,772","437,190",-15%,"-$3,888,087",-1,0,0,
41,,2017-02-02 11:44:27,2017-02-01,LEG,Douglas Scott S,SVP - GC,S - Sale,$48.62,"-6,500","37,143",-15%,"-$316,047",-1,-1,+2,
42,,2016-11-16 11:13:10,2016-11-15,LEG,Douglas Scott S,SVP - GC,S - Sale,$49.50,"-1,000","38,089",-3%,"-$49,500",0,+1,+2,
43,,2016-09-02 10:10:17,2016-09-01,LEG,Park Dennis S,SVP,S - Sale,$52.48,"-3,000","302,526",-1%,"-$157,440",0,-5,-12,-4
44,,2016-08-29 16:46:28,2016-08-26,LEG,Glassman Karl G,"Pres, CEO",S - Sale,$52.49,"-20,000","479,918",-4%,"-$1,049,800",0,-1,-7,-5
45,,2016-08-25 13:49:18,2016-08-24,LEG,Douglas Scott S,SVP - GC,S - Sale,$51.95,"-2,000","38,363",-5%,"-$103,900",+1,+1,-6,-4
46,,2016-08-24 15:54:17,2016-08-23,LEG,Odom Judy C,Dir,S - Sale,$52.51,"-5,000","58,557",-8%,"-$262,527",0,0,-5,-4
47,,2016-06-20 10:17:37,2016-06-17,LEG,Glassman Karl G,"Pres, CEO",S - Sale,$50.07,"-22,580","495,880",-4%,"-$1,130,581",+1,-3,+6,0
48,,2016-06-06 12:45:49,2016-06-03,LEG,Flanigan Matthew C,EVP - CFO,S - Sale,$51.01,"-20,000","283,807",-7%,"-$1,020,200",+1,0,+1,-4
49,D,2016-05-27 15:11:31,2016-05-26,LEG,Park Dennis S,SVP,S - Sale+OE,$49.51,"-2,000","300,780",-1%,"-$99,020",+1,+2,-2,+1
50,,2016-05-25 10:14:34,2016-05-24,LEG,Enloe Robert Ted III,Dir,S - Sale,$49.00,"-4,103","41,398",-9%,"-$201,047",-1,+1,+3,0
51,,2016-05-03 11:08:44,2016-05-02,LEG,Moore John G.,"SVP - Chief Legal, HR Officer",S - Sale,$49.50,"-3,637","28,520",-11%,"-$180,031",0,0,+2,-7
52,,2016-05-03 10:56:13,2016-05-02,LEG,Douglas Scott S,SVP - GC,S - Sale,$49.53,"-2,000","35,670",-5%,"-$99,067",0,0,+2,-7
53,,2016-03-22 11:45:28,2016-03-18,LEG,Glassman Karl G,"Pres, CEO",S - Sale,$48.13,"-15,000","513,821",-3%,"-$721,950",0,+1,0,+4
54,,2016-03-22 11:34:21,2016-03-18,LEG,Crusa Jack D,SVP,S - Sale,$48.16,"-10,000","218,310",-4%,"-$481,562",0,+1,0,+4
