,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-19 11:35:47,2021-08-18,LLY,Lilly Endowment Inc,10%,S - Sale,$274.31,"-15,430","108,248,610",0%,"-$4,232,603",,,,
2,,2021-08-18 13:20:42,2021-08-17,LLY,Lilly Endowment Inc,10%,S - Sale,$274.08,"-3,060","108,264,040",0%,"-$838,698",,,,
3,,2021-08-10 15:48:02,2021-08-09,LLY,Lilly Endowment Inc,10%,S - Sale,$267.50,"-104,711","108,267,100",0%,"-$28,010,135",,,,
4,,2021-08-09 12:58:17,2021-08-06,LLY,Lilly Endowment Inc,10%,S - Sale,$264.05,"-7,597","108,371,811",0%,"-$2,005,965",,,,
5,,2021-08-06 12:57:15,2021-08-05,LLY,Lilly Endowment Inc,10%,S - Sale,$264.26,"-132,692","108,379,408",0%,"-$35,065,320",,,,
6,,2021-08-05 15:52:13,2021-08-04,LLY,Lilly Endowment Inc,10%,S - Sale,$265.15,"-13,458","108,512,100",0%,"-$3,568,360",,,,
7,,2021-08-04 15:15:04,2021-08-03,LLY,Lilly Endowment Inc,10%,S - Sale,$256.12,"-236,542","108,525,558",0%,"-$60,582,474",,,,
8,,2021-07-22 10:47:10,2021-07-21,LLY,Lilly Endowment Inc,10%,S - Sale,$237.00,"-86,111","108,762,100",0%,"-$20,408,307",,,,
9,,2021-07-21 11:12:46,2021-07-20,LLY,Lilly Endowment Inc,10%,S - Sale,$237.06,"-15,610","108,848,211",0%,"-$3,700,429",,,,
10,,2021-07-15 14:03:55,2021-07-14,LLY,Lilly Endowment Inc,10%,S - Sale,$237.02,"-10,780","108,863,821",0%,"-$2,555,119",,,,
11,,2021-07-13 15:08:19,2021-07-12,LLY,Lilly Endowment Inc,10%,S - Sale,$237.09,"-3,238","108,874,601",0%,"-$767,694",,,,
12,,2021-07-12 12:58:04,2021-07-09,LLY,Lilly Endowment Inc,10%,S - Sale,$237.39,"-109,261","108,877,839",0%,"-$25,937,091",,,,
13,,2021-07-07 09:17:36,2021-07-06,LLY,Lilly Endowment Inc,10%,S - Sale,$235.09,"-210,000","108,987,100",0%,"-$49,369,047",,,,
14,,2021-07-06 13:05:18,2021-07-02,LLY,Lilly Endowment Inc,10%,S - Sale,$232.94,"-202,102","109,197,100",0%,"-$47,077,749",,,,
15,,2021-06-25 13:16:07,2021-06-24,LLY,Lilly Endowment Inc,10%,S - Sale,$237.51,"-12,898","109,399,202",0%,"-$3,063,401",,,,
16,,2021-06-11 10:35:18,2021-06-10,LLY,Lilly Endowment Inc,10%,S - Sale,$233.64,"-240,000","109,412,100",0%,"-$56,072,352",,,,
17,,2021-06-10 15:35:08,2021-06-09,LLY,Lilly Endowment Inc,10%,S - Sale,$224.93,"-220,000","109,652,100",0%,"-$49,484,263",,,,
18,,2021-06-08 15:16:49,2021-06-07,LLY,Lilly Endowment Inc,10%,S - Sale,$224.72,"-230,000","109,872,100",0%,"-$51,685,008",,,,
19,,2021-05-25 10:39:20,2021-05-24,LLY,Lilly Endowment Inc,10%,S - Sale,$202.27,"-7,329","110,102,100",0%,"-$1,482,405",,,,
20,,2021-05-24 11:15:32,2021-05-21,LLY,Lilly Endowment Inc,10%,S - Sale,$200.58,"-92,740","110,109,429",0%,"-$18,602,006",,,,
21,,2021-05-21 12:57:46,2021-05-20,LLY,Lilly Endowment Inc,10%,S - Sale,$200.48,"-99,931","110,202,169",0%,"-$20,033,767",,,,
22,,2021-05-03 19:01:46,2021-04-30,LLY,Tai Jackson P,Dir,P - Purchase,$182.84,"+1,366","61,195",+2%,"+$249,759",,,,
23,,2021-04-29 20:31:19,2021-04-28,LLY,Zakrowski Donald A,Chief Accounting Officer,S - Sale,$181.38,"-3,000","7,648",-28%,"-$544,140",,,,
24,,2021-03-10 14:59:10,2021-03-09,LLY,Lilly Endowment Inc,10%,S - Sale,$209.79,"-59,959","110,302,100",0%,"-$12,579,032",,,,
25,,2021-03-09 12:26:10,2021-03-08,LLY,Lilly Endowment Inc,10%,S - Sale,$209.69,"-125,284","110,362,059",0%,"-$26,271,092",,,,
26,,2021-01-19 13:04:49,2021-01-15,LLY,Lilly Endowment Inc,10%,S - Sale,$190.80,"-215,000","110,487,343",0%,"-$41,022,862",,,,
27,,2021-01-14 11:23:55,2021-01-13,LLY,Lilly Endowment Inc,10%,S - Sale,$185.97,"-210,000","110,702,343",0%,"-$39,053,064",,,,
28,,2021-01-12 11:27:18,2021-01-11,LLY,Lilly Endowment Inc,10%,S - Sale,$185.49,"-220,000","110,912,343",0%,"-$40,807,754",,,,
29,A,2020-10-28 15:24:14,2020-09-08,LLY,Barnes Melissa S,"Chief Eth, Cmpl Ofcr, SVP, ERM",S - Sale,$151.01,"-5,000","24,504",-17%,"-$755,050",,,,
30,,2020-09-10 16:25:20,2020-09-08,LLY,Barnes Melissa S,"Chief Eth, Cmpl Ofcr, SVP, ERM",S - Sale,$151.01,"-5,000","24,504",-17%,"-$755,050",,,,
31,,2020-08-18 15:31:07,2020-08-17,LLY,Fry Stephen F,"SVP, HR, Diversity",S - Sale,$150.64,"-7,204","100,388",-7%,"-$1,085,211",,,,
