,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-26 16:26:29,2021-05-24,LMT,Possenriede Kenneth R,CFO,S - Sale,$387.53,"-2,787",810,-77%,"-$1,080,038",,,,
2,,2021-04-27 16:14:12,2021-04-23,LMT,Ambrose Richard F,EVP,S - Sale,$377.38,"-3,446",373,-90%,"-$1,300,445",,,,
3,,2021-04-27 16:14:06,2021-04-26,LMT,St John Frank A,COO,S - Sale,$371.95,"-6,855",0,-100%,"-$2,549,721",,,,
4,,2021-04-23 16:11:02,2021-04-22,LMT,Lavan Maryanne,"SVP, GC",S - Sale,$383.84,"-5,406",7,-100%,"-$2,075,040",,,,
5,,2021-04-23 16:10:51,2021-04-21,LMT,Ambrose Richard F,EVP,S - Sale,$387.12,"-3,500","3,819",-48%,"-$1,354,932",,,,
6,,2020-02-14 16:13:33,2020-02-12,LMT,Possenriede Kenneth R,"EVP, CFO",S - Sale,$436.54,"-1,000","2,766",-27%,"-$436,535",,,,
7,D,2020-02-10 21:29:04,2020-02-06,LMT,St John Frank A,EVP,S - Sale+OE,$438.60,-556,1,-100%,"-$243,862",,,,
8,D,2020-01-31 16:26:07,2020-01-29,LMT,Evans Michele A,EVP,S - Sale+OE,$432.22,"-9,629",407,-96%,"-$4,161,824",,,,
9,,2020-01-31 16:26:03,2020-01-29,LMT,Hewson Marillyn A,"COB, Pres, CEO",S - Sale,$436.12,"-22,000","39,365",-36%,"-$9,594,670",,,,
10,,2020-01-31 16:25:59,2020-01-29,LMT,Greene Scott T,EVP,S - Sale,$432.88,"-2,000","7,358",-21%,"-$865,751",,,,
11,,2020-01-31 16:25:55,2020-01-29,LMT,Lavan Maryanne,"SVP, GC",S - Sale,$435.60,"-6,500",772,-89%,"-$2,831,373",,,,
12,,2020-01-31 16:25:51,2020-01-29,LMT,Ambrose Richard F,EVP,S - Sale,$435.52,"-6,905",326,-95%,"-$3,007,282",,,,
13,,2020-01-31 16:25:47,2020-01-29,LMT,Colan Brian P,"VP, Controller",S - Sale,$434.77,"-1,108",483,-70%,"-$481,725",,,,
14,,2019-08-12 16:16:17,2019-08-09,LMT,Taiclet James D Jr,Dir,P - Purchase,$376.32,"+1,354","1,354",New,"+$509,534",,,,
15,,2019-07-26 16:13:53,2019-07-24,LMT,Possenriede Kenneth R,"EVP, CFO",S - Sale,$363.85,"-2,000","2,638",-43%,"-$727,701",,,,
16,,2019-07-26 16:12:48,2019-07-25,LMT,Hewson Marillyn A,"COB, Pres, CEO",S - Sale,$369.14,"-19,500","31,748",-38%,"-$7,198,220",,,,
17,,2019-07-26 16:08:43,2019-07-24,LMT,Lavan Maryanne,"SVP, GC",S - Sale,$365.50,"-1,003",968,-51%,"-$366,600",,,,
18,,2019-04-25 16:16:49,2019-04-24,LMT,Burritt David B,Dir,S - Sale,$330.21,"-2,100","6,030",-26%,"-$693,443",,,,
