,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-06-04 08:10:23,2021-06-02,LOW,Godbole Seemantini,"EVP, CIO",S - Sale+OE,$190.77,"-15,234","28,365",-35%,"-$2,906,120",,,,
2,,2021-03-02 08:43:23,2021-02-26,LOW,Batchelder David H,Dir,P - Purchase,$159.48,"+6,250","28,250",+28%,"+$996,755",,,,
3,D,2020-08-28 16:40:32,2020-08-26,LOW,McCanless Ross W,"EVP, GC, Corp. Sec.",S - Sale+OE,$168.33,"-62,838","36,579",-63%,"-$10,577,653",,,,
4,,2020-03-10 08:36:14,2020-03-06,LOW,Ellison Marvin R,"Pres, CEO",P - Purchase,$103.86,"+10,000","90,090",+12%,"+$1,038,595",,,,
5,D,2019-09-19 08:07:31,2019-09-17,LOW,Hollifield Matthew V,SVP Chief Accounting Officer,S - Sale+OE,$112.34,"-12,136","27,555",-31%,"-$1,363,312",,,,
6,,2019-09-17 08:57:42,2019-09-16,LOW,Weber Jennifer L,"EVP, HR",S - Sale,$112.62,"-12,589","18,594",-40%,"-$1,417,773",,,,
7,,2019-06-21 08:32:31,2019-06-19,LOW,Frieson Donald,"EVP, Supply Chain",P - Purchase,$98.69,"+2,030","10,980",+23%,"+$200,342",,,,
8,,2019-05-29 08:20:49,2019-05-24,LOW,Ellison Marvin R,"Pres, CEO",P - Purchase,$95.05,"+10,000","80,090",+14%,"+$950,538",,,,
9,,2019-05-28 16:30:21,2019-05-24,LOW,Wardell Lisa W,Dir,P - Purchase,$94.90,+250,523,+92%,"+$23,725",,,,
10,,2018-11-27 08:06:04,2018-11-23,LOW,Rogers Brian C,Dir,P - Purchase,$88.02,"+10,000","10,000",New,"+$880,200",,,,
11,D,2018-09-20 07:55:14,2018-09-18,LOW,Croom Marshall A,"EVP, CFO",S - Sale+OE,$114.61,"-15,735","45,653",-26%,"-$1,803,435",,,,
12,,2018-08-28 07:32:08,2018-08-24,LOW,Wardell Lisa W,Dir,P - Purchase,$107.72,+273,273,New,"+$29,407",,,,
13,D,2018-06-12 08:15:20,2018-06-08,LOW,Hollifield Matthew V,SVP Chief Accounting Officer,S - Sale+OE,$99.56,"-12,362","27,033",-31%,"-$1,230,809",,,,
14,,2017-11-29 08:39:38,2017-11-27,LOW,Peace Nelson B,Corp Administration Exec,S - Sale,$80.20,"-3,352","10,546",-24%,"-$268,840",,,,
