,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-24 17:22:08,2021-09-22,BBWI,Nash Sarah E,Dir,S - Sale+OE,$66.26,"-14,400","20,094",-42%,"-$954,127",,,,
2,,2021-09-10 16:19:36,2021-09-08,BBWI,Bersani James L.,Pres - Real Estate,S - Sale,$64.90,"-19,913","161,734",-11%,"-$1,292,354",,,,
3,,2021-07-20 17:04:12,2021-07-19,LB,Wexner Leslie H.,10%,S - Sale,$73.01,"-28,959,905","5,000,000",-85%,"-$2,114,362,664",,,,
4,,2021-06-07 17:00:48,2021-06-03,LB,Wexner Leslie H.,10%,S - Sale,$65.30,"-5,000,000","15,905,463",-24%,"-$326,500,000",,,,
5,D,2021-05-28 21:20:35,2021-05-27,LB,Bersani James L.,Pres - Real Estate,S - Sale+OE,$69.21,"-36,458","170,968",-18%,"-$2,523,258",,,,
6,,2021-03-24 16:21:34,2021-03-22,LB,Wexner Leslie H.,"Dir, 10%",S - Sale,$58.31,"-3,050,000","20,556,310",-13%,"-$177,845,500",,,,
7,D,2021-03-02 08:24:00,2021-02-26,LB,Burgdoerfer Stuart B,"EVP, CFO",S - Sale+OE,$54.56,"-75,848","77,879",-49%,"-$4,138,267",,,,
8,,2021-03-02 08:23:54,2021-02-26,LB,Bellinger Patricia S.,Dir,P - Purchase,$54.53,"+3,666","3,666",New,"+$199,893",,,,
9,D,2021-03-02 08:23:49,2021-02-26,LB,Bersani James L.,Pres - Real Estate,S - Sale+OE,$55.65,"-11,279","194,466",-5%,"-$627,676",,,,
10,,2020-11-23 17:15:00,2020-11-20,LB,Bersani James L.,Pres - Real Estate,S - Sale,$39.65,"-18,900","194,466",-9%,"-$749,385",,,,
11,D,2020-09-03 11:05:09,2020-09-01,LB,Bersani James L.,Pres - Real Estate,S - Sale+OE,$30.00,"-28,373","213,966",-12%,"-$851,227",,,,
12,,2020-08-27 21:00:38,2020-08-25,LB,Wexner Leslie H.,"Dir, 10%",S - Sale,$29.70,"-3,000,000","23,200,540",-11%,"-$89,100,000",,,,
13,,2020-07-01 21:36:11,2020-06-23,LB,Sheehan Anne,Dir,P - Purchase,$14.64,+685,685,New,"+$10,028",,,,
14,,2018-11-26 18:17:07,2018-07-06,LB,Bersani James L.,"EVP, Pres - Real Estate",P - Purchase,$36.28,"+5,000","219,293",+2%,"+$181,400",,,,
15,,2018-11-26 18:17:02,2018-11-21,LB,Zimmerman Raymond,Dir,S - Sale,$28.33,"-6,385","41,073",-13%,"-$180,877",,,,
16,A,2018-06-01 19:28:06,2018-05-25,LB,James Donna,Dir,P - Purchase,$35.29,"+1,000","21,738",+5%,"+$35,292",,,,
17,,2018-05-30 10:39:21,2018-05-25,LB,James Donna,Dir,S - Sale,$35.29,"-1,000","19,738",-5%,"-$35,292",,,,
18,D,2018-03-23 16:45:10,2018-03-21,LB,Burgdoerfer Stuart B,"EVP, CFO",S - Sale+OE,$39.56,"-17,000","52,640",-24%,"-$672,520",,,,
19,,2018-03-15 16:39:40,2018-03-13,LB,Burgdoerfer Stuart B,"EVP, CFO",S - Sale,$42.53,"-33,000","69,640",-32%,"-$1,403,358",,,,
20,,2017-11-21 16:10:52,2017-11-20,LB,Kollat David T,Dir,P - Purchase,$50.34,"+9,910","158,878",+7%,"+$498,869",,,,
21,,2017-10-05 11:45:15,2017-08-18,LB,Kollat David T,Dir,P - Purchase,$37.56,"+26,500","148,968",+22%,"+$995,340",,,,
22,,2017-09-25 16:50:59,2017-09-21,LB,Tessler Allan R,Dir,P - Purchase,$37.00,"+20,000","106,140",+23%,"+$739,988",,,,
23,,2017-05-19 17:10:53,2017-05-19,LB,Coe Nicholas,"CEO-Bath, Body Works",S - Sale,$48.88,"-39,839",0,-100%,"-$1,947,330",,,,
24,,2016-09-01 19:54:37,2016-08-30,LB,McGuigan Charles,COO,S - Sale,$76.37,"-23,687","33,701",-41%,"-$1,808,976",-1,-2,-5,-28
25,,2016-08-25 16:57:40,2016-08-23,LB,Waters Martin P,"Pres, L Brands International",S - Sale,$77.49,"-45,500","13,970",-77%,"-$3,525,795",-1,-1,-2,-32
26,,2016-07-12 16:18:42,2016-07-11,LB,Coe Nicholas,"CEO-Bath, Body Works",S - Sale,$67.53,"-4,951",0,-100%,"-$334,341",-1,0,+2,-12
27,,2016-06-24 16:21:19,2016-06-24,LB,Tessler Allan R,Dir,P - Purchase,$67.92,"+3,500","87,616",+4%,"+$237,706",-3,-1,+10,+3
28,,2016-05-27 11:42:12,2016-05-25,LB,Coe Nicholas,"CEO-Bath, Body Works",S - Sale,$64.59,"-28,444","9,333",-75%,"-$1,837,135",+2,+8,-1,+11
29,D,2016-03-25 16:31:57,2016-03-23,LB,Coe Nicholas,"CEO-Bath, Body Works",S - Sale+OE,$85.24,"-18,075","9,333",-66%,"-$1,540,713",0,+2,-10,-13
30,,2015-12-30 14:19:23,2015-12-28,LB,Zimmerman Raymond,Dir,S - Sale,$96.26,"-1,500","39,725",-4%,"-$144,390",-1,-3,-2,-29
31,M,2015-11-05 16:06:09,2015-11-03,LB,Turney Sharen J,"CEO, P VS Megabrand Int App Gr",S - Sale,$100.18,"-80,000","449,697",-15%,"-$8,014,637",-2,-6,+1,-27
32,D,2015-10-09 11:32:40,2015-10-07,LB,Turney Sharen J,"CEO, P VS Megabrand Int App Gr",S - Sale+OE,$95.00,"-107,801","529,697",-17%,"-$10,241,095",0,-1,0,-15
33,,2015-07-10 18:28:14,2015-07-09,LB,Coe Nicholas,"CEO-Bath, Body Works",S - Sale,$83.79,"-5,000","14,275",-26%,"-$418,950",+1,0,-3,+16
34,,2015-06-25 18:17:34,2015-06-24,LB,Zimmerman Raymond,Dir,P - Purchase,$87.77,"+1,285","41,225",+3%,"+$112,780",+1,-1,-5,+12
35,D,2015-06-05 15:41:18,2015-06-04,LB,Burgdoerfer Stuart B,"EVP, CFO",S - Sale+OE,$87.72,"-49,113","62,170",-44%,"-$4,308,192",-2,-3,-1,+12
36,,2015-06-05 15:41:17,2015-06-04,LB,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale,$87.98,"-5,815","52,428",-10%,"-$511,597",-2,-3,-1,+12
37,,2015-06-05 15:41:15,2015-06-04,LB,Coe Nicholas,"CEO-Bath, Body Works",S - Sale,$87.11,"-15,000","23,587",-39%,"-$1,306,616",-2,-3,-1,+12
38,D,2015-04-15 18:45:17,2015-04-13,LB,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale+OE,$93.74,"-47,316","38,320",-55%,"-$4,435,402",-1,-1,-7,+5
39,,2015-03-19 16:35:14,2015-03-17,LB,Burgdoerfer Stuart B,"EVP, CFO",S - Sale,$91.44,"-30,750","68,147",-31%,"-$2,811,734",0,0,-4,+1
40,,2014-10-02 18:26:28,2014-08-28,LB,Zimmerman Raymond,Dir,S - Sale,$63.83,"-4,000","39,693",-9%,"-$255,306",+1,+2,+8,+45
41,D,2014-09-15 15:45:06,2014-09-11,LB,Turney Sharen J,"CEO, P VS Megabrand Int App Gr",S - Sale+OE,$65.02,"-200,000","616,213",-25%,"-$13,004,000",0,+2,0,+46
42,,2014-08-27 17:18:05,2014-08-25,LB,Wexner Leslie H.,"COB, CEO, 10%",S - Sale,$62.64,"-2,000,000","10,012,996",-17%,"-$125,280,000",0,0,+6,+49
43,,2014-07-15 14:19:29,2014-06-17,LB,James Donna,Dir,S - Sale,$57.84,"-12,000","10,817",-53%,"-$694,044",-1,-3,+6,+47
44,,2014-07-08 15:28:38,2014-07-07,LB,Coe Nicholas,"CEO-Bath, Body Works",S - Sale,$61.21,"-3,321","17,825",-16%,"-$203,278",0,-4,-4,+40
45,D,2014-07-01 19:16:34,2014-06-30,LB,Ramsey Jane L,EVP of HR,S - Sale+OE,$58.61,"-21,219","151,170",-12%,"-$1,243,646",+1,+2,-2,+46
46,,2014-06-03 18:37:36,2014-06-02,LB,Coe Nicholas,"CEO-Bath, Body Works",S - Sale,$57.80,"-7,053","23,767",-23%,"-$407,663",+1,+3,+4,+42
47,,2014-06-03 18:37:34,2014-06-02,LB,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale,$57.78,"-14,193","50,501",-22%,"-$820,123",+1,+3,+4,+42
48,D,2014-04-11 15:07:53,2014-04-10,LB,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale+OE,$56.53,"-28,791","53,381",-35%,"-$1,627,526",-3,-3,+2,+22
49,,2014-02-28 15:09:46,2014-02-28,LB,Steinour Stephen D,Dir,P - Purchase,$56.35,"+10,000","10,000",New,"+$563,480",+1,+2,+1,+15
50,D,2013-09-05 18:11:34,2013-09-05,LTD,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale+OE,$57.81,"-15,538","68,058",-19%,"-$898,252",,,,
51,D,2013-08-01 14:33:21,2013-07-30,LTD,Turney Sharen J,"CEO, P VS Megabrand Int App Gr",S - Sale+OE,$55.16,"-339,854","883,552",-28%,"-$18,746,274",,,,
52,,2013-07-30 12:19:24,2013-07-29,LTD,Burgdoerfer Stuart B,"EVP, CFO",S - Sale,$54.00,"-10,378","79,633",-12%,"-$560,412",,,,
53,,2013-07-15 16:32:33,2013-07-12,LTD,Coe Nicholas,"CEO-Bath, Body Works",S - Sale,$51.87,"-3,329","23,338",-12%,"-$172,675",,,,
54,,2013-06-10 10:30:48,2013-06-04,LTD,Burgdoerfer Stuart B,"EVP, CFO",S - Sale,$52.00,"-10,377","90,011",-10%,"-$539,604",,,,
55,D,2013-05-30 18:04:55,2013-05-28,LTD,Burgdoerfer Stuart B,"EVP, CFO",S - Sale+OE,$49.93,"-86,799","100,388",-46%,"-$4,333,874",,,,
56,,2013-04-15 18:16:59,2013-04-11,LTD,Wexner Leslie H.,"COB, CEO, 10%",S - Sale,$49.32,"-1,500,000","17,801,097",-8%,"-$73,980,000",,,,
57,DM,2013-04-09 17:10:55,2013-04-05,LTD,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale+OE,$46.04,"-23,887","69,156",-26%,"-$1,099,703",,,,
58,,2012-10-03 17:07:45,2012-10-02,LTD,Morris Michael G,Dir,P - Purchase,$49.43,"+10,110","10,110",New,"+$499,737",,,,
59,,2012-09-28 14:29:33,2012-09-27,LTD,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale,$49.25,"-14,091","97,360",-13%,"-$693,982",,,,
60,,2012-09-21 14:36:18,2012-09-20,LTD,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale,$51.15,"-2,496","111,451",-2%,"-$127,670",,,,
61,D,2012-08-21 16:06:14,2012-08-17,LTD,Ramsey Jane L,EVP of HR,S - Sale+OE,$49.50,"-11,260","132,931",-8%,"-$557,370",,,,
62,,2012-07-16 16:46:46,2012-07-13,LTD,Tessler Allan R,Dir,S - Sale,$46.00,"-10,000","80,447",-11%,"-$459,997",,,,
63,M,2012-04-17 17:09:56,2012-04-13,LTD,Redgrave Martyn R,"EVP, Chief Admin Officer",S - Sale,$47.91,"-67,250","201,846",-25%,"-$3,222,279",,,,
64,D,2012-04-06 12:57:19,2012-04-04,LTD,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale+OE,$48.61,"-31,286","112,790",-22%,"-$1,520,812",,,,
65,,2012-04-04 16:15:58,2012-04-03,LTD,Turney Sharen J,"CEO, P VS Megabrand Int App Gr",S - Sale,$48.98,"-188,000","1,173,029",-14%,"-$9,208,240",,,,
66,D,2012-03-29 17:08:53,2012-03-27,LTD,Wexner Leslie H.,"COB, CEO, 10%",S - Sale+OE,$48.76,"-4,000,000","31,573,189",-11%,"-$195,040,000",,,,
67,,2012-03-26 18:53:40,2012-03-22,LTD,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale,$48.82,"-32,241","139,187",-19%,"-$1,574,006",,,,
68,D,2012-02-28 16:56:58,2012-02-27,LTD,Redgrave Martyn R,"EVP, Chief Admin Officer",S - Sale+OE,$46.53,"-137,206","317,043",-30%,"-$6,384,195",-1,-3,,
69,D,2012-02-28 16:56:53,2012-02-24,LTD,Ramsey Jane L,EVP of HR,S - Sale+OE,$46.20,"-46,313","133,335",-26%,"-$2,139,662",-1,-3,,
70,DM,2011-10-26 14:57:28,2011-05-26,LTD,Turney Sharen J,"CEO, P VS Megabrand Int App Gr",S - Sale+OE,$42.78,"-243,762","1,486,106",-14%,"-$10,428,647",0,0,-10,
71,,2011-10-11 16:49:11,2011-10-10,LTD,McGuigan Charles,"Pres Global Sourcing, Logistic",S - Sale,$42.00,"-21,100","99,020",-18%,"-$886,200",+2,+1,+4,
