,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-03-16 18:50:10,2021-03-15,LUV,Montford John T,Dir,S - Sale,$61.85,-500,"22,332",-2%,"-$30,925",,,,
2,,2021-03-09 18:35:09,2021-03-08,LUV,Jordan Robert E,EVP Corporate Services,S - Sale,$59.98,"-28,795","152,795",-16%,"-$1,727,196",,,,
3,,2021-02-26 18:24:10,2021-02-25,LUV,Wells Gregory D,"EVP, Daily Operations",S - Sale,$57.46,"-15,909","60,354",-21%,"-$914,131",,,,
4,,2021-02-26 18:20:54,2021-02-25,LUV,Kasher Alan,EVP Daily Operations,S - Sale,$57.80,"-2,000","18,407",-10%,"-$115,606",,,,
5,,2021-02-26 18:14:10,2021-02-25,LUV,Shaw Mark R,"EVP,Chief Legal, Reg. Officer",S - Sale,$57.78,"-15,503","66,547",-19%,"-$895,750",,,,
6,,2021-02-26 18:09:55,2021-02-25,LUV,Romo Tammy,"EVP, CFO",S - Sale,$58.18,"-3,296","166,866",-2%,"-$191,760",,,,
7,,2021-02-26 18:05:28,2021-02-25,LUV,Romo Tammy,"EVP, CFO",S - Sale,$58.07,"-26,704","166,574",-14%,"-$1,550,782",,,,
8,,2021-02-25 18:32:04,2021-02-24,LUV,Watterson Andrew M,"EVP, Chief Commercial Officer",S - Sale,$59.21,"-16,300","44,463",-27%,"-$965,041",,,,
9,,2021-02-25 18:27:51,2021-02-23,LUV,Nealon Thomas M,Pres,S - Sale,$56.45,"-3,800","152,754",-2%,"-$214,528",,,,
10,,2021-02-25 18:24:52,2021-02-23,LUV,Nealon Thomas M,Pres,S - Sale,$56.03,"-22,047","156,554",-12%,"-$1,235,265",,,,
11,,2021-02-25 18:21:31,2021-02-23,LUV,Nealon Thomas M,Pres,S - Sale,$55.83,"-27,453","178,601",-13%,"-$1,532,617",,,,
12,,2021-02-25 18:18:06,2021-02-23,LUV,Van De Ven Michael G,COO,S - Sale,$56.06,"-32,522","242,024",-12%,"-$1,823,068",,,,
13,,2020-11-19 17:36:35,2020-11-18,LUV,Wells Gregory D,"EVP, Daily Operations",S - Sale,$46.80,"-15,166","42,567",-26%,"-$709,790",,,,
14,,2020-06-02 17:57:35,2020-05-29,LUV,Watterson Andrew M,"EVP, Chief Revenue Officer",S - Sale,$32.75,-210,"31,032",-1%,"-$6,878",,,,
15,,2020-06-02 17:53:59,2020-05-29,LUV,Watterson Andrew M,"EVP, Chief Revenue Officer",S - Sale,$32.55,"-6,036","31,242",-16%,"-$196,485",,,,
16,,2020-06-02 17:49:33,2020-05-29,LUV,Watterson Andrew M,"EVP, Chief Revenue Officer",S - Sale,$32.18,"-7,558","37,278",-17%,"-$243,186",,,,
17,,2020-06-02 17:36:43,2020-05-29,LUV,Watterson Andrew M,"EVP, Chief Revenue Officer",S - Sale,$31.85,"-8,275","44,836",-16%,"-$263,550",,,,
18,M,2020-04-03 17:07:22,2020-04-01,LUV,Berkshire Hathaway Inc,10%,S - Sale,$32.22,"-2,307,749","51,334,964",-4%,"-$74,344,598",,,,
19,,2018-12-13 16:51:56,2018-12-12,LUV,Montford John T,Dir,S - Sale,$51.27,-980,"19,613",-5%,"-$50,241",,,,
20,,2018-11-20 16:22:27,2018-11-19,LUV,Montford John T,Dir,S - Sale,$52.35,-956,"21,083",-4%,"-$50,042",,,,
21,,2018-08-20 17:04:21,2018-08-17,LUV,Watterson Andrew M,"EVP, Chief Revenue Officer",S - Sale,$59.28,"-6,130","12,131",-34%,"-$363,405",,,,
22,,2018-08-08 17:12:02,2018-08-07,LUV,Montford John T,Dir,S - Sale,$58.27,-430,"22,995",-2%,"-$25,054",,,,
23,,2018-07-31 17:20:07,2018-07-30,LUV,Shaw Mark R,"SVP,GC,Corp.Secretary",S - Sale,$58.35,"-4,910","11,833",-29%,"-$286,506",,,,
24,D,2018-03-14 18:08:37,2018-03-13,LUV,Brooks Douglas H,Dir,S - Sale+OE,$60.05,"-10,000","46,269",-18%,"-$600,491",,,,
25,,2018-03-05 17:55:57,2018-03-02,LUV,Van De Ven Michael G,COO,S - Sale,$57.35,"-31,099","161,968",-16%,"-$1,783,395",,,,
26,,2018-02-28 16:48:17,2018-02-27,LUV,Wells Gregory D,"EVP, Daily Operations",S - Sale,$58.88,"-8,323","22,439",-27%,"-$490,066",,,,
27,,2018-02-23 17:59:20,2018-02-22,LUV,Kelly Gary C,"COB, CEO",S - Sale,$58.41,"-4,725","485,597",-1%,"-$275,987",,,,
28,,2018-02-23 17:55:26,2018-02-22,LUV,Kelly Gary C,"COB, CEO",S - Sale,$58.06,"-27,271","490,322",-5%,"-$1,583,246",,,,
29,,2018-02-23 17:51:32,2018-02-22,LUV,Kelly Gary C,"COB, CEO",S - Sale,$57.95,"-38,779","657,367",-6%,"-$2,247,253",,,,
30,,2018-02-23 17:36:38,2018-02-22,LUV,Romo Tammy,"EVP, CFO",S - Sale,$58.03,"-2,300","88,585",-3%,"-$133,466",,,,
31,,2018-02-23 17:31:19,2018-02-22,LUV,Romo Tammy,"EVP, CFO",S - Sale,$57.95,"-20,272","87,475",-19%,"-$1,174,730",,,,
32,,2018-02-13 18:01:52,2018-02-12,LUV,Cunningham William H Dr,Dir,P - Purchase,$56.25,"+3,500","70,469",+5%,"+$196,875",,,,
33,,2017-12-18 17:19:14,2017-12-14,LUV,Jordan Robert E,EVP Corporate Services,S - Sale,$64.38,"-32,931","72,499",-31%,"-$2,120,037",,,,
34,,2017-12-14 16:38:57,2017-12-13,LUV,Montford John T,Dir,S - Sale,$63.27,"-1,695","21,453",-7%,"-$107,240",,,,
35,,2017-11-09 16:46:28,2017-11-08,LUV,Montford John T,Dir,S - Sale,$53.94,-935,"23,148",-4%,"-$50,429",,,,
36,,2017-10-30 17:06:46,2017-10-17,LUV,Biggins J Veronica,Dir,S - Sale,$58.94,-32,"36,769",0%,"-$1,886",,,,
37,,2017-08-14 17:06:12,2017-08-11,LUV,Cunningham William H Dr,Dir,P - Purchase,$54.00,"+4,500","66,969",+7%,"+$242,982",,,,
38,,2017-05-26 16:04:01,2017-05-25,LUV,Lamb Jeff,"EVP, Corporate Services",S - Sale,$61.00,"-19,800","91,251",-18%,"-$1,207,800",,,,
39,,2017-05-24 16:33:08,2017-05-23,LUV,Shaw Mark R,"SVP,GC,Corp.Secretary",S - Sale,$59.13,"-3,823","8,572",-31%,"-$226,035",,,,
40,,2017-05-24 16:26:48,2017-05-23,LUV,Romo Tammy,"EVP, CFO",S - Sale,$59.15,"-8,322","90,778",-8%,"-$492,238",,,,
41,,2017-05-24 16:18:32,2017-05-23,LUV,Jordan Robert E,"EVP, Chief Commercial Officer",S - Sale,$59.72,"-15,273","105,394",-13%,"-$912,148",,,,
42,,2017-05-22 16:23:51,2017-05-18,LUV,Van De Ven Michael G,COO,S - Sale,$57.14,"-15,273","174,180",-8%,"-$872,769",,,,
43,,2017-05-22 16:18:27,2017-05-19,LUV,Wells Gregory D,"EVP, Daily Operations",S - Sale,$57.65,"-5,249","16,058",-25%,"-$302,626",,,,
44,,2017-05-19 17:14:59,2017-05-17,LUV,Kelly Gary C,"COB, CEO",S - Sale,$57.22,"-1,427","644,855",0%,"-$81,648",,,,
45,,2017-05-19 17:11:20,2017-05-17,LUV,Kelly Gary C,"COB, CEO",S - Sale,$57.06,"-51,000","506,508",-9%,"-$2,910,250",,,,
46,,2017-03-01 18:25:25,2017-02-28,LUV,Jordan Robert E,"EVP, Chief Commercial Officer",S - Sale,$58.23,"-13,939","131,499",-10%,"-$811,611",-2,-3,-9,
47,,2017-02-28 18:21:54,2017-02-27,LUV,Wells Gregory D,"EVP, Daily Operations",S - Sale,$58.27,"-3,305","23,284",-12%,"-$192,566",+2,0,-6,
48,,2017-02-28 18:15:02,2017-02-27,LUV,Shaw Mark R,"SVP,GC,Corp.Secretary",S - Sale,$58.26,"-1,211","13,835",-8%,"-$70,553",+2,0,-6,
49,,2017-02-27 17:26:11,2017-02-24,LUV,Lamb Jeff,"EVP, Corporate Services",S - Sale,$57.87,"-18,299","121,251",-13%,"-$1,058,980",-1,+1,-9,
50,,2017-02-27 17:22:47,2017-02-24,LUV,Van De Ven Michael G,COO,S - Sale,$57.72,"-14,572","200,493",-7%,"-$841,168",-1,+1,-9,
51,,2017-02-23 19:40:54,2017-02-22,LUV,Kelly Gary C,"COB, CEO",S - Sale,$57.78,"-8,649","595,397",-1%,"-$499,764",+2,+3,-8,
52,,2017-02-23 19:36:25,2017-02-22,LUV,Kelly Gary C,"COB, CEO",S - Sale,$57.66,"-12,374","604,046",-2%,"-$713,499",+2,+3,-8,
53,,2017-02-23 19:33:16,2017-02-22,LUV,Kelly Gary C,"COB, CEO",S - Sale,$57.51,"-25,820","616,420",-4%,"-$1,485,033",+2,+3,-8,
54,,2017-02-23 19:29:07,2017-02-22,LUV,Kelly Gary C,"COB, CEO",S - Sale,$57.36,"-44,308","642,240",-6%,"-$2,541,338",+2,+3,-8,
55,D,2017-02-23 19:24:40,2017-02-22,LUV,Kelly Gary C,"COB, CEO",S - Sale+OE,$57.25,"-21,300","826,322",-3%,"-$1,219,453",+2,+3,-8,
56,,2017-01-31 17:15:46,2017-01-30,LUV,Romo Tammy,"EVP, CFO",S - Sale,$51.79,"-9,655","81,314",-11%,"-$500,032",+1,+1,+13,
57,,2016-12-19 16:39:37,2016-12-15,LUV,Montford John T,Dir,S - Sale,$50.93,-510,"23,305",-2%,"-$25,974",+1,0,-1,
58,,2016-12-05 17:36:19,2016-12-02,LUV,Lamb Jeff,"EVP, Corporate Services",S - Sale,$48.10,"-14,534","117,188",-11%,"-$699,087",+2,+6,+9,
59,,2016-08-04 16:53:20,2016-08-03,LUV,Van De Ven Michael G,"EVP, COO",P - Purchase,$35.77,"+4,200","188,032",+2%,"+$150,247",+4,+2,+1,+47
60,,2016-08-04 16:46:56,2016-08-03,LUV,Cunningham William H Dr,Dir,P - Purchase,$35.80,"+5,700","59,839",+11%,"+$204,046",+4,+2,+1,+47
61,,2016-08-03 18:14:53,2016-08-02,LUV,Kelly Gary C,"COB, Pres, CEO",P - Purchase,$35.58,"+28,106","575,010",+5%,"+$1,000,057",+2,+4,+3,+48
62,,2016-07-28 16:16:32,2016-07-27,LUV,Shaw Mark R,"SVP,GC,Corp.Secretary",S - Sale,$37.62,"-1,776","6,019",-23%,"-$66,820",-1,-4,-2,+45
63,,2016-06-09 17:56:20,2016-06-07,LUV,Montford John T,Dir,S - Sale,$43.31,"-1,210","26,550",-4%,"-$52,404",-1,-10,-8,+9
64,,2016-05-31 17:19:52,2016-05-26,LUV,Lamb Jeff,"EVP, Corporate Services",S - Sale,$41.79,"-18,765","131,722",-12%,"-$784,250",0,-1,-12,+12
65,,2016-04-27 18:16:51,2016-04-26,LUV,Shaw Mark R,"SVP,GC,Corp.Secretary",S - Sale,$47.31,-100,"8,313",-1%,"-$4,731",-3,-5,-7,-7
66,D,2016-04-27 17:47:42,2016-04-25,LUV,Biegler David W,Dir,S - Sale+OE,$46.94,"-8,000","40,315",-17%,"-$375,552",-3,-5,-7,-7
67,,2016-02-26 18:30:24,2016-02-24,LUV,Lamb Jeff,"EVP, Corporate Services",S - Sale,$40.67,"-6,662","166,248",-4%,"-$270,944",-1,0,+4,-12
68,,2015-11-16 18:10:50,2015-11-12,LUV,Kelly Gary C,"COB, Pres, CEO",S - Sale,$46.86,"-13,100","585,160",-2%,"-$613,826",0,+3,-3,-7
69,,2015-11-16 18:05:33,2015-11-12,LUV,Kelly Gary C,"COB, Pres, CEO",S - Sale,$46.75,"-19,642","486,592",-4%,"-$918,360",0,+3,-3,-7
70,,2015-10-30 16:23:32,2015-10-29,LUV,Jordan Robert E,"EVP, Chief Commercial Officer",S - Sale,$45.76,"-55,031","112,597",-33%,"-$2,518,479",+1,+1,-1,-5
71,,2015-08-26 17:35:57,2015-08-25,LUV,Cunningham William H Dr,Dir,P - Purchase,$37.86,"+2,500","51,108",+5%,"+$94,638",0,-3,+2,+14
72,,2015-08-19 18:04:34,2015-08-17,LUV,Kelly Gary C,"COB, Pres, CEO",S - Sale,$40.31,"-37,500","617,902",-6%,"-$1,511,558",-3,-10,-2,-3
73,,2015-08-06 17:26:12,2015-08-05,LUV,Romo Tammy,"EVP, CFO",S - Sale,$37.88,"-27,000","76,815",-26%,"-$1,022,827",-1,+2,-1,0
74,,2015-08-04 18:51:44,2015-08-03,LUV,Lamb Jeff,"EVP, Corporate Services",S - Sale,$37.40,"-37,061","140,773",-21%,"-$1,386,135",0,0,-4,-4
75,,2015-01-27 17:22:03,2015-01-26,LUV,Ricks Ron,"EVP, Chief Legal, Reg. Officer",S - Sale,$46.04,"-5,125","195,991",-3%,"-$235,943",0,-3,-4,-23
76,,2015-01-27 17:17:15,2015-01-26,LUV,Ricks Ron,"EVP, Chief Legal, Reg. Officer",S - Sale,$45.88,"-18,560","201,116",-8%,"-$851,465",0,-3,-4,-23
77,D,2014-11-21 16:47:24,2014-11-19,LUV,Romo Tammy,"SVP Finance, CFO",S - Sale+OE,$39.36,"-12,312","99,382",-11%,"-$484,652",+1,+10,+8,-5
78,,2014-11-13 16:31:41,2014-11-11,LUV,Ricks Ron,"EVP, Chief Legal, Reg. Officer",S - Sale,$39.75,"-33,905","219,676",-13%,"-$1,347,753",-1,0,+5,+6
79,D,2014-11-13 16:27:53,2014-11-11,LUV,Ricks Ron,"EVP, Chief Legal, Reg. Officer",S - Sale+OE,$39.66,"-136,095","253,581",-35%,"-$5,397,524",-1,0,+5,+6
80,,2014-11-13 16:18:53,2014-11-11,LUV,Lamb Jeff,"EVP, Chief People, Admin Offic",S - Sale,$39.36,"-7,948","186,324",-4%,"-$312,848",-1,0,+5,+6
81,D,2014-08-25 18:31:34,2014-08-22,LUV,Villanueva Daniel D,Dir,S - Sale+OE,$31.73,"-10,000","27,458",-27%,"-$317,297",-1,0,+4,+42
82,,2014-08-22 17:15:19,2014-08-20,LUV,Van De Ven Michael G,"EVP, COO",S - Sale,$31.34,"-13,700","181,752",-7%,"-$429,352",+1,+1,+7,+41
83,,2014-08-22 17:11:50,2014-08-20,LUV,Van De Ven Michael G,"EVP, COO",S - Sale,$31.29,"-78,907","194,802",-29%,"-$2,468,899",+1,+1,+7,+41
84,D,2014-08-22 17:08:32,2014-08-20,LUV,Van De Ven Michael G,"EVP, COO",S - Sale+OE,$31.23,"-82,150","273,709",-23%,"-$2,565,216",+1,+1,+7,+41
85,,2014-08-22 17:02:49,2014-08-21,LUV,Kelly Gary C,"COB, Pres, CEO",S - Sale,$31.30,"-7,995","686,279",-1%,"-$250,250",+1,+1,+7,+41
