,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-21 16:09:33,2021-10-20,LW,Niblock Robert A,Dir,P - Purchase,$56.40,"+2,500","11,590",+28%,"+$141,000",,,,
2,,2021-10-12 16:41:51,2021-10-11,LW,Bensen Peter J,Dir,P - Purchase,$55.75,"+5,000","20,522",+32%,"+$278,740",,,,
3,D,2021-08-03 16:24:14,2021-08-02,LW,Werner Thomas P.,"Pres, CEO",S - Sale+OE,$67.16,"-69,382","351,802",-16%,"-$4,659,945",,,,
4,,2021-08-02 09:15:20,2021-07-29,LW,Jurgensen William G,Dir,P - Purchase,$68.65,"+2,151","151,597",+1%,"+$147,666",,,,
5,D,2021-04-13 16:54:43,2021-04-12,LW,Werner Thomas P.,"Pres, CEO",S - Sale+OE,$78.46,"-69,500","313,584",-18%,"-$5,453,165",,,,
6,D,2021-01-15 19:43:24,2021-01-15,LW,Werner Thomas P.,"Pres, CEO",S - Sale+OE,$77.65,"-69,500","313,179",-18%,"-$5,396,675",,,,
7,,2021-01-14 16:30:53,2021-01-13,LW,Spytek Eryk J,"SVP, GC",S - Sale,$75.00,"-6,183","33,829",-15%,"-$463,725",,,,
8,,2020-07-30 18:57:18,2020-07-30,LW,Niblock Robert A,Dir,P - Purchase,$59.70,"+2,500","4,320",+137%,"+$149,250",,,,
9,,2020-01-22 16:44:09,2020-01-21,LW,Smith Michael Jared,SVP,S - Sale,$91.22,"-5,500","59,505",-8%,"-$501,727",,,,
10,,2020-01-09 17:27:03,2020-01-09,LW,Miller Sharon L.,SVP,S - Sale,$91.15,"-3,943","52,832",-7%,"-$359,387",,,,
11,,2020-01-09 17:24:53,2020-01-09,LW,Madarieta Bernadette M,"VP, Controller",S - Sale,$91.47,"-3,472","11,332",-23%,"-$317,573",,,,
12,,2020-01-08 16:54:05,2020-01-08,LW,Jurgensen William G,Dir,P - Purchase,$92.01,"+18,000","146,536",+14%,"+$1,656,189",,,,
13,,2020-01-08 16:51:11,2020-01-08,LW,Spytek Eryk J,"SVP, GC, Corp Sec",S - Sale,$92.07,"-6,000","42,877",-12%,"-$552,436",,,,
14,,2020-01-08 16:48:45,2020-01-08,LW,McNutt Robert,"SVP, CFO",S - Sale,$91.20,"-8,696","59,111",-13%,"-$793,075",,,,
15,,2019-10-23 16:57:51,2019-10-22,LW,Madarieta Bernadette M,"VP, Controller",S - Sale,$75.59,"-1,320","14,777",-8%,"-$99,772",,,,
16,,2018-01-09 16:37:01,2018-01-08,LW,Bensen Peter J,Dir,P - Purchase,$58.18,"+5,000","6,935",+258%,"+$290,910",,,,
