,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-06-07 17:30:38,2021-06-03,LYB,Patel Bhavesh V.,CEO,S - Sale+OE,$118.00,"-1,406","394,875",0%,"-$165,910",,,,
2,D,2021-05-07 16:47:27,2021-05-05,LYB,Guilfoyle James D,"EVP, Adv Polymer Sol, Sup Chn",S - Sale+OE,$110.16,-610,"31,409",-2%,"-$67,198",,,,
3,,2021-05-06 18:01:01,2021-05-04,LYB,Ai Investments Holdings LLC,10%,S - Sale,$108.11,"-927,000","70,530,181",-1%,"-$100,214,881",,,,
4,,2021-03-03 18:07:08,2021-03-01,LYB,Ai Investments Holdings LLC,10%,S - Sale,$106.63,"-945,000","71,457,181",-1%,"-$100,763,117",,,,
5,,2021-03-01 19:46:28,2021-02-25,LYB,Ai Investments Holdings LLC,10%,S - Sale,$107.35,"-4,500","72,432,474",0%,"-$483,063",,,,
6,,2021-02-26 17:27:08,2021-02-24,LYB,Ai Investments Holdings LLC,10%,S - Sale,$106.45,"-714,500","72,436,974",-1%,"-$76,055,547",,,,
7,,2021-02-25 17:14:12,2021-02-23,LYB,Ai Investments Holdings LLC,10%,S - Sale,$103.10,"-478,060","73,151,474",-1%,"-$49,290,137",,,,
8,,2021-02-24 16:42:21,2021-02-22,LYB,Ai Investments Holdings LLC,10%,S - Sale,$103.38,"-350,000","73,629,534",0%,"-$36,182,941",,,,
9,D,2021-02-22 18:58:55,2021-02-22,LYB,Foley Kimberly A,"SVP HSE, Glob Eng, Turnarnds",S - Sale+OE,$103.50,"-2,261","17,734",-11%,"-$234,009",,,,
10,,2021-02-17 17:57:19,2021-02-12,LYB,Ai Investments Holdings LLC,10%,S - Sale,$95.61,"-393,780","73,979,534",-1%,"-$37,649,513",,,,
11,,2021-02-16 20:27:39,2021-02-11,LYB,Ai Investments Holdings LLC,10%,S - Sale,$95.41,"-55,538","74,373,314",0%,"-$5,298,797",,,,
12,,2021-02-12 18:30:10,2021-02-10,LYB,Ai Investments Holdings LLC,10%,S - Sale,$95.84,"-720,682","74,428,852",-1%,"-$69,068,414",,,,
13,D,2021-02-09 18:06:15,2021-02-08,LYB,Guilfoyle James D,"EVP, Adv Polymer Sol, Sup Chn",S - Sale+OE,$95.47,-798,"26,785",-3%,"-$76,182",,,,
14,,2020-12-08 21:30:29,2020-12-04,LYB,Ai Investments Holdings LLC,10%,S - Sale,$88.59,"-518,691","75,149,534",-1%,"-$45,948,398",,,,
15,M,2020-12-03 21:31:33,2020-12-01,LYB,Ai Investments Holdings LLC,10%,S - Sale,$86.10,"-1,778,839","75,668,225",-2%,"-$153,158,295",,,,
16,,2020-12-02 21:02:06,2020-11-30,LYB,Ai Investments Holdings LLC,10%,S - Sale,$86.63,"-10,804","77,447,064",0%,"-$935,913",,,,
17,,2020-11-24 17:37:29,2020-11-24,LYB,Bindra Jagjeet S.,Dir,S - Sale,$89.97,"-1,296","15,879",-8%,"-$116,603",,,,
18,D,2020-11-24 17:37:19,2020-11-24,LYB,Guilfoyle James D,"EVP, Adv Polymer Sol, Sup Chn",S - Sale+OE,$90.52,-800,"26,785",-3%,"-$72,416",,,,
19,,2020-11-19 19:15:31,2020-11-18,LYB,Bindra Jagjeet S.,Dir,S - Sale,$83.21,"-1,878","7,975",-19%,"-$156,270",,,,
20,,2020-11-12 16:17:32,2020-11-09,LYB,Bindra Jagjeet S.,Dir,S - Sale,$79.97,"-3,198","19,053",-14%,"-$255,745",,,,
21,,2020-05-06 17:08:01,2020-05-04,LYB,Coombs Daniel M,"EVP - Global O, P, Proc, Tech",P - Purchase,$53.28,"+4,400","43,396",+11%,"+$234,422",,,,
22,,2020-04-07 17:04:24,2020-04-06,LYB,Patel Bhavesh V.,CEO,P - Purchase,$49.35,"+4,654","372,764",+1%,"+$229,675",,,,
23,,2020-03-11 16:22:36,2020-03-10,LYB,Foley Kimberly A,"VP Health Safety, Environment",P - Purchase,$60.18,"+1,465","17,643",+9%,"+$88,164",,,,
24,,2020-03-11 16:05:51,2020-03-09,LYB,Guilfoyle James D,"EVP, Adv Polymer Sol, Sup Chn",P - Purchase,$59.98,+330,"26,444",+1%,"+$19,793",,,,
25,,2020-03-11 16:05:19,2020-03-09,LYB,Patel Bhavesh V.,CEO,P - Purchase,$64.51,"+7,346","368,110",+2%,"+$473,890",,,,
26,,2020-03-02 17:22:58,2020-02-28,LYB,Rhenman Torkel,"EVP, I, D",P - Purchase,$71.13,+500,"24,527",+2%,"+$35,565",,,,
