,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-08-11 16:09:42,2021-08-09,MA,Mastercard Foundation,10%,S - Sale,$367.80,"-236,919","106,639,306",0%,"-$87,138,303",,,,
2,M,2021-08-06 16:23:33,2021-08-04,MA,Mastercard Foundation,10%,S - Sale,$369.85,"-236,919","106,876,225",0%,"-$87,624,121",,,,
3,M,2021-08-03 17:27:20,2021-07-30,MA,Mastercard Foundation,10%,S - Sale,$375.60,"-157,946","107,113,144",0%,"-$59,324,462",,,,
4,D,2021-08-02 16:29:50,2021-07-30,MA,Sachin J. Mehra,CFO,S - Sale+OE,$385.42,"-7,838","12,482",-39%,"-$3,020,905",,,,
5,M,2021-07-29 16:39:10,2021-07-27,MA,Mastercard Foundation,10%,S - Sale,$389.33,"-236,919","107,271,090",0%,"-$92,238,734",,,,
6,M,2021-07-26 16:53:07,2021-07-22,MA,Mastercard Foundation,10%,S - Sale,$386.73,"-236,919","107,508,009",0%,"-$91,623,132",,,,
7,M,2021-07-21 17:00:45,2021-07-19,MA,Mastercard Foundation,10%,S - Sale,$373.02,"-236,919","107,744,928",0%,"-$88,376,236",,,,
8,D,2021-07-15 17:56:34,2021-07-14,MA,Banga Ajay,Exec COB,S - Sale+OE,$390.34,"-60,000","402,456",-13%,"-$23,420,233",,,,
9,D,2021-07-14 16:27:09,2021-07-13,MA,Cairns Ann,Vice COB,S - Sale+OE,$380.80,"-15,197","114,246",-12%,"-$5,787,019",,,,
10,DM,2021-06-28 16:24:53,2021-06-24,MA,Cairns Ann,Vice COB,S - Sale+OE,$380.13,"-3,600","114,246",-3%,"-$1,368,474",,,,
11,D,2021-05-04 16:12:44,2021-04-30,MA,Banga Ajay,Exec COB,S - Sale+OE,$380.24,"-130,000","405,199",-24%,"-$49,431,727",,,,
12,D,2021-05-03 16:22:55,2021-04-30,MA,Vosburg Craig,Chief Product Officer,S - Sale+OE,$381.70,"-10,000","40,449",-20%,"-$3,817,038",,,,
13,D,2021-05-03 16:22:25,2021-04-30,MA,Seshadri Raj,"Pres, Data, Services",S - Sale+OE,$381.66,"-7,000","9,202",-43%,"-$2,671,584",,,,
14,D,2021-05-03 16:22:01,2021-05-03,MA,Arkell Sandra A,Controller,S - Sale+OE,$385.47,"-2,841","3,480",-45%,"-$1,095,120",,,,
15,D,2021-04-13 16:36:29,2021-04-12,MA,Stanton Kevin,Chief Transformation Officer,S - Sale+OE,$378.09,"-29,052","14,607",-67%,"-$10,984,247",,,,
16,D,2021-04-06 16:21:34,2021-04-05,MA,Fraccaro Michael,Chief People Officer,S - Sale+OE,$370.00,"-1,374","6,266",-18%,"-$508,380",,,,
17,D,2021-03-31 16:32:29,2021-03-29,MA,Fraccaro Michael,Chief People Officer,S - Sale+OE,$364.24,"-2,748","6,266",-30%,"-$1,000,932",,,,
18,D,2021-03-16 16:39:01,2021-03-15,MA,Murphy Timothy H,GC,S - Sale+OE,$381.39,"-49,918","35,194",-59%,"-$19,038,436",,,,
19,D,2021-03-09 16:14:26,2021-03-08,MA,Bhalla Ajay,"Pres Cyber, Intelligence",S - Sale+OE,$374.42,"-5,120","120,820",-4%,"-$1,917,022",,,,
20,D,2021-02-24 16:28:31,2021-02-23,MA,Caldart Gilberto,"Pres, International",S - Sale+OE,$350.00,"-7,000","59,861",-10%,"-$2,450,000",,,,
21,M,2021-02-16 18:03:24,2021-02-12,MA,Mastercard Foundation,10%,S - Sale,$339.84,"-114,392","107,981,847",0%,"-$38,874,553",,,,
22,D,2021-02-12 16:11:20,2021-02-11,MA,Caldart Gilberto,"Pres, International",S - Sale+OE,$345.50,"-7,000","59,861",-10%,"-$2,418,500",,,,
23,M,2021-02-11 18:45:56,2021-02-09,MA,Mastercard Foundation,10%,S - Sale,$336.95,"-171,594","108,096,239",0%,"-$57,819,302",,,,
24,M,2021-02-08 18:09:56,2021-02-04,MA,Mastercard Foundation,10%,S - Sale,$339.90,"-171,594","108,267,833",0%,"-$58,324,240",,,,
25,D,2021-02-08 16:24:02,2021-02-04,MA,Caldart Gilberto,"Pres, International",S - Sale+OE,$340.00,"-7,528","59,861",-11%,"-$2,559,520",,,,
26,M,2021-02-03 18:28:12,2021-02-01,MA,Mastercard Foundation,10%,S - Sale,$327.73,"-171,594","108,439,427",0%,"-$56,236,953",,,,
27,M,2021-01-29 17:19:39,2021-01-27,MA,Mastercard Foundation,10%,S - Sale,$320.12,"-171,594","108,611,021",0%,"-$54,931,295",,,,
28,M,2021-01-26 17:05:35,2021-01-22,MA,Mastercard Foundation,10%,S - Sale,$327.74,"-171,594","108,782,615",0%,"-$56,238,315",,,,
29,M,2021-01-21 16:23:23,2021-01-19,MA,Mastercard Foundation,10%,S - Sale,$332.24,"-171,594","108,954,209",0%,"-$57,010,047",,,,
30,D,2021-01-11 16:15:40,2021-01-08,MA,McLaughlin Edward Grunde,"Pres, Operations, Tech",S - Sale+OE,$350.73,"-13,248","25,199",-34%,"-$4,646,492",,,,
31,M,2020-11-12 16:28:13,2020-11-10,MA,Mastercard Foundation,10%,S - Sale,$337.09,"-60,210","109,125,803",0%,"-$20,296,285",,,,
32,D,2020-11-12 16:17:02,2020-11-09,MA,Miebach Michael,Pres,S - Sale+OE,$347.00,"-8,410","23,132",-27%,"-$2,918,270",,,,
33,M,2020-11-09 17:58:06,2020-11-05,MA,Mastercard Foundation,10%,S - Sale,$325.65,"-90,300","109,186,013",0%,"-$29,406,032",,,,
34,M,2020-11-04 17:57:34,2020-11-02,MA,Mastercard Foundation,10%,S - Sale,$299.09,"-90,300","109,276,313",0%,"-$27,007,872",,,,
35,M,2020-10-30 16:37:22,2020-10-28,MA,Mastercard Foundation,10%,S - Sale,$291.86,"-90,300","109,366,613",0%,"-$26,354,955",,,,
36,M,2020-10-27 16:43:57,2020-10-23,MA,Mastercard Foundation,10%,S - Sale,$322.26,"-90,300","109,456,913",0%,"-$29,100,042",,,,
37,M,2020-10-22 19:26:55,2020-10-20,MA,Mastercard Foundation,10%,S - Sale,$333.42,"-90,300","109,547,213",0%,"-$30,107,796",,,,
38,M,2020-10-19 17:07:01,2020-10-15,MA,Mastercard Foundation,10%,S - Sale,$338.13,"-90,300","109,637,513",0%,"-$30,533,109",,,,
39,D,2020-10-13 16:05:12,2020-10-09,MA,Bhalla Ajay,"Pres Cyber, Intelligence",S - Sale+OE,$350.00,"-5,000","117,909",-4%,"-$1,750,004",,,,
40,,2020-09-22 16:38:18,2020-09-21,MA,Haythornthwaite Richard,Dir,S - Sale,$328.87,"-6,583","21,505",-23%,"-$2,164,941",,,,
41,D,2020-08-27 16:17:17,2020-08-26,MA,Fraccaro Michael,Chief People Officer,S - Sale+OE,$350.00,"-3,458","4,287",-45%,"-$1,210,300",,,,
42,D,2020-08-25 16:48:20,2020-08-24,MA,Stanton Kevin,Chief Transformation Officer,S - Sale+OE,$340.21,"-29,117","13,805",-68%,"-$9,905,793",,,,
43,,2020-08-06 18:41:50,2020-08-05,MA,Arkell Sandra A,Controller,S - Sale,$325.00,"-1,455","3,263",-31%,"-$472,875",,,,
44,D,2020-08-06 18:38:40,2020-08-05,MA,Vosburg Craig,"Pres, North America",S - Sale+OE,$320.00,"-8,314","35,525",-19%,"-$2,660,480",,,,
45,DM,2020-08-06 18:34:51,2020-08-05,MA,Fraccaro Michael,CHRO,S - Sale+OE,$327.50,"-6,913","4,776",-59%,"-$2,264,010",,,,
46,D,2020-08-03 16:31:45,2020-07-31,MA,Sachin J. Mehra,CFO,S - Sale+OE,$308.96,"-13,996","10,922",-56%,"-$4,324,198",,,,
47,,2020-07-31 17:14:52,2020-07-30,MA,Haythornthwaite Richard,Dir,S - Sale,$307.29,"-5,000","28,088",-15%,"-$1,536,458",,,,
48,D,2020-07-24 16:52:32,2020-07-23,MA,Banga Ajay,CEO,S - Sale+OE,$315.89,"-61,067","399,004",-13%,"-$19,290,278",,,,
49,A,2020-07-22 17:07:23,2020-06-29,MA,Mastercard Foundation,10%,S - Sale,$289.57,"-68,670","110,757,854",0%,"-$19,884,751",,,,
50,,2020-07-22 17:05:35,2020-07-22,MA,Mastercard Foundation,10%,S - Sale,$311.87,"-68,661","109,727,813",0%,"-$21,413,347",,,,
51,M,2020-07-21 19:14:09,2020-07-17,MA,Mastercard Foundation,10%,S - Sale,$306.50,"-206,010","109,796,474",0%,"-$63,141,543",,,,
52,M,2020-07-16 16:52:30,2020-07-14,MA,Mastercard Foundation,10%,S - Sale,$299.22,"-206,010","110,002,484",0%,"-$61,641,502",,,,
53,M,2020-07-13 16:52:21,2020-07-09,MA,Mastercard Foundation,10%,S - Sale,$295.16,"-206,010","110,208,494",0%,"-$60,805,156",,,,
54,M,2020-07-08 16:32:06,2020-07-06,MA,Mastercard Foundation,10%,S - Sale,$303.73,"-206,010","110,414,504",0%,"-$62,571,877",,,,
55,M,2020-07-02 16:38:24,2020-06-30,MA,Mastercard Foundation,10%,S - Sale,$298.38,"-137,340","110,620,514",0%,"-$40,979,358",,,,
56,M,2020-06-29 17:49:51,2020-06-25,MA,Mastercard Foundation,10%,S - Sale,$291.77,"-137,340","110,757,854",0%,"-$40,071,397",,,,
57,M,2020-06-24 16:35:49,2020-06-22,MA,Mastercard Foundation,10%,S - Sale,$302.80,"-206,010","110,895,194",0%,"-$62,378,970",,,,
58,D,2020-06-23 17:20:17,2020-06-22,MA,Cairns Ann,Vice COB,S - Sale+OE,$302.58,"-40,115","104,856",-28%,"-$12,138,078",,,,
59,D,2020-06-12 16:35:18,2020-06-10,MA,Banga Ajay,CEO,S - Sale+OE,$315.28,"-102,000","399,004",-20%,"-$32,159,018",,,,
60,D,2020-06-12 16:34:57,2020-06-10,MA,Madabhushi Venkata R,CMO,S - Sale+OE,$315.15,"-7,736","16,057",-33%,"-$2,438,028",,,,
61,,2020-05-27 13:02:45,2020-05-26,MA,Freiberg Steven J,Dir,S - Sale,$304.19,"-19,230","13,760",-58%,"-$5,849,519",,,,
62,D,2020-05-19 16:49:55,2020-05-18,MA,Banga Ajay,CEO,S - Sale+OE,$287.44,"-81,533","399,004",-17%,"-$23,435,633",,,,
63,D,2020-05-19 16:49:27,2020-05-18,MA,Murphy Timothy H,GC,S - Sale+OE,$286.28,"-52,489","33,515",-61%,"-$15,026,595",,,,
64,,2020-05-12 17:31:45,2020-05-11,MA,Genachowski Julius,Dir,S - Sale,$281.79,"-2,009","7,346",-21%,"-$566,108",,,,
65,,2020-03-11 17:20:02,2020-03-11,MA,Uggla Lance Darrell Gordon,Dir,P - Purchase,$265.00,"+1,000","5,691",+21%,"+$265,000",,,,
66,M,2020-02-11 17:06:37,2020-02-10,MA,Mastercard Foundation,10%,S - Sale,$330.61,"-77,075","111,101,204",0%,"-$25,481,808",,,,
67,D,2020-02-11 16:53:14,2020-02-11,MA,Madabhushi Venkata R,CMO,S - Sale+OE,$335.00,-954,"12,139",-7%,"-$319,590",,,,
68,M,2020-02-07 17:18:02,2020-02-05,MA,Mastercard Foundation,10%,S - Sale,$328.64,"-115,608","111,178,279",0%,"-$37,993,405",,,,
