,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-04 16:32:13,2021-10-01,MAR,Linnartz Stephanie,Pres,S - Sale,$156.06,"-11,303","46,335",-20%,"-$1,763,995",,,,
2,M,2021-09-29 15:19:05,2021-09-27,MAR,Linnartz Stephanie,Pres,S - Sale,$155.20,"-4,400","57,638",-7%,"-$682,877",,,,
3,D,2021-09-27 16:44:08,2021-09-24,MAR,Capuano Anthony,CEO,S - Sale+OE,$150.61,"-5,347","137,663",-4%,"-$805,312",,,,
4,M,2021-09-27 16:41:58,2021-09-23,MAR,Linnartz Stephanie,Pres,S - Sale,$150.24,"-15,703","62,038",-20%,"-$2,359,142",,,,
5,D,2021-09-17 16:51:46,2021-09-16,MAR,Oberg Kathleen K.,"EVP, CFO",S - Sale+OE,$144.22,"-13,653","78,835",-15%,"-$1,969,007",,,,
6,,2021-05-17 10:51:10,2021-05-13,MAR,Harrison Deborah Marriott,Member of 13(d) group,S - Sale,$138.06,-360,"25,659,618",0%,"-$49,702",,,,
7,,2021-04-01 16:11:55,2021-03-31,MAR,Smith Craig S.,Group Pres,S - Sale,$148.10,"-6,099","28,691",-18%,"-$903,262",,,,
8,D,2021-03-19 17:26:10,2021-03-18,MAR,Munoz George,Dir,S - Sale+OE,$156.29,"-8,694","48,364",-15%,"-$1,358,785",,,,
9,M,2021-03-11 15:32:44,2021-03-09,MAR,Reiss Rena Hozore,"EVP,  GC",S - Sale,$149.09,"-3,609","30,833",-10%,"-$538,059",,,,
10,D,2021-03-10 15:45:25,2021-03-08,MAR,Rodriguez David A,"EVP, Global CHRO",S - Sale+OE,$150.94,"-7,264","50,513",-13%,"-$1,096,428",,,,
11,D,2021-02-26 17:56:01,2021-02-24,MAR,Marriott David S,13D group owning more than 10%,S - Sale+OE,$154.38,"-15,377","26,581,376",0%,"-$2,373,901",,,,
12,DM,2021-02-26 17:55:40,2021-02-24,MAR,Brown William P,"Group Pres, US, Canada",S - Sale+OE,$154.06,"-5,593","20,636",-21%,"-$861,665",,,,
13,D,2021-02-26 17:55:29,2021-02-25,MAR,Linnartz Stephanie,Pres,S - Sale+OE,$156.63,"-10,000","77,741",-11%,"-$1,566,300",,,,
14,,2021-02-25 19:35:05,2021-02-24,MAR,Rodriguez David A,"EVP, Global CHRO",S - Sale,$157.16,"-10,000","50,514",-17%,"-$1,571,600",,,,
15,,2021-02-25 19:35:00,2021-02-24,MAR,Oberg Kathleen K.,"EVP, CFO",S - Sale,$155.66,"-25,000","52,316",-32%,"-$3,891,473",,,,
16,,2021-02-25 19:34:58,2021-02-24,MAR,Linnartz Stephanie,Pres,S - Sale,$154.69,"-20,000","83,006",-19%,"-$3,093,800",,,,
17,D,2021-02-24 15:43:18,2021-02-22,MAR,Linnartz Stephanie,Pres,S - Sale+OE,$143.44,"-20,000","103,006",-16%,"-$2,868,800",,,,
18,,2020-12-29 09:22:06,2020-12-28,MAR,Sorenson Arne M,"Pres, CEO",S - Sale,$128.72,"-100,000","807,965",-11%,"-$12,872,000",,,,
19,,2020-12-09 16:03:20,2020-12-08,MAR,Smith Craig S.,Group Pres,S - Sale,$132.32,"-7,803","29,595",-21%,"-$1,032,457",,,,
20,,2020-12-07 12:32:52,2020-12-04,MAR,Brown William P,"Group Pres, US, Canada",S - Sale,$133.51,"-4,000","17,154",-19%,"-$534,040",,,,
21,D,2020-11-25 15:53:33,2020-11-24,MAR,Capuano Anthony,Group Pres Global Development,S - Sale+OE,$129.87,"-4,750","122,729",-4%,"-$616,902",,,,
22,,2020-11-13 14:10:36,2020-11-11,MAR,Harrison Deborah Marriott,Member of 13(d) group,S - Sale,$116.25,"-43,700","25,654,248",0%,"-$5,079,946",,,,
23,D,2020-06-09 15:36:36,2020-06-05,MAR,Grissen David,"Group Pres, Americas",S - Sale+OE,$110.36,"-37,941","119,220",-24%,"-$4,187,014",,,,
24,,2020-05-20 14:03:03,2020-05-19,MAR,Marriott David S,13D group owning more than 10%,S - Sale,$94.34,"-22,000","26,473,895",0%,"-$2,075,480",,,,
25,,2020-05-20 14:00:52,2020-05-19,MAR,Grissen David,"Group Pres, Americas",S - Sale,$92.81,"-20,000","82,952",-19%,"-$1,856,108",,,,
26,,2019-12-30 12:10:57,2019-12-27,MAR,Kyriakidis Argiris,Pres Mgn. Dir MEA,S - Sale,$152.81,"-1,800","40,686",-4%,"-$275,053",,,,
27,D,2019-12-23 11:04:46,2019-12-20,MAR,Linnartz Stephanie,"EVP, Chf. Mktg., Com. Officer",S - Sale+OE,$151.00,"-16,606","55,638",-23%,"-$2,507,506",,,,
28,,2019-12-20 10:17:34,2019-12-19,MAR,Rodriguez David A,CHRO,S - Sale,$149.80,"-6,728","34,715",-16%,"-$1,007,854",,,,
29,,2019-12-19 12:32:56,2019-12-18,MAR,Munoz George,Dir,S - Sale,$148.63,"-5,757","44,537",-11%,"-$855,663",,,,
