,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-07-30 14:45:50,2021-07-29,MCD,Ozan Kevin M,"EVP, CFO",S - Sale+OE,$243.90,"-47,649","21,581",-69%,"-$11,621,591",,,,
2,D,2021-07-30 14:39:19,2021-07-29,MCD,Hoovel Catherine A.,SVP - Corporate Controller,S - Sale+OE,$243.45,"-2,493","1,466",-63%,"-$606,922",,,,
3,D,2020-11-18 13:51:26,2020-11-16,MCD,Debiase Francesca A.,EVP-Gl. Chief Sup. Chain Offic,S - Sale+OE,$215.62,"-21,930","13,968",-61%,"-$4,728,547",,,,
4,D,2020-11-18 11:15:52,2020-11-16,MCD,Erlinger Joseph M.,"Pres, McDonald's USA",S - Sale+OE,$215.59,"-7,377","8,187",-47%,"-$1,590,407",,,,
5,D,2020-11-12 11:00:56,2020-11-10,MCD,Borden Ian Frederick,"Pres, International",S - Sale+OE,$215.75,"-4,149","13,721",-23%,"-$895,147",,,,
6,,2020-08-06 14:23:47,2020-08-04,MCD,Hoovel Catherine A.,VP - Chief Acctg Officer,S - Sale,$196.44,-745,"1,455",-34%,"-$146,348",,,,
7,D,2020-03-03 15:07:31,2020-02-28,MCD,Engelbert Catherine M.,Dir,P - Purchase,$192.13,"+1,000","1,000",New,"+$192,130",,,,
8,D,2020-02-13 10:11:29,2020-02-11,MCD,Henry Daniel,EVP - Chief Info. Officer,S - Sale+OE,$215.54,"-3,035",119,-96%,"-$654,164",,,,
9,D,2020-01-31 11:19:21,2020-01-30,MCD,Debiase Francesca A.,"EVP-Worldwide Supp Chain, Sus",S - Sale+OE,$213.71,"-14,026","12,418",-53%,"-$2,997,496",,,,
10,D,2020-01-31 11:16:23,2020-01-30,MCD,Hoovel Catherine A.,VP - Chief Acctg Officer,S - Sale+OE,$214.00,"-2,555","1,447",-64%,"-$546,770",,,,
11,D,2019-11-18 18:18:01,2019-11-14,MCD,Rogers John W Jr,Dir,P - Purchase,$194.12,"+1,000","88,600",+1%,"+$194,120",,,,
12,D,2019-11-12 10:03:24,2019-11-07,MCD,Hernandez Enrique Jr,Non-Exec Chairman of the Board,P - Purchase,$193.83,"+2,500","4,500",+125%,"+$484,575",,,,
13,D,2019-11-07 07:32:39,2019-11-06,MCD,Mulligan John J,Dir,P - Purchase,$193.46,"+1,300","2,900",+81%,"+$251,498",,,,
14,,2019-11-06 16:23:18,2019-11-06,MCD,Kempczinski Christopher J,"Pres, CEO",P - Purchase,$193.81,"+2,580","2,580",New,"+$500,030",,,,
15,D,2019-08-19 14:03:59,2019-08-16,MCD,Hoovel Catherine A.,VP - Chief Acctg Officer,S - Sale+OE,$218.15,-457,"1,440",-24%,"-$99,695",,,,
