,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-25 17:45:01,2021-08-24,MCHP,Meyercord Wade F,Dir,S - Sale+OE,$148.83,-500,"16,788",-3%,"-$74,414",,,,
2,,2021-08-24 16:11:17,2021-08-23,MCHP,Chapman Matthew W,Dir,S - Sale,$146.08,-500,"20,193",-2%,"-$73,040",,,,
3,,2021-08-24 16:10:35,2021-08-23,MCHP,Little Mitchell R,"SVP, WW Client Engagemnt",S - Sale,$146.08,"-2,226","6,736",-25%,"-$325,174",,,,
4,,2021-08-24 16:09:59,2021-08-23,MCHP,Bjornholt James Eric,"SVP, CFO",S - Sale,$146.08,"-1,091","29,411",-4%,"-$159,373",,,,
5,,2021-05-27 18:08:48,2021-05-26,MCHP,Simoncic Richard J,"SVP, Analog, Intrfce BU",S - Sale,$154.21,"-2,500","51,039",-5%,"-$385,525",,,,
6,,2021-05-25 17:28:34,2021-05-24,MCHP,Bjornholt James Eric,"SVP, CFO",S - Sale,$151.15,"-1,163","28,465",-4%,"-$175,787",,,,
7,D,2021-05-21 15:54:31,2021-05-20,MCHP,Little Mitchell R,"SVP, WW Client Engagemnt",S - Sale+OE,$147.55,"-2,222","6,235",-26%,"-$327,856",,,,
8,,2021-05-12 16:30:39,2021-05-10,MCHP,Little Mitchell R,"SVP, WW Client Engagemnt",S - Sale,$145.79,"-2,529","6,235",-29%,"-$368,703",,,,
9,,2021-02-24 17:57:38,2021-02-23,MCHP,Day L B,Dir,S - Sale,$153.00,"-2,000","8,014",-20%,"-$306,000",,,,
10,,2021-02-23 18:35:32,2021-02-22,MCHP,Chapman Matthew W,Dir,S - Sale,$159.20,-500,"18,856",-3%,"-$79,600",,,,
11,,2021-02-23 18:34:40,2021-02-22,MCHP,Simoncic Richard J,"SVP, Analog, Intrfce BU",S - Sale,$159.20,"-2,795","51,100",-5%,"-$444,964",,,,
12,,2021-02-23 18:34:02,2021-02-22,MCHP,Little Mitchell R,"SVP, WW Client Engagemnt",S - Sale,$159.20,"-2,342","8,710",-21%,"-$372,846",,,,
13,,2021-02-23 18:33:13,2021-02-22,MCHP,Drehobl Stephen V,"SVP, MCU8, MCU16 BU",S - Sale,$159.20,"-3,653","17,195",-18%,"-$581,558",,,,
14,,2021-02-23 18:32:31,2021-02-22,MCHP,Bjornholt James Eric,"SVP, CFO",S - Sale,$159.20,"-1,433","27,735",-5%,"-$228,134",,,,
15,,2020-11-24 16:39:36,2020-11-23,MCHP,Simoncic Richard J,"SVP, Analog, Intrfce BU",S - Sale,$130.70,"-2,269","51,045",-4%,"-$296,558",,,,
16,,2020-11-24 16:39:06,2020-11-23,MCHP,Little Mitchell R,"SVP, WW Client Engagemnt",S - Sale,$130.70,"-2,398","8,393",-22%,"-$313,419",,,,
17,,2020-11-24 16:38:13,2020-11-23,MCHP,Drehobl Stephen V,"SVP, MCU8, MCU16 BU",S - Sale,$130.70,"-2,956","16,885",-15%,"-$386,349",,,,
18,,2020-11-24 16:37:41,2020-11-23,MCHP,Chapman Matthew W,Dir,S - Sale,$130.70,-500,"19,356",-3%,"-$65,350",,,,
19,,2020-11-24 16:36:51,2020-11-23,MCHP,Bjornholt James Eric,"SVP, CFO",S - Sale,$130.70,"-1,533","27,187",-5%,"-$200,363",,,,
20,,2020-11-13 16:38:53,2020-11-11,MCHP,Drehobl Stephen V,"SVP, MCU8, MCU16 BU",S - Sale,$126.18,"-2,904","16,630",-15%,"-$366,427",,,,
