,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-15 12:30:42,2021-09-13,MCK,Vitalone Britt J.,"EVP, CFO",S - Sale+OE,$203.75,"-22,085","8,325",-73%,"-$4,499,817",,,,
2,D,2021-08-04 13:10:51,2021-08-03,MCK,Schechter Lori A.,"EVP, GC, GC",S - Sale+OE,$203.03,"-14,419","19,178",-43%,"-$2,927,490",,,,
3,D,2021-08-03 15:19:24,2021-08-02,MCK,Tyler Brian S.,CEO,S - Sale+OE,$203.84,"-1,467","50,957",-3%,"-$299,033",,,,
4,,2021-06-16 12:53:12,2021-06-15,MCK,Reddy Sundeep G.,"SVP, Controller",S - Sale,$193.43,-450,"3,290",-12%,"-$87,044",,,,
5,,2021-06-09 17:23:27,2021-06-08,MCK,Rodgers Thomas L,"EVP, Chief Strategy, BDO",S - Sale,$192.85,-198,"1,161",-15%,"-$38,184",,,,
6,D,2021-06-02 18:31:54,2021-06-01,MCK,Rodgers Thomas L,"EVP, Chief Strategy, BDO",S - Sale+OE,$189.56,-145,566,-20%,"-$27,486",,,,
7,M,2021-06-02 18:30:20,2021-05-28,MCK,Schechter Lori A.,"EVP, GC, GC",S - Sale,$190.06,"-14,490","19,178",-43%,"-$2,753,992",,,,
8,D,2021-06-02 18:28:48,2021-06-01,MCK,Tyler Brian S.,CEO,S - Sale+OE,$189.85,"-17,968","24,851",-42%,"-$3,411,253",,,,
9,AD,2021-05-28 10:57:18,2021-05-25,MCK,Rodgers Thomas L,"EVP, Chief Strategy, BDO",S - Sale+OE,$199.73,-45,133,-25%,"-$8,988",,,,
10,D,2021-05-27 20:02:13,2021-05-25,MCK,Schechter Lori A.,"EVP, GC, GC",S - Sale+OE,$199.73,"-1,828","32,088",-5%,"-$365,106",,,,
11,D,2021-05-27 20:00:21,2021-05-25,MCK,Rodgers Thomas L,"EVP, Chief Strategy, BDO",S - Sale+OE,$199.73,-45,133,-25%,"-$8,988",,,,
12,D,2021-05-11 18:22:37,2021-05-10,MCK,Schechter Lori A.,"EVP, GC, GC",S - Sale+OE,$200.00,"-3,000","19,178",-14%,"-$600,000",,,,
13,,2021-05-11 18:17:54,2021-05-10,MCK,Tyler Brian S.,CEO,S - Sale,$200.00,"-6,798","12,404",-35%,"-$1,359,600",,,,
14,D,2021-04-19 18:56:57,2021-04-15,MCK,Tyler Brian S.,CEO,S - Sale+OE,$191.41,"-5,511","19,202",-22%,"-$1,054,861",,,,
