,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-04 16:01:08,2021-10-01,MCO,Fauber Robert,"Pres, CEO",S - Sale,$357.50,-447,"53,469",-1%,"-$159,803",,,,
2,,2021-09-02 16:00:32,2021-09-01,MCO,Fauber Robert,"Pres, CEO",S - Sale,$380.31,-447,"53,916",-1%,"-$169,999",,,,
3,A,2021-08-26 16:09:56,2021-08-16,MCO,McDaniel Raymond W,Dir,S - Sale,$376.35,"-9,000","221,777",-4%,"-$3,387,150",,,,
4,D,2021-08-17 16:36:01,2021-08-16,MCO,Tulenko Stephen T,"Pres, Moody's Analytics",S - Sale+OE,$383.23,"-3,009","5,582",-35%,"-$1,153,151",,,,
5,,2021-08-10 16:00:35,2021-08-09,MCO,West Michael L,"Pres, Moody's Investors",S - Sale,$382.35,-680,"6,501",-9%,"-$259,998",,,,
6,A,2021-08-04 16:00:14,2021-08-02,MCO,Fauber Robert,"Pres, CEO",S - Sale,$378.57,-447,"54,363",-1%,"-$169,221",,,,
7,,2021-08-03 16:00:20,2021-07-01,MCO,Fauber Robert,"Pres, CEO",S - Sale,$378.57,-447,"54,363",-1%,"-$169,221",,,,
8,A,2021-08-02 16:00:25,2021-07-14,MCO,McDaniel Raymond W,Dir,S - Sale,$378.58,"-2,250","230,777",-1%,"-$851,805",,,,
9,,2021-07-15 16:00:28,2021-07-14,MCO,McDaniel Raymond W,Dir,S - Sale,$0.00,"-2,250","230,777",-1%,-$0,,,,
10,A,2021-06-24 16:46:07,2021-05-05,MCO,McDaniel Raymond W,Dir,S - Sale,$0.00,"-9,270","244,107",-4%,-$0,,,,
11,,2021-06-04 16:00:43,2021-06-03,MCO,Goggins John J,"EVP, GC",S - Sale,$334.38,"-4,520","11,861",-28%,"-$1,511,398",,,,
12,,2021-06-02 16:00:14,2021-06-01,MCO,Fauber Robert,"Pres, CEO",S - Sale,$338.06,-447,"55,257",-1%,"-$151,113",,,,
13,D,2021-05-25 16:00:15,2021-05-24,MCO,Goggins John J,"EVP, GC",S - Sale+OE,$331.11,"-8,434","16,381",-34%,"-$2,792,582",,,,
14,D,2021-05-21 16:00:56,2021-05-20,MCO,Kaye Mark,"SVP, CFO",S - Sale+OE,$325.08,"-2,335","5,989",-28%,"-$759,062",,,,
15,D,2021-05-14 16:00:16,2021-05-13,MCO,McDaniel Raymond W,Dir,S - Sale+OE,$327.49,"-26,040","235,377",-10%,"-$8,527,761",,,,
16,D,2021-05-12 16:00:09,2021-05-10,MCO,Goggins John J,"EVP, GC",S - Sale+OE,$334.85,"-10,216","16,381",-38%,"-$3,420,828",,,,
17,D,2021-05-07 16:00:15,2021-05-06,MCO,McDaniel Raymond W,Dir,S - Sale+OE,$326.38,"-26,040","235,377",-10%,"-$8,499,052",,,,
18,,2021-05-06 16:01:13,2021-05-05,MCO,McDaniel Raymond W,Dir,S - Sale,$0.00,"-18,000","235,377",-7%,-$0,,,,
19,,2021-05-06 16:00:23,2021-05-04,MCO,West Michael L,"Pres, Moody's Investors",S - Sale,$329.00,-783,"7,181",-10%,"-$257,607",,,,
20,,2021-05-04 16:00:28,2021-05-03,MCO,Fauber Robert,"Pres, CEO",S - Sale,$327.53,-447,"55,704",-1%,"-$146,406",,,,
21,,2021-04-15 16:00:31,2021-04-14,MCO,Tulenko Stephen T,"Pres, Moody's Analytics",S - Sale,$317.50,"-1,500","5,582",-21%,"-$476,250",,,,
22,,2021-04-02 16:00:09,2021-04-01,MCO,Fauber Robert,"Pres, CEO",S - Sale,$303.90,-447,"56,151",-1%,"-$135,843",,,,
23,A,2021-03-31 16:00:15,2021-03-12,MCO,McDaniel Raymond W,Dir,S - Sale,$306.97,"-11,480","451,388",-2%,"-$3,524,016",,,,
24,A,2021-03-29 16:51:37,2021-03-12,MCO,McDaniel Raymond W,Dir,S - Sale,$306.97,"-14,000","448,868",-3%,"-$4,297,580",,,,
25,,2021-03-29 16:00:20,2021-03-26,MCO,Tulenko Stephen T,"Pres, Moody's Analytics",S - Sale,$302.50,"-1,500","7,082",-17%,"-$453,750",,,,
26,D,2021-03-19 17:32:05,2021-03-17,MCO,Goggins John J,"EVP, GC",S - Sale+OE,$293.81,"-11,527","16,381",-41%,"-$3,386,743",,,,
27,,2021-03-16 17:13:45,2021-03-12,MCO,McDaniel Raymond W,Dir,S - Sale,$80.85,"-19,393","448,868",-4%,"-$1,567,894",,,,
28,,2021-03-11 16:00:14,2021-03-10,MCO,Tulenko Stephen T,"Pres, Moody's Analytics",S - Sale,$291.50,"-1,500","8,582",-15%,"-$437,250",,,,
29,,2021-03-08 16:00:13,2021-03-05,MCO,McDaniel Raymond W,Dir,S - Sale,$278.94,"-5,393","270,247",-2%,"-$1,504,307",,,,
30,,2021-03-03 16:00:33,2021-03-02,MCO,Sullivan Caroline,SVP-Corporate Controller,S - Sale,$282.87,-394,910,-30%,"-$111,450",,,,
31,,2021-03-03 16:00:29,2021-03-01,MCO,Hughes Melanie,"SVP, CHRO",S - Sale,$280.61,"-2,168","5,965",-27%,"-$608,358",,,,
32,,2021-03-03 16:00:25,2021-03-02,MCO,Kaye Mark,"SVP, CFO",S - Sale,$280.85,"-1,065","5,989",-15%,"-$299,105",,,,
33,DM,2021-03-03 16:00:20,2021-03-01,MCO,West Michael L,"Pres, Moody's Investors",S - Sale+OE,$282.28,"-6,195","7,964",-44%,"-$1,748,739",,,,
34,D,2021-03-01 16:03:45,2021-02-25,MCO,Tulenko Stephen T,"Pres, Moody's Analytics",S - Sale+OE,$281.00,-874,"9,019",-9%,"-$245,594",,,,
35,D,2021-02-25 16:20:48,2021-02-24,MCO,Tulenko Stephen T,"Pres, Moody's Analytics",S - Sale+OE,$278.84,"-1,144","9,019",-11%,"-$318,993",,,,
36,,2021-02-24 16:08:09,2021-02-23,MCO,McDaniel Raymond W,Dir,S - Sale,$276.13,"-3,423","264,854",-1%,"-$945,193",,,,
37,D,2021-02-17 16:03:05,2021-02-16,MCO,Kaye Mark,"SVP, CFO",S - Sale+OE,$280.08,-778,"3,892",-17%,"-$217,902",,,,
38,D,2020-12-18 16:06:57,2020-12-16,MCO,Goggins John J,"EVP, GC",S - Sale+OE,$278.58,"-16,223","7,518",-68%,"-$4,519,395",,,,
