,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-20 16:20:04,2021-05-19,MET,Lee Esther,EVP - Gl. CMO,S - Sale,$64.76,"-7,800","56,779",-12%,"-$505,166",,,,
2,,2021-05-12 16:58:58,2021-05-11,MET,Debel Marlene,"EVP, Chief Risk Officer",S - Sale,$64.58,"-11,000","43,112",-20%,"-$710,425",,,,
3,D,2021-02-26 16:31:02,2021-02-24,MET,McCallion John D.,"EVP, CFO",S - Sale+OE,$59.52,"-7,742","69,436",-10%,"-$460,776",,,,
4,D,2021-02-22 16:35:32,2021-02-18,MET,Goulart Steven J,"EVP, Chief Investment Officer",S - Sale+OE,$54.94,"-17,055","136,853",-11%,"-$937,003",,,,
5,D,2021-02-08 18:06:07,2021-02-05,MET,McCallion John D.,"EVP, CFO",S - Sale+OE,$52.22,"-7,456","31,521",-19%,"-$389,315",,,,
6,,2020-08-17 18:35:56,2020-08-13,MET,Kinney Catherine R,Dir,S - Sale,$39.50,"-3,657","47,264",-7%,"-$144,452",,,,
7,D,2020-02-12 19:17:30,2020-02-10,MET,Goulart Steven J,"EVP, Chief Investment Officer",S - Sale+OE,$51.60,"-14,200","112,930",-11%,"-$732,649",,,,
8,D,2019-12-26 16:19:56,2019-12-23,MET,McCallion John D.,"EVP, CFO",S - Sale+OE,$51.17,"-5,378","24,263",-18%,"-$275,176",,,,
9,D,2019-02-13 16:41:25,2019-02-12,MET,McCallion John D.,"EVP, CFO",S - Sale+OE,$44.43,"-2,669","17,869",-13%,"-$118,592",,,,
10,D,2019-02-13 16:39:05,2019-02-12,MET,Goulart Steven J,"EVP, Chief Investment Officer",S - Sale+OE,$44.40,"-10,292","82,922",-11%,"-$456,950",,,,
