,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-04 18:00:39,2021-10-01,MGM,Sanders Corey Ian,COO,S - Sale,$44.15,"-40,000","325,751",-11%,"-$1,766,164",,,,
2,,2021-10-04 17:55:45,2021-10-01,MGM,Hornbuckle William,"CEO, Pres",S - Sale,$43.78,"-60,000","235,797",-20%,"-$2,626,740",,,,
3,,2021-09-24 17:21:00,2021-09-23,MGM,Sanders Corey Ian,COO,S - Sale,$44.00,"-10,000","365,751",-3%,"-$440,000",,,,
4,,2021-09-24 17:19:22,2021-09-23,MGM,Hornbuckle William,"CEO, Pres",S - Sale,$44.00,"-10,000","295,797",-3%,"-$440,000",,,,
5,,2021-08-27 19:24:03,2021-08-27,MGM,McManus John,"EVP GC, SECY",S - Sale,$43.35,"-10,000","35,831",-22%,"-$433,467",,,,
6,,2021-08-25 19:50:59,2021-08-25,MGM,Herman Alexis,Dir,S - Sale,$41.95,"-2,500","14,644",-15%,"-$104,863",,,,
7,,2021-07-02 19:16:23,2021-07-01,MGM,Hornbuckle William,"CEO, Pres",S - Sale,$43.07,"-50,000","282,632",-15%,"-$2,153,350",,,,
8,,2021-06-15 17:17:44,2021-06-14,MGM,Herman Alexis,Dir,S - Sale,$43.14,"-3,750","17,144",-18%,"-$161,757",,,,
9,,2021-06-09 18:37:33,2021-06-08,MGM,Hornbuckle William,"CEO, Pres",S - Sale,$44.00,"-20,000","332,632",-6%,"-$880,000",,,,
10,D,2021-05-28 17:11:26,2021-05-28,MGM,Taylor Daniel J,Dir,S - Sale+OE,$43.00,"-16,600",0,-100%,"-$713,802",,,,
11,,2021-05-13 17:13:41,2021-05-13,MGM,Jammet Mary Chris,Dir,S - Sale,$37.00,"-5,000","19,696",-20%,"-$185,001",,,,
12,,2021-05-12 17:24:18,2021-05-10,MGM,Herman Alexis,Dir,S - Sale,$40.00,"-7,500","20,894",-26%,"-$300,000",,,,
13,,2021-05-05 18:46:35,2021-05-03,MGM,Sanders Corey Ian,COO,S - Sale,$41.43,"-50,000","393,445",-11%,"-$2,071,510",,,,
