,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-04 14:03:14,2021-08-03,MHK,Brunk James,CFO - VP FINANCE,S - Sale,$195.00,-950,"7,233",-12%,"-$185,250",,,,
2,,2021-05-06 12:19:40,2021-05-05,MHK,Thiers Bernard,Pres-Flooring ROW,S - Sale,$222.00,"-5,000","195,614",-2%,"-$1,110,000",,,,
3,,2021-05-04 16:06:43,2021-05-03,MHK,Patton Rodney David,VP BUSINESS STRATEGY,S - Sale,$220.07,-506,"11,575",-4%,"-$111,356",,,,
4,,2021-03-09 16:39:17,2021-03-08,MHK,Patton Rodney David,VP BUSINESS STRATEGY,S - Sale,$188.00,"-1,580","12,081",-12%,"-$297,040",,,,
5,,2021-03-08 16:39:46,2021-03-05,MHK,Thiers Bernard,Pres-Flooring ROW,S - Sale,$185.57,"-5,000","190,466",-3%,"-$927,869",,,,
6,,2021-02-26 15:27:50,2021-02-24,MHK,Thiers Bernard,Pres-Flooring ROW,S - Sale,$181.10,"-5,000","187,756",-3%,"-$905,500",,,,
7,,2021-02-19 16:10:17,2021-02-18,MHK,Boykin Frank H,CFO,S - Sale,$166.15,"-4,224","13,890",-23%,"-$701,810",,,,
8,D,2021-02-19 15:45:11,2021-02-17,MHK,Thiers Bernard,Pres-Flooring ROW,S - Sale+OE,$169.97,"-11,825","181,246",-6%,"-$2,009,913",,,,
9,,2020-12-04 13:28:28,2020-12-03,MHK,De Cock Paul F,Pres-Flooring NA,S - Sale,$132.55,"-1,208","20,467",-6%,"-$160,114",,,,
10,,2020-11-24 11:15:55,2020-11-23,MHK,Brunk James,"Corporate Controller, CAO",S - Sale,$130.00,"-2,048","4,563",-31%,"-$266,240",,,,
11,,2020-11-17 19:28:13,2020-11-16,MHK,Helen Suzanne L,Possible member of group,S - Sale,$127.00,"-5,004","308,718",-2%,"-$635,515",,,,
12,,2020-11-17 09:22:12,2020-11-16,MHK,Lorberbaum Jeffrey S,"COB, CEO, 10%",S - Sale,$126.00,"-3,000","9,460,286",0%,"-$378,000",,,,
13,,2020-11-12 16:27:33,2020-11-10,MHK,Lorberbaum Jeffrey S,"COB, CEO, 10%",S - Sale,$125.37,"-11,300","9,463,286",0%,"-$1,416,699",,,,
14,,2020-11-12 09:58:48,2020-11-09,MHK,Helen Suzanne L,Possible member of group,S - Sale,$126.07,"-56,996","313,722",-15%,"-$7,185,366",,,,
15,M,2020-11-06 12:10:37,2020-11-02,MHK,Patton Rodney David,"VP-Business Strategy, GC",S - Sale,$115.36,"-1,000","11,193",-8%,"-$115,358",,,,
16,,2020-08-19 16:14:54,2020-08-18,MHK,De Cock Paul F,Pres-Flooring NA,S - Sale,$90.47,"-1,500","21,675",-6%,"-$135,698",,,,
17,M,2020-06-12 17:03:24,2020-06-11,MHK,Helen Suzanne L,Possible member of group,S - Sale,$95.72,"-13,600","370,718",-4%,"-$1,301,759",,,,
18,,2020-05-22 12:57:34,2020-05-21,MHK,De Cock Paul F,Pres-Flooring NA,S - Sale,$84.28,"-4,453","23,175",-16%,"-$375,319",,,,
19,A,2020-03-16 17:00:57,2020-03-13,MHK,Balcaen Filip,Dir,P - Purchase,$93.61,"+52,500","1,160,751",+5%,"+$4,914,320",,,,
20,,2020-03-16 10:45:21,2020-03-13,MHK,Balcaen Filip,Dir,P - Purchase,$93.61,"+52,500","2,172,398",+2%,"+$4,914,320",,,,
21,M,2020-03-13 14:07:42,2020-03-11,MHK,Balcaen Filip,Dir,P - Purchase,$102.17,"+202,000","2,224,898",+10%,"+$20,637,560",,,,
22,,2019-12-10 09:25:38,2019-12-06,MHK,Helen Suzanne L,Possible member of group,S - Sale,$138.94,"-7,000","384,318",-2%,"-$972,563",,,,
23,,2019-11-08 17:45:04,2019-11-07,MHK,Helen Suzanne L,Possible member of group,S - Sale,$152.10,"-26,316","391,318",-6%,"-$4,002,624",,,,
