,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-23 11:52:04,2021-08-20,MKC,Hrabowski Freeman A III,Dir,S - Sale+OE,$87.50,"-2,870","103,994",-3%,"-$251,115",,,,
2,D,2020-11-17 16:16:26,2020-11-13,MKC,Mangan Michael D,Dir,S - Sale+OE,$183.30,"-5,000","19,882",-20%,"-$916,501",,,,
3,D,2020-08-17 16:27:34,2020-08-13,MKC,Tapiero Jacques,Dir,S - Sale+OE,$199.49,"-5,000","10,743",-32%,"-$997,453",,,,
4,D,2020-08-14 15:02:27,2020-08-12,MKC,Conway Michael Aaron,Dir,S - Sale+OE,$202.50,"-8,408","5,190",-62%,"-$1,702,606",,,,
5,D,2020-08-11 16:49:40,2020-08-07,MKC,Kurzius Lawrence Erik,"COB, Pres, CEO",S - Sale+OE,$200.00,"-50,600","112,178",-31%,"-$10,120,000",,,,
6,D,2020-07-08 15:49:55,2020-07-06,MKC,Swift Malcolm,Pres Flavor Solutions,S - Sale+OE,$181.65,"-24,600","31,142",-44%,"-$4,468,511",,,,
7,D,2020-07-07 15:13:46,2020-07-02,MKC,Preston Margaret M V,Dir,S - Sale+OE,$181.80,"-8,408","40,517",-17%,"-$1,528,562",,,,
8,D,2020-07-06 15:25:39,2020-07-02,MKC,McMullen Christina M,"VP, Controller",S - Sale+OE,$181.21,"-2,500","1,812",-58%,"-$453,025",,,,
9,D,2020-07-02 10:10:09,2020-07-01,MKC,Smith Michael R,"EVP, CFO",S - Sale+OE,$180.10,"-8,400","34,795",-19%,"-$1,512,847",,,,
10,D,2020-07-01 17:17:13,2020-06-30,MKC,Little Patricia A,Dir,S - Sale+OE,$179.14,"-5,000","11,783",-30%,"-$895,700",,,,
11,D,2020-07-01 10:13:14,2020-06-26,MKC,Montiel Maritza Gomez,Dir,S - Sale+OE,$180.50,"-3,500","10,180",-26%,"-$631,750",,,,
12,D,2019-10-07 16:06:10,2019-10-07,MKC,Conway Michael Aaron,Dir,S - Sale+OE,$168.60,"-5,000","4,501",-53%,"-$842,975",,,,
13,D,2019-10-07 16:05:21,2019-10-03,MKC,Manzone Lisa,SVP Global Human Relations,S - Sale+OE,$167.05,"-2,800","9,328",-23%,"-$467,727",,,,
14,D,2019-08-22 14:47:32,2019-08-20,MKC,Preston Margaret M V,Dir,S - Sale+OE,$161.23,"-2,402","39,429",-6%,"-$387,266",,,,
15,D,2019-08-20 10:05:10,2019-08-16,MKC,Swift Malcolm,"Pres Global Industrial,",S - Sale+OE,$169.28,"-27,200","23,115",-54%,"-$4,604,454",,,,
16,D,2019-08-20 10:04:16,2019-08-16,MKC,Mangan Michael D,Dir,S - Sale+OE,$170.00,"-5,000","19,193",-21%,"-$850,000",,,,
17,D,2019-08-16 11:32:26,2019-08-16,MKC,Tapiero Jacques,Dir,S - Sale+OE,$169.21,"-2,500","9,678",-21%,"-$423,023",,,,
18,,2019-08-16 11:29:33,2019-08-15,MKC,Montiel Maritza Gomez,Dir,S - Sale,$168.41,-600,"3,901",-13%,"-$101,048",,,,
19,D,2019-07-08 13:53:07,2019-07-03,MKC,Smith Michael R,"EVP, CFO",S - Sale+OE,$160.84,"-9,100","26,706",-25%,"-$1,463,599",,,,
20,,2019-07-02 14:52:43,2019-06-28,MKC,Rimmer Nneka Louise,"SVP Strategy,",S - Sale,$154.02,"-2,070","6,209",-25%,"-$318,822",,,,
21,D,2019-05-23 16:53:40,2019-05-21,MKC,Preston Margaret M V,Dir,S - Sale+OE,$154.31,"-3,865","36,713",-10%,"-$596,424",,,,
22,D,2019-04-19 10:49:21,2019-04-18,MKC,McMullen Christina M,"VP, Controller",S - Sale+OE,$154.00,"-2,000","1,250",-62%,"-$308,000",,,,
23,D,2019-04-12 10:15:46,2019-04-10,MKC,Smith Michael R,"EVP, CFO",S - Sale+OE,$154.49,"-9,200","26,706",-26%,"-$1,421,318",,,,
24,D,2019-04-05 11:56:11,2019-04-03,MKC,Wilson Alan D,10%,S - Sale+OE,$151.47,"-94,400","173,284",-35%,"-$14,298,740",,,,
25,DM,2019-03-19 15:11:59,2019-03-15,MKC,Wilson Alan D,10%,S - Sale+OE,$140.00,"-90,000","173,284",-34%,"-$12,600,000",,,,
26,D,2018-11-15 12:45:09,2018-11-13,MKC,McMullen Christina M,"VP, Controller",S - Sale+OE,$147.44,-400,663,-38%,"-$58,976",,,,
27,D,2018-11-06 15:10:34,2018-11-05,MKC,Little Patricia A,Dir,S - Sale+OE,$146.13,"-5,000","12,031",-29%,"-$730,633",,,,
28,D,2018-11-05 14:52:37,2018-11-05,MKC,Manzone Lisa,SVP Global Human Relations,S - Sale+OE,$144.63,"-9,600","6,813",-58%,"-$1,388,468",,,,
29,D,2018-11-02 10:20:33,2018-10-31,MKC,Swift Malcolm,"Pres Global Industrial,",S - Sale+OE,$142.33,"-27,700","15,082",-65%,"-$3,942,433",,,,
30,D,2018-10-31 10:46:50,2018-10-30,MKC,Kurzius Lawrence Erik,"COB, Pres, CEO",S - Sale+OE,$142.01,"-51,300","82,626",-38%,"-$7,285,113",,,,
31,D,2018-10-31 10:35:22,2018-10-30,MKC,Smith Michael R,"EVP, CFO",S - Sale+OE,$142.59,"-7,200","22,112",-25%,"-$1,026,648",,,,
32,D,2018-10-25 13:42:44,2018-10-24,MKC,Mangan Michael D,Dir,S - Sale+OE,$142.00,"-5,000","18,231",-22%,"-$710,000",,,,
33,D,2018-10-23 15:16:58,2018-10-19,MKC,Wilson Alan D,10%,S - Sale+OE,$140.59,"-111,000","387,419",-22%,"-$15,605,124",,,,
34,D,2018-08-17 12:15:45,2018-08-16,MKC,Wilson Alan D,"Dir, 10%",S - Sale+OE,$125.30,"-100,000","176,500",-36%,"-$12,530,000",,,,
35,D,2018-07-10 09:18:01,2018-07-09,MKC,Smith Michael R,"EVP, CFO",S - Sale+OE,$119.90,"-8,000","22,267",-26%,"-$959,224",,,,
36,D,2018-07-02 14:37:12,2018-06-28,MKC,Wilson Alan D,"Dir, 10%",S - Sale+OE,$110.00,"-158,600","176,500",-47%,"-$17,446,000",,,,
37,D,2018-02-01 14:54:36,2018-01-30,MKC,Smith Michael R,"EVP, CFO",S - Sale+OE,$107.96,"-2,575","38,936",-6%,"-$278,002",,,,
38,D,2018-01-30 12:20:43,2018-01-29,MKC,Little Patricia A,Dir,S - Sale+OE,$108.63,"-6,250","10,992",-36%,"-$678,962",,,,
39,,2017-11-13 14:04:30,2017-11-08,MKC,Montiel Maritza Gomez,Dir,S - Sale,$96.26,"-2,500","2,500",-50%,"-$240,645",,,,
40,D,2017-10-31 13:13:10,2017-10-30,MKC,Mangan Michael D,Dir,S - Sale+OE,$99.50,"-5,000","17,192",-23%,"-$497,500",,,,
41,D,2017-10-17 09:49:32,2017-10-13,MKC,Hrabowski Freeman A III,Dir,S - Sale+OE,$98.68,"-3,000","47,696",-6%,"-$296,050",,,,
42,D,2017-10-02 11:46:39,2017-09-29,MKC,Smith Michael R,"EVP, CFO",S - Sale+OE,$102.61,"-5,500","19,411",-22%,"-$564,325",,,,
43,,2017-05-04 10:36:20,2017-05-03,MKC,Montiel Maritza Gomez,Dir,P - Purchase,$99.62,"+2,500","5,000",+100%,"+$249,050",+1,+1,,
44,D,2017-04-12 17:49:12,2017-04-12,MKC,Wilson Alan D,"Dir, 10%",S - Sale+OE,$99.83,"-207,531","177,076",-54%,"-$20,718,343",-1,+1,0,
45,D,2017-02-02 15:48:57,2017-02-02,MKC,Mangan Michael D,Dir,S - Sale+OE,$95.09,"-5,000","16,172",-24%,"-$475,442",+1,+2,+5,
46,D,2016-10-13 11:00:56,2016-10-11,MKC,Hrabowski Freeman A III,Dir,S - Sale+OE,$94.15,"-2,000","46,196",-4%,"-$188,309",0,0,-3,+6
47,D,2016-07-14 15:06:08,2016-07-13,MKC,Stetz Gordon McKenzie Jr,"EVP, CFO",S - Sale+OE,$105.17,"-38,900","58,442",-40%,"-$4,091,031",0,-1,-3,-13
48,D,2016-07-06 16:29:58,2016-07-05,MKC,Little Patricia A,Dir,S - Sale+OE,$107.22,"-3,750","9,972",-27%,"-$402,062",0,-1,-6,-11
49,,2016-05-23 09:52:48,2016-05-19,MKC,Rimmer Nneka Louise,"SVP Corp Strategy, Develop",S - Sale,$96.00,-560,20,-97%,"-$53,760",0,+2,+6,-4
50,D,2016-05-05 15:52:07,2016-05-05,MKC,Swift Malcolm,"Pres Global Industrial,",S - Sale+OE,$95.01,"-26,950","4,318",-86%,"-$2,560,395",0,+3,+4,+1
51,D,2016-04-20 14:36:45,2016-04-19,MKC,Stetz Gordon McKenzie Jr,"EVP, CFO",S - Sale+OE,$95.03,"-37,000","62,932",-37%,"-$3,516,206",-1,-2,0,0
52,D,2015-07-14 10:26:43,2015-07-10,MKC,Stetz Gordon McKenzie Jr,"EVP, CFO",S - Sale+OE,$79.68,"-23,094","59,530",-28%,"-$1,840,063",0,-1,+5,+5
53,,2014-08-25 17:08:35,2014-08-21,MKC,Carpenter William Geoffrey,"VP, GC, Sec.",S - Sale,$69.83,"-11,400","33,746",-25%,"-$796,042",0,0,-4,+10
54,D,2014-08-19 14:53:39,2014-08-18,MKC,Kurzius Lawrence Erik,Pres - International,S - Sale+OE,$69.01,"-65,300","47,352",-58%,"-$4,506,033",0,+1,-2,+11
55,,2014-07-01 15:02:00,2014-06-30,MKC,Tapiero Jacques,Dir,P - Purchase,$71.77,"+1,000","3,696",+37%,"+$71,770",0,0,-5,+8
56,D,2014-03-28 16:23:14,2014-03-27,MKC,Beard Paul C,SVP- Finance,S - Sale+OE,$71.00,"-33,700","35,472",-49%,"-$2,392,700",+1,0,+1,-6
57,,2014-02-03 14:13:18,2014-01-31,MKC,Tapiero Jacques,Dir,P - Purchase,$64.40,+310,"1,299",+31%,"+$19,963",-2,-2,+4,+4
58,D,2013-11-06 16:02:36,2013-11-05,MKC,Kelly Kenneth A Jr,SVP,S - Sale+OE,$69.19,"-13,374","41,700",-24%,"-$925,282",-2,-1,-3,+2
59,,2013-05-15 12:47:08,2013-05-13,MKC,Carpenter William Geoffrey,"VP, GC, Sec.",S - Sale,$73.83,"-15,336","42,365",-27%,"-$1,132,242",0,-1,-3,-7
60,,2013-05-03 09:25:12,2013-05-01,MKC,Kelly Kenneth A Jr,"SVP, Controller",S - Sale,$72.19,"-13,935","41,700",-25%,"-$1,005,898",0,0,-4,-4
61,D,2013-04-23 12:17:36,2013-04-19,MKC,Kurzius Lawrence Erik,Pres - International,S - Sale+OE,$72.00,"-83,900","41,231",-67%,"-$6,040,800",0,0,+4,-4
62,,2013-04-19 15:42:23,2013-04-18,MKC,Stevens William E,Dir,S - Sale,$71.63,"-7,367","47,778",-13%,"-$527,698",+1,0,+5,-5
63,D,2013-04-18 13:25:09,2013-04-17,MKC,Carpenter William Geoffrey,"VP, GC, Sec.",S - Sale+OE,$71.31,"-1,881","59,885",-3%,"-$134,140",0,0,+4,-7
