,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-09 16:15:31,2021-09-07,MKTX,Themelis Nicholas,CIO,S - Sale,$461.54,"-2,000","11,587",-15%,"-$923,075",,,,
2,DM,2021-08-23 16:38:27,2021-08-19,MKTX,McPherson Kevin M,Global Head of Sales,S - Sale+OE,$475.90,"-5,399","71,088",-7%,"-$2,569,407",,,,
3,,2021-08-17 16:15:32,2021-08-13,MKTX,Delise Antonio L,Global Head of Corp. Dev.,S - Sale,$464.47,"-1,500","27,099",-5%,"-$696,709",,,,
4,D,2021-08-12 16:39:46,2021-08-10,MKTX,McPherson Kevin M,Global Head of Sales,S - Sale+OE,$476.53,"-5,000","71,088",-7%,"-$2,382,627",,,,
5,D,2021-08-12 16:39:08,2021-08-11,MKTX,Themelis Nicholas,CIO,S - Sale+OE,$462.70,"-6,433","13,587",-32%,"-$2,976,555",,,,
6,M,2021-08-11 16:38:02,2021-08-09,MKTX,McVey Richard M,"COB, CEO",S - Sale,$484.53,"-13,417","763,643",-2%,"-$6,500,875",,,,
7,D,2021-06-15 16:45:06,2021-06-14,MKTX,Themelis Nicholas,CIO,S - Sale+OE,$448.64,"-7,000","13,587",-34%,"-$3,140,470",,,,
8,,2021-06-08 16:30:22,2021-06-07,MKTX,Themelis Nicholas,CIO,S - Sale,$445.00,"-4,000","13,587",-23%,"-$1,780,002",,,,
9,,2021-05-27 16:36:55,2021-05-26,MKTX,Roupie Christophe Pierre Daniel,"Head of EMEA, APAC",S - Sale,$465.08,-967,"7,364",-12%,"-$449,732",,,,
10,D,2021-05-27 16:31:59,2021-05-26,MKTX,Delise Antonio L,CFO,S - Sale+OE,$462.35,"-4,000","28,599",-12%,"-$1,849,415",,,,
11,DM,2021-05-27 16:28:43,2021-05-25,MKTX,McPherson Kevin M,Global Head of Sales,S - Sale+OE,$463.84,"-5,000","71,088",-7%,"-$2,319,187",,,,
12,,2021-05-24 17:00:48,2021-05-24,MKTX,Pintoff Scott,"GC, Secretary",S - Sale,$460.02,-100,"6,223",-2%,"-$46,002",,,,
13,,2021-05-19 16:27:24,2021-05-17,MKTX,Pintoff Scott,"GC, Secretary",S - Sale,$460.38,-150,"6,323",-2%,"-$69,057",,,,
14,DM,2021-05-13 19:20:58,2021-05-11,MKTX,McPherson Kevin M,Global Head of Sales,S - Sale+OE,$449.26,"-6,000","71,088",-8%,"-$2,695,586",,,,
15,DM,2021-05-07 16:42:29,2021-05-05,MKTX,McPherson Kevin M,Global Head of Sales,S - Sale+OE,$468.59,-53,"71,088",0%,"-$24,835",,,,
16,,2021-03-17 16:33:32,2021-03-15,MKTX,McVey Richard M,"COB, CEO",S - Sale,$518.80,"-20,000","768,073",-3%,"-$10,376,075",,,,
17,,2021-03-08 16:30:19,2021-03-05,MKTX,Themelis Nicholas,CIO,S - Sale,$478.01,"-4,000","17,587",-19%,"-$1,912,042",,,,
18,,2021-03-02 16:30:54,2021-03-01,MKTX,Roupie Christophe Pierre Daniel,"Head of EMEA, APAC",S - Sale,$575.00,"-2,116","7,364",-22%,"-$1,216,700",,,,
19,,2021-02-25 16:30:19,2021-02-24,MKTX,Delise Antonio L,CFO,S - Sale,$545.95,"-2,500","27,631",-8%,"-$1,364,877",,,,
20,,2021-02-08 16:30:08,2021-02-08,MKTX,Pintoff Scott,"GC, Secretary",S - Sale,$572.32,-250,"6,473",-4%,"-$143,080",,,,
21,,2020-12-16 16:30:08,2020-12-15,MKTX,Casper Stephen P,Dir,S - Sale,$554.96,-750,"53,408",-1%,"-$416,220",,,,
