,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-03-11 15:22:18,2021-03-09,MLM,Nye C Howard,"COB, Pres, CEO",S - Sale,$337.40,"-20,000","169,678",-11%,"-$6,747,968",,,,
2,D,2020-11-24 17:04:03,2020-11-24,MLM,Bar Roselyn R,"EVP, GC, Secy",S - Sale+OE,$274.64,"-10,004","54,116",-16%,"-$2,747,456",,,,
3,M,2020-09-10 14:54:19,2020-09-08,MLM,Cole Sue W,Dir,S - Sale,$208.35,"-1,218","26,146",-4%,"-$253,774",,,,
4,M,2020-07-10 17:13:48,2015-06-30,MLM,Zelnak Stephen P Jr,Dir,P - Purchase,$183.99,+160,"4,955",+3%,"+$29,381",,,,
5,M,2020-07-10 17:13:48,2020-06-05,MLM,Zelnak Stephen P Jr,Dir,S - Sale,$224.24,"-18,235","4,955",-79%,"-$4,088,856",,,,
6,M,2020-07-02 14:05:44,2018-03-29,MLM,Grant Daniel L.,"SVP - Strategy, Development",P - Purchase,$229.42,+87,"18,286",0%,"+$19,927",,,,
7,D,2020-05-22 15:10:03,2020-05-21,MLM,Nye C Howard,"COB, Pres, CEO",S - Sale+OE,$177.62,"-6,645","169,718",-4%,"-$1,180,272",,,,
8,,2020-05-15 16:21:39,2020-05-13,MLM,Koraleski John J,Dir,P - Purchase,$164.08,"+1,000","11,210",+10%,"+$164,080",,,,
9,,2020-05-06 11:46:51,2020-05-06,MLM,Koraleski John J,Dir,P - Purchase,$183.54,"+1,000","9,440",+12%,"+$183,540",,,,
10,M,2020-02-12 11:22:31,2017-10-02,MLM,Mohr John P,SVP - CIO,P - Purchase,$203.93,+4,"10,265",0%,+$734,,,,
11,D,2019-12-17 16:01:26,2019-12-13,MLM,Nye C Howard,"COB, Pres, CEO",S - Sale+OE,$276.87,"-4,202","141,953",-3%,"-$1,163,399",,,,
12,,2019-11-25 15:13:41,2019-11-25,MLM,Koraleski John J,Dir,P - Purchase,$260.23,"+1,000","8,150",+14%,"+$260,227",,,,
13,D,2019-08-30 13:44:41,2019-08-30,MLM,Nye C Howard,"COB, Pres, CEO",S - Sale+OE,$253.52,"-7,440","144,544",-5%,"-$1,886,166",,,,
14,D,2019-08-02 16:28:17,2019-08-01,MLM,Nye C Howard,"COB, Pres, CEO",S - Sale+OE,$243.67,"-11,224","154,410",-7%,"-$2,734,890",,,,
15,D,2019-08-02 16:23:34,2019-08-01,MLM,Bar Roselyn R,"EVP, GC, Secy",S - Sale+OE,$246.93,"-2,821","55,272",-5%,"-$696,577",,,,
16,,2019-06-10 15:46:35,2019-06-10,MLM,Perez Laree E,Dir,S - Sale,$231.80,-824,"14,136",-6%,"-$191,005",,,,
17,D,2019-05-07 16:34:56,2019-05-06,MLM,Nye C Howard,"COB, Pres, CEO",S - Sale+OE,$220.48,"-14,668","154,410",-9%,"-$3,234,034",,,,
18,D,2019-05-07 16:34:02,2019-05-06,MLM,McCunniff Donald A.,SVP - HR,S - Sale+OE,$220.19,"-3,183","12,803",-20%,"-$700,873",,,,
19,,2019-03-06 09:09:25,2019-03-05,MLM,Cole Sue W,Dir,S - Sale,$195.07,"-1,500","25,183",-6%,"-$292,611",,,,
20,M,2019-02-28 10:59:32,2019-02-27,MLM,McCunniff Donald A.,SVP - HR,S - Sale,$189.78,"-2,223","13,786",-14%,"-$421,886",,,,
21,,2018-12-18 09:51:43,2018-12-14,MLM,Koraleski John J,Dir,P - Purchase,$174.07,"+1,000","6,072",+20%,"+$174,070",,,,
22,D,2018-11-13 10:55:43,2018-11-09,MLM,McCunniff Donald A.,SVP - HR,S - Sale+OE,$185.50,"-1,476","12,649",-10%,"-$273,798",,,,
23,,2018-08-24 10:38:20,2018-08-22,MLM,McCunniff Donald A.,SVP - HR,S - Sale,$204.33,"-2,250","12,649",-15%,"-$459,731",,,,
24,,2018-08-01 10:02:13,2018-07-30,MLM,Zelnak Stephen P Jr,Dir,P - Purchase,$202.87,"+3,500","21,880",+19%,"+$710,045",,,,
25,,2018-07-30 12:17:37,2018-07-27,MLM,Koraleski John J,Dir,P - Purchase,$208.06,"+2,400","4,750",+102%,"+$499,332",,,,
26,,2018-06-13 15:22:41,2018-06-13,MLM,McCunniff Donald A.,SVP - HR,S - Sale,$230.72,"-4,226","14,899",-22%,"-$975,031",,,,
27,D,2018-05-14 13:49:44,2018-05-11,MLM,Bar Roselyn R,"EVP, GC, Secy",S - Sale+OE,$213.67,"-5,998","51,585",-10%,"-$1,281,619",,,,
28,D,2018-05-11 14:41:18,2018-05-09,MLM,Nye C Howard,"COB, Pres, CEO",S - Sale+OE,$212.66,"-8,409","135,781",-6%,"-$1,788,216",,,,
29,D,2018-05-11 14:40:12,2018-05-09,MLM,Quillen Michael J,Dir,S - Sale+OE,$212.50,"-3,000","17,283",-15%,"-$637,499",,,,
30,D,2018-03-13 12:16:10,2018-03-12,MLM,Cole Sue W,Dir,S - Sale+OE,$210.06,"-3,000","25,395",-11%,"-$630,191",,,,
31,D,2018-02-15 17:09:17,2018-02-14,MLM,Perez Laree E,Dir,S - Sale+OE,$214.00,"-3,000","13,751",-18%,"-$642,000",,,,
32,,2017-08-18 12:31:22,2017-08-18,MLM,Koraleski John J,Dir,P - Purchase,$198.37,+500,"1,439",+53%,"+$99,185",,,,
33,D,2017-05-05 16:29:22,2017-05-04,MLM,Guzzo Dana F.,"SVP, Controller, CAO",S - Sale+OE,$239.24,-829,"18,411",-4%,"-$198,330",-1,-2,,
34,D,2017-05-05 11:05:58,2017-05-03,MLM,Nye C Howard,"COB, Pres, CEO",S - Sale+OE,$239.16,"-10,258","127,999",-7%,"-$2,453,286",0,-1,,
35,D,2017-05-05 09:48:05,2017-05-03,MLM,Lloyd Anne H,"EVP, CFO",S - Sale+OE,$238.73,"-6,472","60,881",-10%,"-$1,545,054",0,-1,,
36,D,2017-05-04 16:56:30,2017-05-04,MLM,McCunniff Donald A.,SVP - HR,S - Sale+OE,$240.17,"-1,391","18,039",-7%,"-$334,071",0,-1,,
37,D,2017-03-14 08:05:50,2017-03-10,MLM,Cole Sue W,Dir,S - Sale+OE,$212.12,"-3,000","24,319",-11%,"-$636,360",-2,-2,+2,
