,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-06-04 16:03:06,2021-06-02,MMC,McDonald Scott,"Pres, CEO of OWG",S - Sale+OE,$138.95,"-112,051","18,763",-86%,"-$15,569,964",,,,
2,,2021-03-08 16:28:34,2021-03-04,MMC,Ferland Martine,"Pres, CEO, Mercer",S - Sale,$115.28,"-2,162","2,763",-44%,"-$249,235",,,,
3,,2021-03-08 16:25:21,2021-03-04,MMC,Glaser Daniel S,"Pres, CEO, MMC",S - Sale,$115.28,"-27,142","166,074",-14%,"-$3,128,930",,,,
4,,2021-03-08 16:21:54,2021-03-04,MMC,Hearn Peter C,"Pres, CEO, Guy Carpenter",S - Sale,$115.28,"-4,418","9,866",-31%,"-$509,307",,,,
5,,2021-03-08 16:19:19,2021-03-04,MMC,McDonald Scott,"Pres, CEO of OWG",S - Sale,$115.28,"-4,437","18,763",-19%,"-$511,497",,,,
6,,2021-03-08 16:14:58,2021-03-08,MMC,McGivney Mark C,CFO,S - Sale,$115.28,"-6,125","33,678",-15%,"-$706,090",,,,
7,,2021-03-08 16:11:37,2021-03-04,MMC,Mills Stacy,"VP, Controller",S - Sale,$115.28,"-1,434","2,923",-33%,"-$165,312",,,,
8,D,2020-12-14 16:33:03,2020-12-11,MMC,Glaser Daniel S,"Pres, CEO, MMC",S - Sale+OE,$115.39,"-314,516","166,074",-65%,"-$36,291,561",,,,
9,D,2020-11-17 16:18:15,2020-11-16,MMC,Yates Lloyd M,Dir,S - Sale+OE,$115.17,"-6,658","24,001",-22%,"-$766,781",,,,
10,D,2020-11-17 16:04:30,2020-11-16,MMC,McGivney Mark C,CFO,S - Sale+OE,$114.91,"-32,439","33,678",-49%,"-$3,727,501",,,,
11,,2020-08-26 16:00:22,2020-08-25,MMC,Ferland Martine,"Pres, CEO, Mercer",S - Sale,$112.90,"-2,940","2,763",-52%,"-$331,920",,,,
12,,2020-08-04 16:04:02,2020-08-03,MMC,Ledford Laurie,"SVP, CHRO",S - Sale,$115.78,"-4,114","8,939",-32%,"-$476,298",,,,
13,D,2020-03-09 16:08:16,2020-03-05,MMC,McDonald Scott,"Pres, CEO of OWG",S - Sale+OE,$106.81,"-40,297","18,763",-68%,"-$4,304,159",,,,
14,,2020-03-09 16:07:17,2020-03-05,MMC,McGivney Mark C,CFO,S - Sale,$106.83,"-8,465","33,678",-20%,"-$904,274",,,,
15,D,2020-03-09 16:06:16,2020-03-05,MMC,Glaser Daniel S,"Pres, CEO, MMC",S - Sale+OE,$106.81,"-248,347","168,574",-60%,"-$26,526,787",,,,
