,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-07 16:10:11,2021-07-02,MSI,Molloy John P,"EVP, Products, Sales",S - Sale,$220.00,"-7,955","29,336",-21%,"-$1,750,100",,,,
2,D,2021-07-01 16:24:50,2021-06-29,MSI,Hacker Mark S.,"EVP, GC, Chief Admin Officer",S - Sale+OE,$216.94,"-27,652","15,815",-64%,"-$5,998,855",,,,
3,D,2021-06-25 16:21:18,2021-06-24,MSI,Pekofske Daniel G,"CVP, CAO",S - Sale+OE,$215.00,-985,"2,760",-26%,"-$211,775",,,,
4,,2021-06-23 16:25:02,2021-06-21,MSI,Molloy John P,"EVP, Products, Sales",S - Sale,$208.53,"-6,040","37,291",-14%,"-$1,259,521",,,,
5,,2021-05-25 16:22:51,2021-05-21,MSI,Yazdi Cynthia,"SVP COS Mktg, Com, MSIFoundati",S - Sale,$204.00,"-2,638","4,620",-36%,"-$538,152",,,,
6,D,2021-05-13 16:44:42,2021-05-12,MSI,Naik Rajan,"SVP, Strategy, Ventures",S - Sale+OE,$197.78,"-6,370","5,893",-52%,"-$1,259,868",,,,
7,D,2021-05-12 16:18:32,2021-05-10,MSI,Pekofske Daniel G,"CVP, CAO",S - Sale+OE,$200.00,"-1,564","2,760",-36%,"-$312,800",,,,
8,D,2021-04-14 16:58:32,2021-04-12,MSI,Pekofske Daniel G,"CVP, CAO",S - Sale+OE,$190.00,"-1,334","2,759",-33%,"-$253,460",,,,
9,D,2021-02-16 16:40:38,2021-02-12,MSI,Brown Gregory Q,"COB, CEO",S - Sale+OE,$181.18,"-56,040","448,864",-11%,"-$10,153,373",,,,
10,DM,2021-02-12 16:27:00,2021-02-10,MSI,Brown Gregory Q,"COB, CEO",S - Sale+OE,$182.88,"-158,475","429,715",-27%,"-$28,982,000",,,,
11,DM,2021-02-10 16:24:25,2021-02-08,MSI,Brown Gregory Q,"COB, CEO",S - Sale+OE,$182.80,"-175,008","429,715",-29%,"-$31,991,757",,,,
12,DM,2021-02-08 16:28:35,2021-02-04,MSI,Brown Gregory Q,"COB, CEO",S - Sale+OE,$182.59,"-32,265","429,715",-7%,"-$5,891,273",,,,
13,D,2020-11-12 16:47:56,2020-11-09,MSI,Naik Rajan,"SVP, Strategy, Ventures",S - Sale+OE,$172.27,"-2,458","6,165",-29%,"-$423,438",,,,
14,D,2020-11-12 16:45:55,2020-11-09,MSI,Mark Kelly S,"EVP, Software, Services",S - Sale+OE,$173.66,"-50,000","24,636",-67%,"-$8,683,090",,,,
15,D,2020-11-10 16:20:47,2020-11-06,MSI,Brown Gregory Q,"COB, CEO",S - Sale+OE,$164.32,"-27,888","441,100",-6%,"-$4,582,420",,,,
16,D,2020-11-05 16:10:49,2020-11-04,MSI,Brown Gregory Q,"COB, CEO",S - Sale+OE,$164.54,"-27,890","526,878",-5%,"-$4,588,948",,,,
17,DM,2020-11-04 20:21:24,2020-11-02,MSI,Brown Gregory Q,"COB, CEO",S - Sale+OE,$164.98,"-120,000","579,692",-17%,"-$19,797,193",,,,
18,D,2020-11-04 17:05:42,2020-11-02,MSI,Pekofske Daniel G,"CVP, CAO",S - Sale+OE,$163.37,"-2,694","2,638",-51%,"-$440,119",,,,
19,D,2020-11-04 17:03:44,2020-11-02,MSI,Hacker Mark S.,"EVP, GC, Chief Admin Officer",S - Sale+OE,$162.00,"-60,160","11,126",-84%,"-$9,745,920",,,,
20,D,2020-10-13 16:27:27,2020-10-09,MSI,Molloy John P,"EVP, Products, Sales",S - Sale+OE,$165.00,"-11,975","34,254",-26%,"-$1,975,875",,,,
21,D,2020-09-16 16:18:35,2020-09-14,MSI,Brown Gregory Q,"COB, CEO",S - Sale+OE,$155.61,"-90,000","440,959",-17%,"-$14,004,541",,,,
22,,2020-08-31 16:25:59,2020-08-28,MSI,Yazdi Cynthia,"SVP COS Mktg, Com, MSIFoundati",S - Sale,$152.93,"-1,821","4,123",-31%,"-$278,493",,,,
