,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2019-06-13 07:42:16,2019-06-11,MPC,Rohr James E,Dir,P - Purchase,$48.14,"+12,500","45,746",+38%,"+$601,750",,,,
2,,2019-05-17 08:41:22,2019-05-15,MPC,Templin Donald C.,"Pres, Refining, Mktg, Supply",P - Purchase,$50.74,"+5,000","98,182",+5%,"+$253,697",,,,
3,D,2019-02-26 12:22:42,2019-02-22,MPC,Heminger Gary R.,"COB, CEO",S - Sale+OE,$65.00,"-187,142","567,192",-25%,"-$12,164,166",,,,
4,M,2018-12-20 19:26:25,2018-10-09,MPC,Goff Gregory James,Exec Vice COB,P - Purchase,$79.51,+140,"1,593,192",0%,"+$11,131",,,,
5,,2018-12-18 09:53:00,2018-12-14,MPC,Davis Steven A,Dir,P - Purchase,$62.14,"+3,500","31,086",+13%,"+$217,490",,,,
6,M,2018-11-21 10:36:43,2018-11-20,MPC,Davis Steven A,Dir,P - Purchase,$62.20,"+2,500","27,462",+10%,"+$155,500",,,,
7,D,2018-06-01 12:10:14,2018-05-30,MPC,Kelley Thomas M.,"SVP, Marketing",S - Sale+OE,$79.47,"-24,818","40,025",-38%,"-$1,972,197",,,,
8,D,2018-03-15 09:41:33,2018-03-13,MPC,Kelley Thomas M.,"SVP, Marketing",S - Sale+OE,$69.77,"-20,000","40,025",-33%,"-$1,395,400",,,,
9,,2018-03-08 07:38:26,2018-03-06,MPC,Bunch Charles E,Dir,P - Purchase,$67.38,"+1,500","12,853",+13%,"+$101,070",,,,
10,D,2017-12-18 17:28:44,2017-12-14,MPC,Kelley Thomas M.,"SVP, Marketing",S - Sale+OE,$64.75,"-35,604","37,608",-49%,"-$2,305,359",,,,
11,D,2017-12-18 16:58:16,2017-12-14,MPC,Nichols Rodney P.,"Ex. VP, HR,  Health, Admin.",S - Sale+OE,$64.93,"-6,374","86,677",-7%,"-$413,864",,,,
12,D,2017-12-18 16:29:11,2017-12-14,MPC,Palmer C. Michael,"SVP, Supply Distrib., Plan",S - Sale+OE,$64.78,"-50,746","63,952",-44%,"-$3,287,325",,,,
13,D,2017-12-14 13:48:51,2017-12-12,MPC,Palmer C. Michael,"SVP, Supply Distrib., Plan",S - Sale+OE,$64.55,"-17,298","63,952",-21%,"-$1,116,586",,,,
