,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-20 20:17:56,2021-10-20,MPWR,Blegen Theodore,CFO,S - Sale,$496.59,"-1,897","136,400",-1%,"-$942,031",,,,
2,,2021-10-05 17:02:14,2021-10-01,MPWR,Tseng Saria,"VP, GC",S - Sale,$476.16,"-4,330","254,554",-2%,"-$2,061,773",,,,
3,,2021-10-05 17:02:10,2021-10-01,MPWR,Hsing Michael,CEO,S - Sale,$476.16,"-11,020","1,121,236",-1%,"-$5,247,283",,,,
4,,2021-10-05 17:01:48,2021-10-01,MPWR,Blegen Theodore,CFO,S - Sale,$476.16,-910,"138,297",-1%,"-$433,306",,,,
5,,2021-10-05 17:01:11,2021-10-01,MPWR,Sciammas Maurice,"SVPof Sales, Marketing",S - Sale,$476.16,"-4,330","328,887",-1%,"-$2,061,773",,,,
6,,2021-08-30 17:06:54,2021-08-30,MPWR,Xiao Deming,Pres of MPS Asia Operations,S - Sale,$500.00,"-4,886","288,708",-2%,"-$2,443,000",,,,
7,,2021-08-26 18:18:58,2021-08-24,MPWR,Zhou Jeff,Dir,S - Sale,$490.00,-300,"5,509",-5%,"-$147,000",,,,
8,,2021-08-26 18:01:13,2021-08-26,MPWR,Xiao Deming,Pres of MPS Asia Operations,S - Sale,$489.00,"-6,495","293,594",-2%,"-$3,176,055",,,,
9,,2021-08-23 17:54:53,2021-08-19,MPWR,Xiao Deming,Pres of MPS Asia Operations,S - Sale,$462.00,"-4,739","300,089",-2%,"-$2,189,418",,,,
10,,2021-08-23 16:57:44,2021-08-20,MPWR,Blegen Theodore,CFO,S - Sale,$469.24,"-1,897","141,104",-1%,"-$890,148",,,,
11,,2021-08-23 16:57:28,2021-08-20,MPWR,Zhou Jeff,Dir,S - Sale,$477.00,-300,"5,809",-5%,"-$143,100",,,,
12,,2021-08-16 16:44:53,2021-08-12,MPWR,Xiao Deming,Pres of MPS Asia Operations,S - Sale,$457.10,"-1,651","304,799",-1%,"-$754,672",,,,
13,,2021-08-16 16:43:44,2021-08-12,MPWR,Sciammas Maurice,"SVPof Sales, Marketing",S - Sale,$457.10,"-1,651","333,217",0%,"-$754,672",,,,
14,,2021-08-16 16:43:26,2021-08-12,MPWR,Tseng Saria,"VP, GC",S - Sale,$457.10,"-1,651","258,861",-1%,"-$754,672",,,,
15,,2021-08-11 17:10:38,2021-08-09,MPWR,Xiao Deming,Pres of MPS Asia Operations,S - Sale,$459.12,"-2,053","306,450",-1%,"-$942,573",,,,
16,,2021-08-11 17:10:15,2021-08-09,MPWR,Sciammas Maurice,"SVPof Sales, Marketing",S - Sale,$459.12,"-2,053","334,868",-1%,"-$942,573",,,,
17,,2021-08-11 17:09:53,2021-08-09,MPWR,Hsing Michael,CEO,S - Sale,$459.12,"-7,926","1,138,629",-1%,"-$3,638,985",,,,
18,,2021-08-11 17:09:47,2021-08-09,MPWR,Tseng Saria,"VP, GC",S - Sale,$459.12,"-2,053","260,512",-1%,"-$942,573",,,,
19,,2021-08-11 17:09:24,2021-08-09,MPWR,Blegen Theodore,CFO,S - Sale,$459.12,"-1,474","144,380",-1%,"-$676,743",,,,
20,,2021-08-10 18:27:28,2021-08-06,MPWR,Moyer James C,Dir,S - Sale,$460.87,"-7,000","566,327",-1%,"-$3,226,058",,,,
21,,2021-08-05 17:26:09,2021-08-04,MPWR,Zhou Jeff,Dir,S - Sale,$465.22,-400,"6,109",-6%,"-$186,088",,,,
22,,2021-08-04 16:17:22,2021-08-02,MPWR,Xiao Deming,Pres of MPS Asia Operations,S - Sale,$455.09,"-6,495","308,503",-2%,"-$2,955,808",,,,
23,,2021-07-26 19:02:04,2021-07-23,MPWR,Zhou Jeff,Dir,S - Sale,$410.00,-500,"6,509",-7%,"-$205,000",,,,
24,,2021-07-21 20:18:37,2021-07-21,MPWR,Zhou Jeff,Dir,S - Sale,$402.51,"-1,000","7,009",-12%,"-$402,510",,,,
25,,2021-07-16 17:57:21,2021-07-16,MPWR,Moyer James C,Dir,S - Sale,$381.41,"-12,000","571,327",-2%,"-$4,576,927",,,,
26,,2021-07-16 17:03:53,2021-07-14,MPWR,Zhou Jeff,Dir,S - Sale,$392.66,"-1,000","8,009",-11%,"-$392,660",,,,
27,,2021-07-08 16:47:48,2021-07-07,MPWR,Zhou Jeff,Dir,S - Sale,$387.27,-500,"9,009",-5%,"-$193,635",,,,
28,,2021-07-06 18:08:32,2021-07-06,MPWR,Zhou Jeff,Dir,S - Sale,$380.00,-500,"9,509",-5%,"-$190,000",,,,
29,,2021-07-06 17:45:22,2021-07-06,MPWR,Xiao Deming,Pres of MPS Asia Operations,S - Sale,$380.00,"-7,734","310,126",-2%,"-$2,938,920",,,,
30,,2021-07-06 16:47:01,2021-07-01,MPWR,Sciammas Maurice,"SVPof Sales, Marketing",S - Sale,$370.45,"-4,305","316,026",-1%,"-$1,594,787",,,,
31,,2021-07-06 16:46:22,2021-07-01,MPWR,Blegen Theodore,CFO,S - Sale,$370.45,-905,"147,751",-1%,"-$335,257",,,,
