,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,DM,2021-10-19 16:11:37,2021-10-15,MRNA,Andres Juan,See remarks,S - Sale+OE,$331.76,"-10,000",0,-100%,"-$3,317,550",,,,
2,M,2021-10-15 16:05:48,2021-10-13,MRNA,Bancel Stephane,CEO,S - Sale,$322.32,"-19,000","22,290,120",0%,"-$6,124,100",,,,
3,,2021-10-15 16:03:33,2021-10-13,MRNA,Sagan Paul,Dir,S - Sale,$314.90,"-2,250","461,810",0%,"-$708,525",,,,
4,D,2021-10-14 16:21:50,2021-10-13,MRNA,Andres Juan,See remarks,S - Sale+OE,$314.90,"-5,000",0,-100%,"-$1,574,500",,,,
5,DM,2021-10-14 16:10:51,2021-10-12,MRNA,Hoge Stephen,Pres,S - Sale+OE,$314.48,"-20,000","1,765,646",-1%,"-$6,289,600",,,,
6,DM,2021-10-12 16:16:20,2021-10-08,MRNA,Andres Juan,See remarks,S - Sale+OE,$302.61,"-20,000",0,-100%,"-$6,052,200",,,,
7,D,2021-10-08 16:18:41,2021-10-06,MRNA,Andres Juan,See remarks,S - Sale+OE,$318.23,"-5,000",0,-100%,"-$1,591,150",,,,
8,M,2021-10-08 16:14:05,2021-10-06,MRNA,Bancel Stephane,CEO,S - Sale,$306.00,"-19,000","22,313,120",0%,"-$5,814,070",,,,
9,D,2021-10-06 16:09:09,2021-10-04,MRNA,Hoge Stephen,Pres,S - Sale+OE,$307.54,"-20,000","1,765,646",-1%,"-$6,150,800",,,,
10,DM,2021-10-05 16:12:08,2021-10-01,MRNA,Andres Juan,See remarks,S - Sale+OE,$333.27,"-10,000",0,-100%,"-$3,332,700",,,,
11,D,2021-10-01 08:53:36,2021-09-29,MRNA,Andres Juan,See remarks,S - Sale+OE,$393.44,"-5,000",0,-100%,"-$1,967,200",,,,
12,M,2021-10-01 08:50:23,2021-09-29,MRNA,Bancel Stephane,CEO,S - Sale,$387.32,"-19,000","22,336,120",0%,"-$7,359,160",,,,
13,DM,2021-09-28 16:22:23,2021-09-24,MRNA,Andres Juan,See remarks,S - Sale+OE,$434.05,"-20,000",0,-100%,"-$8,680,900",,,,
14,DM,2021-09-27 16:11:27,2021-09-23,MRNA,Hoge Stephen,Pres,S - Sale+OE,$448.46,"-20,000","1,765,646",-1%,"-$8,969,139",,,,
15,M,2021-09-24 16:17:54,2021-09-22,MRNA,Bancel Stephane,CEO,S - Sale,$436.40,"-19,000","22,359,120",0%,"-$8,291,500",,,,
