,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-06-07 16:31:32,2021-06-04,MRO,Wagner Patrick,See Remarks,S - Sale+OE,$13.72,"-31,667","232,292",-12%,"-$434,465",,,,
2,D,2021-06-03 16:22:43,2021-06-02,MRO,Tillman Lee M,"COB, Pres, CEO",S - Sale+OE,$13.85,"-212,000","1,203,012",-15%,"-$2,937,048",,,,
3,,2021-05-04 07:39:29,2021-05-03,MRO,Tillman Lee M,"COB, Pres, CEO",S - Sale,$11.03,"-67,500","1,203,012",-5%,"-$744,336",,,,
4,,2021-04-13 16:22:23,2021-04-12,MRO,Tillman Lee M,"COB, Pres, CEO",S - Sale,$11.08,"-67,500","1,270,512",-5%,"-$747,900",,,,
5,,2021-03-12 16:36:09,2021-03-11,MRO,Henderson Michael A,"EVP, Operations",S - Sale,$12.55,"-20,938","223,349",-9%,"-$262,772",,,,
6,,2021-03-02 16:33:31,2021-03-01,MRO,Wagner Patrick,See Remarks,S - Sale,$11.37,"-37,905","170,328",-18%,"-$430,790",,,,
7,,2020-03-31 19:13:01,2020-03-31,MRO,Wagner Patrick,See Remarks,P - Purchase,$3.31,"+15,000","223,314",+7%,"+$49,658",,,,
8,M,2020-03-25 16:50:05,2020-03-23,MRO,Tillman Lee M,"COB, Pres, CEO",P - Purchase,$3.50,"+56,600","1,137,230",+5%,"+$197,987",,,,
9,,2020-03-17 16:34:48,2020-03-16,MRO,Tillman Lee M,"COB, Pres, CEO",P - Purchase,$4.00,"+27,500","1,080,630",+3%,"+$110,000",,,,
10,M,2020-03-16 16:32:18,2020-03-12,MRO,Tillman Lee M,"COB, Pres, CEO",P - Purchase,$4.01,"+47,500","1,053,130",+5%,"+$190,657",,,,
11,D,2018-09-17 16:36:00,2018-09-14,MRO,Little Thomas Mitchell,EVP - Operations,S - Sale+OE,$20.69,"-117,333","277,236",-30%,"-$2,428,089",,,,
12,D,2018-05-18 16:25:26,2018-05-16,MRO,Wagner Patrick,See Remarks,S - Sale+OE,$21.20,"-53,333","138,201",-28%,"-$1,130,606",,,,
13,D,2018-05-18 16:24:32,2018-05-17,MRO,Tillman Lee M,"Pres, CEO",S - Sale+OE,$21.65,"-400,000","708,261",-36%,"-$8,658,800",,,,
14,,2018-05-09 16:17:39,2018-05-07,MRO,Little Thomas Mitchell,EVP - Operations,S - Sale,$19.89,"-21,286","277,236",-7%,"-$423,357",,,,
15,,2015-09-22 16:13:26,2015-09-14,MRO,Wagner Patrick,VP-Corporate Development,P - Purchase,$15.40,"+5,000","35,167",+17%,"+$76,975",-2,-6,+18,-26
