,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-14 16:57:10,2021-10-13,NDAQ,Skule Jeremy,EVP,S - Sale,$197.68,-865,"16,324",-5%,"-$170,993",,,,
2,,2021-09-15 16:07:39,2021-09-13,NDAQ,Skule Jeremy,EVP,S - Sale,$196.65,-865,"17,189",-5%,"-$170,102",,,,
3,,2021-08-27 16:48:29,2021-08-25,NDAQ,Griggs Pc Nelson,EVP,S - Sale,$191.57,"-1,000","19,499",-5%,"-$191,570",,,,
4,,2021-08-25 16:31:40,2021-08-24,NDAQ,Ottersgard Lars,EVP,S - Sale,$191.42,"-4,000","13,783",-22%,"-$765,680",,,,
5,,2021-08-11 16:30:01,2021-08-10,NDAQ,Griggs Pc Nelson,EVP,S - Sale,$189.71,"-1,546","20,499",-7%,"-$293,292",,,,
6,,2021-07-27 17:09:57,2021-07-23,NDAQ,Griggs Pc Nelson,EVP,S - Sale,$187.66,"-2,000","22,045",-8%,"-$375,320",,,,
7,,2021-06-07 17:00:00,2021-06-03,NDAQ,Griggs Pc Nelson,EVP,S - Sale,$167.89,"-1,000","24,045",-4%,"-$167,890",,,,
8,,2021-05-26 16:14:21,2021-05-24,NDAQ,Griggs Pc Nelson,EVP,S - Sale,$165.49,"-2,000","25,045",-7%,"-$330,980",,,,
9,,2021-05-26 16:12:53,2021-05-24,NDAQ,Peterson Bradley J,EVP,S - Sale,$165.90,"-6,982","16,317",-30%,"-$1,158,314",,,,
10,,2021-05-26 16:12:06,2021-05-24,NDAQ,Splinter Michael R,Dir,S - Sale,$165.00,"-5,000","62,923",-7%,"-$825,000",,,,
11,,2021-05-18 17:07:32,2021-05-14,NDAQ,Peterson Bradley J,EVP,S - Sale,$164.22,-518,"23,299",-2%,"-$85,066",,,,
12,,2021-05-04 16:09:20,2021-05-03,NDAQ,Griggs Pc Nelson,EVP,S - Sale,$163.42,"-1,841","27,045",-6%,"-$300,856",,,,
13,,2021-04-27 16:18:09,2021-04-23,NDAQ,Smith Bryan Everard,EVP,S - Sale,$162.74,"-2,149","11,941",-15%,"-$349,728",,,,
14,,2021-04-26 16:50:40,2021-04-22,NDAQ,Griggs Pc Nelson,EVP,S - Sale,$161.53,"-2,000","28,886",-6%,"-$323,060",,,,
15,,2021-03-16 17:18:15,2021-03-12,NDAQ,Tal Cohen,EVP,S - Sale,$144.17,"-1,407","10,320",-12%,"-$202,847",,,,
16,,2021-03-09 17:07:20,2021-03-05,NDAQ,Peterson Bradley J,EVP,S - Sale,$144.58,"-1,000","21,298",-4%,"-$144,580",,,,
