,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-15 16:57:55,2021-10-13,NEM,Gottesfeld Stephen P,"EVP, Chief S, EA Officer",S - Sale,$55.10,"-4,000","89,140",-4%,"-$220,400",,,,
2,,2021-10-05 16:41:17,2021-10-04,NEM,Rhodes Blake,"SVP, Strategic Development",S - Sale,$55.00,-500,"48,226",-1%,"-$27,500",,,,
3,,2021-10-05 16:37:07,2021-10-01,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$54.65,"-7,000","243,525",-3%,"-$382,550",,,,
4,A,2021-10-01 21:14:18,2021-09-30,NEM,Buese Nancy,"EVP, CFO",S - Sale,$54.29,"-10,000","46,768",-18%,"-$542,900",,,,
5,,2021-10-01 16:44:58,2021-09-30,NEM,Buese Nancy,"EVP, CFO",S - Sale,$52.29,"-10,000","46,768",-18%,"-$522,900",,,,
6,,2021-09-10 16:35:52,2021-09-08,NEM,Gottesfeld Stephen P,"EVP, Chief S, EA Officer",S - Sale,$57.75,"-4,000","93,140",-4%,"-$231,000",,,,
7,,2021-09-08 16:41:38,2021-09-03,NEM,Gehring Dean,"EVP, CTO",S - Sale,$60.00,"-2,991","16,811",-15%,"-$179,460",,,,
8,,2021-09-02 16:38:20,2021-09-01,NEM,Rhodes Blake,"SVP, Strategic Development",S - Sale,$58.10,-500,"48,726",-1%,"-$29,050",,,,
9,,2021-09-02 16:34:21,2021-09-01,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$58.10,"-7,000","250,525",-3%,"-$406,700",,,,
10,,2021-08-13 16:36:37,2021-08-11,NEM,Gottesfeld Stephen P,"EVP, Chief S, EA Officer",S - Sale,$58.80,"-4,000","97,140",-4%,"-$235,200",,,,
11,,2021-08-04 16:40:49,2021-08-02,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$62.56,"-7,000","257,525",-3%,"-$437,920",,,,
12,,2021-08-04 16:38:02,2021-08-02,NEM,Rhodes Blake,"SVP, Strategic Development",S - Sale,$62.56,-500,"49,226",-1%,"-$31,280",,,,
13,,2021-07-28 16:49:53,2021-07-27,NEM,Cmil Jennifer,"EVP, HR",S - Sale,$61.00,-597,"16,749",-3%,"-$36,417",,,,
14,,2021-07-02 16:41:13,2021-07-01,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$64.00,"-7,000","264,525",-3%,"-$448,000",,,,
15,,2021-06-11 16:51:30,2021-06-09,NEM,Gottesfeld Stephen P,"EVP, Chief S, EA Officer",S - Sale,$70.02,"-4,000","105,140",-4%,"-$280,080",,,,
16,,2021-06-03 17:05:24,2021-06-01,NEM,Atkinson Robert D,"EVP, COO",S - Sale,$73.60,"-2,024","90,564",-2%,"-$148,966",,,,
17,,2021-06-03 16:58:43,2021-06-01,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$73.60,"-5,150","271,525",-2%,"-$379,040",,,,
18,,2021-06-03 16:52:12,2021-06-01,NEM,Rhodes Blake,"SVP, Strategic Development",S - Sale,$73.60,-500,"50,811",-1%,"-$36,800",,,,
19,,2021-06-03 16:45:31,2021-06-01,NEM,Gehring Dean,"EVP, CTO",S - Sale,$73.60,"-3,500","19,802",-15%,"-$257,600",,,,
20,,2021-05-21 16:59:36,2021-05-19,NEM,Lipson Nancy,"EVP, GC",S - Sale,$75.00,"-2,775","27,350",-9%,"-$208,125",,,,
21,,2021-05-21 16:58:20,2021-05-19,NEM,Rhodes Blake,"SVP, Strategic Development",S - Sale,$75.00,"-3,000","51,311",-6%,"-$225,000",,,,
22,,2021-05-19 16:38:48,2021-05-17,NEM,Lipson Nancy,"EVP, GC",S - Sale,$72.13,"-5,550","30,125",-16%,"-$400,294",,,,
23,,2021-05-14 16:49:44,2021-05-12,NEM,Gottesfeld Stephen P,"EVP, Chief S, EA Officer",S - Sale,$69.17,"-4,000","109,140",-4%,"-$276,680",,,,
24,,2021-05-12 19:17:27,2021-05-10,NEM,Lipson Nancy,"EVP, GC",S - Sale,$69.00,"-2,775","35,675",-7%,"-$191,475",,,,
25,,2021-05-05 17:05:25,2021-05-03,NEM,Rhodes Blake,"SVP, Strategic Development",S - Sale,$63.48,-500,"54,311",-1%,"-$31,740",,,,
26,,2021-05-05 17:04:06,2021-05-03,NEM,Kitlen John,"VP, Controller, CAO",S - Sale,$63.48,"-2,000","30,391",-6%,"-$126,960",,,,
27,,2021-05-05 17:03:06,2021-05-03,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$63.48,"-5,150","276,675",-2%,"-$326,922",,,,
28,,2021-05-05 17:02:07,2021-05-03,NEM,Atkinson Robert D,"EVP, COO",S - Sale,$63.48,"-2,024","92,588",-2%,"-$128,484",,,,
29,D,2021-04-27 16:44:23,2021-04-23,NEM,Gottesfeld Stephen P,"EVP, Chief S, EA Officer",S - Sale+OE,$66.45,"-13,240","113,140",-10%,"-$879,798",,,,
30,,2021-04-16 16:53:34,2021-04-14,NEM,Gottesfeld Stephen P,"EVP, Chief S, EA Officer",S - Sale,$62.38,"-4,000","113,140",-3%,"-$249,520",,,,
31,,2021-04-07 16:47:30,2021-04-05,NEM,Kitlen John,"VP, Controller, CAO",S - Sale,$62.13,"-2,000","32,391",-6%,"-$124,260",,,,
32,,2021-04-07 16:42:03,2021-04-05,NEM,Lipson Nancy,"EVP, GC",S - Sale,$62.13,"-3,400","38,450",-8%,"-$211,242",,,,
33,,2021-04-05 17:42:01,2021-04-01,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$61.03,"-5,150","281,825",-2%,"-$314,305",,,,
34,,2021-04-05 17:34:51,2021-04-01,NEM,Atkinson Robert D,"EVP, COO",S - Sale,$61.03,"-2,024","94,612",-2%,"-$123,525",,,,
35,,2021-04-01 16:57:32,2021-03-30,NEM,Buese Nancy,"EVP, CFO",S - Sale,$61.00,"-10,000","66,768",-13%,"-$610,000",,,,
36,,2021-03-30 16:57:00,2021-03-26,NEM,Cmil Jennifer,"EVP, HR",S - Sale,$61.00,"-6,348","17,814",-26%,"-$387,228",,,,
37,,2021-03-17 16:41:59,2021-03-15,NEM,Gehring Dean,"EVP, CTO",S - Sale,$60.00,"-3,500","23,302",-13%,"-$210,000",,,,
38,,2021-03-12 16:51:00,2021-03-10,NEM,Gottesfeld Stephen P,"EVP, Chief S, EA Officer",S - Sale,$57.72,"-4,000","117,140",-3%,"-$230,880",,,,
39,,2021-03-12 16:42:06,2021-03-10,NEM,Engel E Randall,"EVP, Strategic Development",S - Sale,$57.72,"-5,000","237,281",-2%,"-$288,600",,,,
40,,2021-03-03 16:56:10,2021-03-01,NEM,Kitlen John,"VP, Controller, CAO",S - Sale,$54.96,"-2,000","34,391",-5%,"-$109,920",,,,
41,,2021-03-03 16:54:34,2021-03-01,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$54.96,"-5,150","286,975",-2%,"-$283,044",,,,
42,M,2021-03-03 16:50:39,2021-03-01,NEM,Atkinson Robert D,"EVP, COO",S - Sale,$54.97,"-2,024","96,636",-2%,"-$111,266",,,,
43,,2021-02-12 17:00:22,2021-02-10,NEM,Engel E Randall,"EVP, Strategic Development",S - Sale,$60.73,"-5,000","259,397",-2%,"-$303,650",,,,
44,,2021-02-03 17:09:15,2021-02-01,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$61.10,"-5,150","237,397",-2%,"-$314,665",,,,
45,,2021-02-03 16:57:13,2021-02-01,NEM,Atkinson Robert D,"EVP, COO",S - Sale,$61.10,"-1,347","82,906",-2%,"-$82,302",,,,
46,,2021-02-03 16:43:20,2021-02-01,NEM,Kitlen John,"VP, Controller, CAO",S - Sale,$61.10,"-2,000","29,953",-6%,"-$122,200",,,,
47,,2021-01-15 16:52:37,2021-01-13,NEM,Engel E Randall,"EVP, Strategic Development",S - Sale,$62.64,"-5,000","264,397",-2%,"-$313,200",,,,
48,,2021-01-06 16:48:35,2021-01-04,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$61.95,"-5,150","242,547",-2%,"-$319,043",,,,
49,,2021-01-06 16:45:18,2021-01-04,NEM,Atkinson Robert D,"EVP, COO",S - Sale,$61.95,"-1,347","84,253",-2%,"-$83,447",,,,
50,,2021-01-06 16:42:00,2021-01-04,NEM,Kitlen John,"VP, Controller, CAO",S - Sale,$61.95,"-2,000","31,953",-6%,"-$123,900",,,,
51,,2020-12-31 16:38:21,2020-12-30,NEM,Buese Nancy,"EVP, CFO",S - Sale,$59.80,"-11,250","49,551",-19%,"-$672,750",,,,
52,,2020-12-11 16:46:04,2020-12-09,NEM,Engel E Randall,"EVP, Strategic Development",S - Sale,$61.10,"-5,000","269,397",-2%,"-$305,500",,,,
53,,2020-12-09 16:37:58,2020-12-07,NEM,Kitlen John,"VP, Controller, CAO",S - Sale,$59.72,"-2,000","34,042",-6%,"-$119,440",,,,
54,,2020-12-03 17:41:07,2020-12-01,NEM,Atkinson Robert D,"EVP, COO",S - Sale,$59.72,"-1,347","85,600",-2%,"-$80,443",,,,
55,,2020-12-03 17:37:29,2020-12-01,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$59.72,"-5,150","247,697",-2%,"-$307,558",,,,
56,,2020-11-13 16:40:57,2020-11-11,NEM,Engel E Randall,"EVP, Strategic Development",S - Sale,$64.31,"-5,000","274,341",-2%,"-$321,550",,,,
57,,2020-11-13 16:40:09,2020-11-11,NEM,Gottesfeld Stephen P,"EVP, Chief S, EA Officer",S - Sale,$64.31,"-4,000","122,944",-3%,"-$257,240",,,,
58,,2020-11-04 17:31:41,2020-11-02,NEM,Atkinson Robert D,"EVP, COO",S - Sale,$63.25,"-1,347","86,947",-2%,"-$85,198",,,,
59,,2020-11-04 17:29:59,2020-11-02,NEM,Palmer Thomas Ronald,"Pres, CEO",S - Sale,$63.25,"-5,150","252,847",-2%,"-$325,738",,,,
60,,2020-11-04 17:28:03,2020-11-02,NEM,Kitlen John,"VP, Controller, CAO",S - Sale,$63.25,"-2,000","36,042",-5%,"-$126,500",,,,
