,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-06 17:17:05,2021-10-04,NFLX,Sarandos Theodore A,"Co-CEO, Chief Content Offic",S - Sale+OE,$625.00,"-69,707",0,-100%,"-$43,566,875",,,,
2,D,2021-10-06 17:16:42,2021-10-04,NFLX,Peters Gregory K,"COO, Chief Product Officer",S - Sale+OE,$625.00,"-6,455","13,090",-33%,"-$4,034,375",,,,
3,D,2021-10-06 17:16:22,2021-10-04,NFLX,Hyman David A,GC,S - Sale+OE,$620.00,"-18,116","31,610",-36%,"-$11,231,920",,,,
4,D,2021-09-08 17:51:03,2021-09-07,NFLX,Peters Gregory K,"COO, Chief Product Officer",S - Sale+OE,$600.00,"-6,941","13,090",-35%,"-$4,164,600",,,,
5,D,2021-09-08 17:50:43,2021-09-07,NFLX,Mather Ann,Dir,S - Sale+OE,$600.00,-809,0,-100%,"-$485,400",,,,
6,,2021-09-08 17:47:31,2021-09-07,NFLX,Hoag Jay C,Dir,S - Sale,$600.35,"-35,401","2,223,965",-2%,"-$21,253,031",,,,
7,D,2021-08-12 19:13:40,2021-08-11,NFLX,Hoag Jay C,Dir,S - Sale+OE,$513.41,"-8,960","2,259,366",0%,"-$4,600,145",,,,
8,,2021-08-04 18:09:37,2021-08-03,NFLX,Hoag Jay C,Dir,S - Sale,$510.16,-939,"2,259,366",0%,"-$479,042",,,,
9,D,2021-05-13 18:48:59,2021-05-11,NFLX,Hoag Jay C,Dir,S - Sale+OE,$491.30,"-2,639",0,-100%,"-$1,296,541",,,,
10,D,2021-02-10 19:30:53,2021-02-08,NFLX,Hoag Jay C,Dir,S - Sale+OE,$553.16,"-3,578","2,593,134",0%,"-$1,979,191",,,,
11,,2021-02-05 18:48:48,2021-02-05,NFLX,Hoag Jay C,Dir,S - Sale,$548.93,-974,"2,593,134",0%,"-$534,661",,,,
12,D,2021-01-21 17:14:26,2021-01-20,NFLX,Neal Jessica,Chief Talent Officer,S - Sale+OE,$564.29,-476,0,-100%,"-$268,602",,,,
13,D,2020-12-22 19:53:09,2020-12-21,NFLX,Hastings Reed,Co-CEO,S - Sale+OE,$527.26,"-437,311","4,922,392",-8%,"-$230,575,286",,,,
14,D,2020-11-24 17:51:35,2020-11-23,NFLX,Hastings Reed,Co-CEO,S - Sale+OE,$482.51,"-213,346","5,005,392",-4%,"-$102,942,377",,,,
15,D,2020-11-12 19:21:31,2020-11-10,NFLX,Hoag Jay C,Dir,S - Sale+OE,$467.89,"-21,119",0,-100%,"-$9,881,308",,,,
16,D,2020-10-30 17:10:52,2020-10-29,NFLX,Belmer Rodolphe,Dir,S - Sale+OE,$488.52,"-2,136",0,-100%,"-$1,043,479",,,,
17,D,2020-10-21 18:24:16,2020-10-20,NFLX,Hastings Reed,Co-CEO,S - Sale+OE,$527.86,"-177,681","5,088,392",-3%,"-$93,790,689",,,,
18,D,2020-09-22 19:17:52,2020-09-21,NFLX,Hastings Reed,Co-CEO,S - Sale+OE,$476.68,"-34,853","5,171,392",-1%,"-$16,613,828",,,,
19,D,2020-09-04 12:39:34,2020-09-01,NFLX,Barton Richard N,Dir,S - Sale+OE,$550.00,"-4,907","17,236",-22%,"-$2,698,850",,,,
20,D,2020-08-27 18:23:13,2020-08-26,NFLX,Kilgore Leslie J,Dir,S - Sale+OE,$537.96,-905,"35,196",-3%,"-$486,852",,,,
21,D,2020-08-25 18:16:45,2020-08-24,NFLX,Barton Richard N,Dir,S - Sale+OE,$500.00,"-5,584","17,236",-24%,"-$2,792,000",,,,
22,DM,2020-08-21 17:24:06,2020-08-19,NFLX,Sarandos Theodore A,"Co-CEO, Chief Content Officer",S - Sale+OE,$490.77,"-15,372",0,-100%,"-$7,544,066",,,,
23,D,2020-08-21 17:23:54,2020-08-20,NFLX,Hastings Reed,Co-CEO,S - Sale+OE,$494.65,"-37,716","5,187,392",-1%,"-$18,656,290",,,,
24,DM,2020-08-19 19:13:10,2020-08-17,NFLX,Sarandos Theodore A,"Co-CEO, Chief Content Officer",S - Sale+OE,$484.16,"-20,000",0,-100%,"-$9,683,100",,,,
25,D,2020-08-19 19:12:58,2020-08-17,NFLX,Barton Richard N,Dir,S - Sale+OE,$484.19,"-15,017","17,236",-47%,"-$7,271,081",,,,
26,DM,2020-08-17 18:51:00,2020-08-13,NFLX,Sarandos Theodore A,"Co-CEO, Chief Content Officer",S - Sale+OE,$480.70,"-20,000",0,-100%,"-$9,614,000",,,,
27,DM,2020-08-13 19:07:21,2020-08-11,NFLX,Sarandos Theodore A,"Co-CEO, Chief Content Offic",S - Sale+OE,$477.38,"-20,000",0,-100%,"-$9,547,500",,,,
28,D,2020-08-11 17:57:13,2020-08-10,NFLX,Sarandos Theodore A,"Co-CEO, Chief Content Offic",S - Sale+OE,$493.35,"-10,000",0,-100%,"-$4,933,500",,,,
29,D,2020-08-10 19:47:33,2020-08-07,NFLX,Hyman David A,GC,S - Sale+OE,$505.77,"-26,754","31,610",-46%,"-$13,531,371",,,,
30,DM,2020-08-10 19:47:22,2020-08-06,NFLX,Sarandos Theodore A,"Co-CEO, Chief Content Offic",S - Sale+OE,$504.94,"-20,000",0,-100%,"-$10,098,800",,,,
31,D,2020-08-06 18:55:54,2020-08-05,NFLX,Rice Susan E,Dir,S - Sale+OE,$508.68,"-1,337",0,-100%,"-$680,100",,,,
32,D,2020-08-05 18:27:46,2020-08-04,NFLX,Kilgore Leslie J,Dir,S - Sale+OE,$508.00,-533,"35,196",-1%,"-$270,764",,,,
33,D,2020-07-28 19:23:48,2020-07-27,NFLX,Kilgore Leslie J,Dir,S - Sale+OE,$485.57,"-1,481","35,196",-4%,"-$719,130",,,,
34,D,2020-07-22 19:03:38,2020-07-21,NFLX,Hastings Reed,CEO,S - Sale+OE,$494.83,"-43,239","5,203,392",-1%,"-$21,396,065",,,,
35,D,2020-07-14 18:22:13,2020-07-13,NFLX,Peters Gregory K,Chief Product Officer,S - Sale+OE,$575.00,"-7,251","13,090",-36%,"-$4,169,325",,,,
36,D,2020-07-13 17:55:41,2020-07-10,NFLX,Peters Gregory K,Chief Product Officer,S - Sale+OE,$538.32,"-9,691","13,090",-43%,"-$5,216,850",,,,
37,D,2020-07-08 19:33:12,2020-07-07,NFLX,Peters Gregory K,Chief Product Officer,S - Sale+OE,$500.00,"-5,274","13,090",-29%,"-$2,637,000",,,,
38,D,2020-07-06 17:51:17,2020-07-01,NFLX,Peters Gregory K,Chief Product Officer,S - Sale+OE,$475.00,"-5,357","13,090",-29%,"-$2,544,575",,,,
39,D,2020-06-23 20:31:28,2020-06-22,NFLX,Hastings Reed,CEO,S - Sale+OE,$462.40,"-57,260","5,219,392",-1%,"-$26,476,829",,,,
40,D,2020-05-21 17:49:19,2020-05-20,NFLX,Hastings Reed,CEO,S - Sale+OE,$449.23,"-53,193","5,235,392",-1%,"-$23,895,924",,,,
41,D,2020-05-15 18:15:21,2020-05-14,NFLX,Peters Gregory K,Chief Product Officer,S - Sale+OE,$450.00,"-5,366","13,090",-29%,"-$2,414,700",,,,
42,D,2020-05-15 18:15:06,2020-05-14,NFLX,Sweeney Anne M,Dir,S - Sale+OE,$450.00,"-1,500",0,-100%,"-$675,000",,,,
43,,2020-04-27 18:50:50,2020-04-24,NFLX,Hoag Jay C,Dir,S - Sale,$418.64,"-3,789","2,936,282",0%,"-$1,586,210",,,,
44,D,2020-04-21 18:53:54,2020-04-20,NFLX,Hastings Reed,CEO,S - Sale+OE,$438.69,"-54,369","5,251,392",-1%,"-$23,851,171",,,,
45,D,2020-04-20 18:48:47,2020-04-16,NFLX,Sweeney Anne M,Dir,S - Sale+OE,$436.88,"-1,500",0,-100%,"-$655,320",,,,
46,D,2020-04-17 19:07:52,2020-04-15,NFLX,Peters Gregory K,Chief Product Officer,S - Sale+OE,$425.00,"-5,047","13,090",-28%,"-$2,144,975",,,,
47,D,2020-03-24 18:30:42,2020-03-23,NFLX,Hastings Reed,CEO,S - Sale+OE,$355.77,"-57,197","5,267,392",-1%,"-$20,349,080",,,,
48,D,2020-02-20 19:14:09,2020-02-19,NFLX,Hastings Reed,CEO,S - Sale+OE,$388.26,"-77,777","5,283,392",-1%,"-$30,197,911",,,,
49,,2020-02-11 19:28:08,2020-02-10,NFLX,Hoag Jay C,Dir,S - Sale,$371.75,"-1,894","4,270,769",0%,"-$704,092",,,,
50,D,2020-01-22 19:28:24,2020-01-21,NFLX,Hastings Reed,CEO,S - Sale+OE,$336.61,"-83,692","5,315,392",-2%,"-$28,171,899",,,,
51,D,2019-12-26 18:29:05,2019-12-23,NFLX,Hastings Reed,CEO,S - Sale+OE,$333.52,"-95,578","5,315,392",-2%,"-$31,876,755",,,,
52,D,2019-11-26 19:31:08,2019-11-25,NFLX,Hastings Reed,CEO,S - Sale+OE,$312.04,"-54,516","5,315,392",-1%,"-$17,011,377",,,,
53,D,2019-10-22 19:14:02,2019-10-21,NFLX,Hastings Reed,CEO,S - Sale+OE,$275.64,"-40,061","5,558,947",-1%,"-$11,042,334",,,,
54,D,2019-09-24 19:52:00,2019-09-23,NFLX,Hastings Reed,CEO,S - Sale+OE,$266.57,"-43,372","5,558,947",-1%,"-$11,561,846",,,,
55,D,2019-08-21 18:23:12,2019-08-20,NFLX,Hastings Reed,CEO,S - Sale+OE,$300.10,"-52,269","5,558,947",-1%,"-$15,685,706",,,,
56,,2019-08-09 19:28:38,2019-08-08,NFLX,Smith Bradford L,Dir,P - Purchase,$308.49,"+6,499","6,499",New,"+$2,004,900",,,,
57,D,2019-07-23 19:10:18,2019-07-22,NFLX,Hastings Reed,CEO,S - Sale+OE,$309.54,"-55,342","5,558,947",-1%,"-$17,130,473",,,,
58,AD,2019-07-17 18:06:58,2019-07-01,NFLX,Mather Ann,Dir,S - Sale+OE,$375.00,"-2,045",0,-100%,"-$766,875",,,,
59,A,2019-07-17 18:06:35,2019-07-01,NFLX,Mather Ann,Dir,S - Sale,$375.00,"-6,279",0,-100%,"-$2,354,625",,,,
60,D,2019-07-03 21:56:38,2019-07-01,NFLX,Mather Ann,Dir,S - Sale+OE,$375.00,"-1,208",0,-100%,"-$453,000",,,,
61,D,2019-06-25 18:31:46,2019-06-24,NFLX,Hastings Reed,CEO,S - Sale+OE,$372.89,"-51,898","5,558,947",-1%,"-$19,352,108",,,,
62,D,2019-05-21 21:34:44,2019-05-20,NFLX,Hastings Reed,CEO,S - Sale+OE,$348.88,"-57,414","5,558,947",-1%,"-$20,030,628",,,,
63,D,2019-04-24 18:22:24,2019-04-22,NFLX,Hastings Reed,CEO,S - Sale+OE,$370.74,"-56,966","5,558,947",-1%,"-$21,119,577",,,,
