,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-23 11:15:52,2021-08-20,NI,Brown Donald Eugene,"EVP, CFO, Pres Corp Svcs",S - Sale,$25.68,"-19,762","148,204",-12%,"-$507,488",,,,
2,,2021-07-02 11:23:22,2021-07-01,NI,Vegas Pablo,"EVP, COO, Pres Utilities",S - Sale,$24.54,"-5,384","127,343",-4%,"-$132,123",,,,
3,,2021-06-01 12:09:01,2021-05-28,NI,Jesanis Michael E,Dir,S - Sale,$25.56,"-4,000","41,257",-9%,"-$102,225",,,,
4,M,2021-05-26 21:24:12,2021-05-25,NI,Butler Eric L,Dir,P - Purchase,$25.37,"+10,000","41,100",+32%,"+$253,749",,,,
5,,2021-05-13 14:24:03,2021-05-12,NI,Creekmur Daniel A,"SVP, Utility Transformation",S - Sale,$25.80,"-2,308","10,861",-18%,"-$59,535",,,,
6,,2021-03-12 12:13:06,2021-03-11,NI,Hooper Michael,"SVP, Pres, NIPSCO",S - Sale,$22.23,"-5,000","9,035",-36%,"-$111,157",,,,
7,,2021-03-03 09:00:51,2021-03-01,NI,Vegas Pablo,"EVP, COO, Pres Utilities",S - Sale,$21.84,"-5,616","132,544",-4%,"-$122,653",,,,
8,,2020-12-02 09:59:11,2020-12-01,NI,Anderson Shawn,"SVP, Chief Strategy, Risk",S - Sale,$24.57,-550,"21,241",-3%,"-$13,514",,,,
9,,2020-11-10 12:55:59,2020-11-09,NI,Creekmur Daniel A,"SVP, Pres, Gas Utilities",S - Sale,$24.29,"-4,114","5,821",-41%,"-$99,929",,,,
10,,2020-09-16 14:11:13,2020-09-15,NI,Shafer Charles Edward II,"SVP, Chief Safety Officer",S - Sale,$22.50,"-1,650","15,613",-10%,"-$37,117",,,,
11,,2020-03-05 14:01:12,2020-03-04,NI,Mulpas Joseph W,"VP, Chief Accounting Officer",S - Sale,$29.66,"-12,650","11,104",-53%,"-$375,199",,,,
12,,2020-03-05 13:52:45,2020-03-04,NI,Surface Suzanne K.,Chief Services Officer,S - Sale,$28.75,"-7,407","34,226",-18%,"-$212,951",,,,
13,,2020-03-05 13:47:01,2020-03-04,NI,Hightman Carrie J,"EVP, GC",S - Sale,$29.50,"-11,696","359,608",-3%,"-$345,032",,,,
